Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,3.2e-05,17.303651,[10  4] ; [ 3 27],[4.13636364 9.86363636] ; [ 8.86363636 21.13636364],1
p4,1,0.000116,14.850249,[10  4] ; [ 4 26],[4.45454545 9.54545455] ; [ 9.54545455 20.45454545],1
p6,1,0.011163,6.439257,[5 8] ; [ 2 27],[ 2.16666667 10.83333333] ; [ 4.83333333 24.16666667],0
p8,1,0.011163,6.439257,[5 8] ; [ 2 27],[ 2.16666667 10.83333333] ; [ 4.83333333 24.16666667],0
a5,1,0.01704,5.69228,[11  3] ; [12 18],[7.31818182 6.68181818] ; [15.68181818 14.31818182],0
s3,1,0.033345,4.527962,[8 6] ; [ 7 22],[4.88372093 9.11627907] ; [10.11627907 18.88372093],0
b5,1,0.046588,3.960221,[11  3] ; [14 16],[7.95454545 6.04545455] ; [17.04545455 12.95454545],0
s8,1,0.048602,3.889056,[ 4 10] ; [ 2 28],[ 1.90909091 12.09090909] ; [ 4.09090909 25.90909091],0
s1,1,0.05181,3.781905,[ 3 11] ; [ 1 29],[ 1.27272727 12.72727273] ; [ 2.72727273 27.27272727],0
b1,1,0.082239,3.020093,[10  4] ; [13 17],[7.31818182 6.68181818] ; [15.68181818 14.31818182],0
n3,1,0.09073,2.861376,[5 1] ; [4 6],[3.375 2.625] ; [5.625 4.375],0
b2,1,0.109906,2.555573,[2 9] ; [ 9 10],[4.03333333 6.96666667] ; [ 6.96666667 12.03333333],0
b3,1,0.109906,2.555573,[2 9] ; [ 9 10],[4.03333333 6.96666667] ; [ 6.96666667 12.03333333],0
a8,1,0.116712,2.460894,[ 4 10] ; [ 3 27],[ 2.22727273 11.77272727] ; [ 4.77272727 25.22727273],0
a6,1,0.124432,2.360635,[10  4] ; [14 16],[7.63636364 6.36363636] ; [16.36363636 13.63636364],0
b4,1,0.1283,2.31295,[7 7] ; [22  8],[9.22727273 4.77272727] ; [19.77272727 10.22727273],0
s2,1,0.160237,1.971989,[5 9] ; [ 5 25],[ 3.18181818 10.81818182] ; [ 6.81818182 23.18181818],0
a3,1,0.181357,1.786466,[10  4] ; [15 15],[7.95454545 6.04545455] ; [17.04545455 12.95454545],0
a4,1,0.210414,1.568574,[6 8] ; [ 7 22],[4.23255814 9.76744186] ; [ 8.76744186 20.23255814],0
p9,1,0.274689,1.193182,[9 5] ; [13 15],[7.33333333 6.66666667] ; [14.66666667 13.33333333],0
p1,1,0.277462,1.179482,[ 1 13] ; [ 6 24],[ 2.22727273 11.77272727] ; [ 4.77272727 25.22727273],0
u3,1,0.288425,1.126961,[1 3] ; [ 1 14],[0.42105263 3.57894737] ; [ 1.57894737 13.42105263],0
v1,1,0.290007,1.119591,[5 9] ; [ 6 23],[ 3.58139535 10.41860465] ; [ 7.41860465 21.58139535],0
n1,1,0.3017,1.066667,[4 2] ; [4 6],[3. 3.] ; [5. 5.],0
r4,1,0.303524,1.058647,[ 3 11] ; [ 3 27],[ 1.90909091 12.09090909] ; [ 4.09090909 25.90909091],0
a2,1,0.303524,1.058647,[ 3 11] ; [ 3 27],[ 1.90909091 12.09090909] ; [ 4.09090909 25.90909091],0
