Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,7.8e-05,15.609959,[73 12] ; [5 8],[67.65306122 17.34693878] ; [10.34693878  2.65306122],1
p6,1,0.003022,8.793844,[58 26] ; [3 9],[53.375 30.625] ; [7.625 4.375],0
n5,1,0.003808,8.3733,[80  5] ; [9 4],[77.19387755  7.80612245] ; [11.80612245  1.19387755],0
r3,1,0.007027,7.265987,[80  3] ; [10  3],[77.8125  5.1875] ; [12.1875  0.8125],0
p7,1,0.007822,7.073684,[70 14] ; [6 6],[66.5 17.5] ; [9.5 2.5],0
p2,1,0.008533,6.91805,[79  6] ; [9 4],[76.32653061  8.67346939] ; [11.67346939  1.32653061],0
v2,1,0.00909,6.805007,[50 31] ; [ 3 10],[45.67021277 35.32978723] ; [7.32978723 5.67021277],0
s3,1,0.02194,5.250526,[56 27] ; [4 8],[52.42105263 30.57894737] ; [7.57894737 4.42105263],0
s2,1,0.023913,5.100899,[53 30] ; [4 9],[49.28125 33.71875] ; [7.71875 5.28125],0
s1,1,0.034969,4.446707,[ 5 80] ; [ 3 10],[ 6.93877551 78.06122449] ; [ 1.06122449 11.93877551],0
v3,1,0.036104,4.392188,[50 31] ; [4 9],[46.53191489 34.46808511] ; [7.46808511 5.53191489],0
s8,1,0.049574,3.855793,[53 31] ; [4 8],[49.875 34.125] ; [7.125 4.875],0
p1,1,0.054191,3.706802,[29 56] ; [ 1 12],[26.02040816 58.97959184] ; [3.97959184 9.02040816],0
r4,1,0.062537,3.468788,[79  6] ; [10  3],[77.19387755  7.80612245] ; [11.80612245  1.19387755],0
d1,1,0.0705,3.271334,[55 30] ; [5 8],[52.04081633 32.95918367] ; [7.95918367 5.04081633],0
u3,1,0.077598,3.11451,[11  6] ; [1 4],[9.27272727 7.72727273] ; [2.72727273 2.27272727],0
p12,1,0.107353,2.592755,[26 59] ; [ 1 11],[23.65979381 61.34020619] ; [3.34020619 8.65979381],0
d3,1,0.119297,2.426524,[58 27] ; [6 7],[55.51020408 29.48979592] ; [8.48979592 4.51020408],0
b4,1,0.121757,2.39457,[46 39] ; [10  3],[48.57142857 36.42857143] ; [7.42857143 5.57142857],0
a5,1,0.13047,2.286906,[62 23] ; [12  1],[64.18367347 20.81632653] ; [9.81632653 3.18367347],0
a3,1,0.137347,2.207435,[68 17] ; [8 5],[65.91836735 19.08163265] ; [10.08163265  2.91836735],0
v1,1,0.150164,2.070579,[58 24] ; [6 6],[55.82978723 26.17021277] ; [8.17021277 3.82978723],0
p8,1,0.159552,1.978467,[71 14] ; [8 4],[69.22680412 15.77319588] ; [9.77319588 2.22680412],0
b5,1,0.168253,1.898444,[35 50] ; [8 5],[37.29591837 47.70408163] ; [5.70408163 7.29591837],0
d4,1,0.169958,1.883311,[72 13] ; [9 4],[70.25510204 14.74489796] ; [10.74489796  2.25510204],0
r1,1,0.177128,1.821559,[71 13] ; [9 4],[69.27835052 14.72164948] ; [10.72164948  2.27835052],0
p10,1,0.257387,1.282755,[79  6] ; [10  2],[77.98969072  7.01030928] ; [11.01030928  0.98969072],0
a2,1,0.285833,1.139145,[17 68] ; [ 1 12],[15.6122449 69.3877551] ; [ 2.3877551 10.6122449],0
d2,1,0.292657,1.107358,[46 39] ; [5 8],[44.23469388 40.76530612] ; [6.76530612 6.23469388],0
a4,1,0.306467,1.045841,[39 46] ; [4 9],[37.29591837 47.70408163] ; [5.70408163 7.29591837],0
s6,1,0.332224,0.940211,[67 11] ; [9 3],[65.86666667 12.13333333] ; [10.13333333  1.86666667],0
d5,1,0.378155,0.77669,[68 17] ; [9 4],[66.78571429 18.21428571] ; [10.21428571  2.78571429],0
b1,1,0.385064,0.754472,[37 48] ; [4 9],[35.56122449 49.43877551] ; [5.43877551 7.56122449],0
r2,1,0.44864,0.574086,[76  8] ; [10  2],[75.25  8.75] ; [10.75  1.25],0
u2,1,0.457438,0.552157,[10  7] ; [2 3],[9.27272727 7.72727273] ; [2.72727273 2.27272727],0
v4,1,0.493878,0.468066,[80  3] ; [12  1],[79.54166667  3.45833333] ; [12.45833333  0.54166667],0
p9,1,0.594729,0.28302,[81  4] ; [11  1],[80.6185567  4.3814433] ; [11.3814433  0.6185567],0
a6,1,0.631889,0.229507,[53 32] ; [9 4],[53.7755102 31.2244898] ; [8.2244898 4.7755102],0
s7,1,0.695131,0.153586,[57 22] ; [8 4],[56.42857143 22.57142857] ; [8.57142857 3.42857143],0
p11,1,0.808867,0.05851,[74 11] ; [11  2],[73.7244898 11.2755102] ; [11.2755102  1.7244898],0
a8,1,0.825626,0.048538,[12 65] ; [2 9],[12.25 64.75] ; [1.75 9.25],0
b2,1,0.863424,0.02959,[29 33] ; [4 4],[29.22857143 32.77142857] ; [3.77142857 4.22857143],0
b3,1,0.863424,0.02959,[29 33] ; [4 4],[29.22857143 32.77142857] ; [3.77142857 4.22857143],0
n1,1,0.905565,0.014074,[8 7] ; [2 2],[7.89473684 7.10526316] ; [2.10526316 1.89473684],0
a7,1,0.920454,0.009972,[60 25] ; [9 4],[59.84693878 25.15306122] ; [9.15306122 3.84693878],0
n2,1,0.946375,0.004524,[11  4] ; [3 1],[11.05263158  3.94736842] ; [2.94736842 1.05263158],0
n4,1,0.946907,0.004434,[78  7] ; [12  1],[78.06122449  6.93877551] ; [11.93877551  1.06122449],0
s5,1,0.976036,0.000902,[51 25] ; [8 4],[50.95454545 25.04545455] ; [8.04545455 3.95454545],0
