Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,37.216178,[137  25] ; [11 21],[123.58762887  38.41237113] ; [24.41237113  7.58762887],1
s3,1,0.0,27.77706,[128  32] ; [11 21],[115.83333333  44.16666667] ; [23.16666667  8.83333333],1
r3,1,0.001224,10.454211,[158   4] ; [27  5],[154.48453608   7.51546392] ; [30.51546392  1.48453608],0
s5,1,0.003428,8.564364,[91 63] ; [ 9 21],[83.69565217 70.30434783] ; [16.30434783 13.69565217],0
d5,1,0.004756,7.969811,[138  22] ; [21 11],[132.5  27.5] ; [26.5  5.5],0
d1,1,0.025117,5.015812,[114  48] ; [16 16],[108.55670103  53.44329897] ; [21.44329897 10.55670103],0
p5,1,0.042661,4.108777,[ 42 120] ; [ 3 29],[ 37.57731959 124.42268041] ; [ 7.42268041 24.57731959],0
p9,1,0.045619,3.995595,[152   9] ; [27  5],[149.32124352  11.67875648] ; [29.67875648  2.32124352],0
a7,1,0.046609,3.959463,[108  54] ; [27  5],[112.73195876  49.26804124] ; [22.26804124  9.73195876],0
n5,1,0.054528,3.696449,[138  23] ; [23  9],[134.30569948  26.69430052] ; [26.69430052  5.30569948],0
s8,1,0.056132,3.648148,[122  39] ; [19 13],[117.62176166  43.37823834] ; [23.37823834  8.62176166],0
r4,1,0.06735,3.346452,[152  10] ; [27  5],[149.4742268  12.5257732] ; [29.5257732  2.4742268],0
v1,1,0.081255,3.039625,[106  54] ; [16 16],[101.66666667  58.33333333] ; [20.33333333 11.66666667],0
n6,1,0.102081,2.672727,[149  11] ; [27  5],[146.66666667  13.33333333] ; [29.33333333  2.66666667],0
p2,1,0.108748,2.572326,[141  21] ; [31  1],[143.62886598  18.37113402] ; [28.37113402  3.62886598],0
b3,1,0.112815,2.514339,[53 61] ; [16  9],[56.58992806 57.41007194] ; [12.41007194 12.58992806],0
b2,1,0.112815,2.514339,[53 61] ; [16  9],[56.58992806 57.41007194] ; [12.41007194 12.58992806],0
d4,1,0.131249,2.277665,[141  19] ; [25  7],[138.33333333  21.66666667] ; [27.66666667  4.33333333],0
r2,1,0.141865,2.15761,[158   3] ; [29  2],[156.80729167   4.19270833] ; [30.19270833  0.80729167],0
p12,1,0.146433,2.109016,[ 26 135] ; [ 2 30],[ 23.35751295 137.64248705] ; [ 4.64248705 27.35751295],0
r1,1,0.156006,2.012517,[138  24] ; [24  8],[135.27835052  26.72164948] ; [26.72164948  5.27835052],0
d2,1,0.161484,1.960274,[97 64] ; [15 17],[93.43005181 67.56994819] ; [18.56994819 13.43005181],0
a5,1,0.215316,1.535321,[132  30] ; [23  9],[129.43298969  32.56701031] ; [25.56701031  6.43298969],0
b1,1,0.232716,1.424185,[69 93] ; [10 22],[65.96907216 96.03092784] ; [13.03092784 18.96907216],0
n4,1,0.278667,1.17358,[143  19] ; [26  6],[141.12371134  20.87628866] ; [27.87628866  4.12371134],0
p10,1,0.28499,1.143137,[142  19] ; [26  6],[140.14507772  20.85492228] ; [27.85492228  4.14507772],0
p1,1,0.291638,1.112045,[ 27 134] ; [ 3 29],[ 25.02590674 135.97409326] ; [ 4.97409326 27.02590674],0
p4,1,0.31288,1.018477,[133  28] ; [24  8],[130.96891192  30.03108808] ; [26.03108808  5.96891192],0
n3,1,0.334551,0.931201,[25 12] ; [6 1],[26.06818182 10.93181818] ; [4.93181818 2.06818182],0
s4,1,0.408971,0.68179,[ 41 119] ; [ 6 26],[ 39.16666667 120.83333333] ; [ 7.83333333 24.16666667],0
a8,1,0.426479,0.632393,[ 21 130] ; [ 5 20],[ 22.30681818 128.69318182] ; [ 3.69318182 21.30681818],0
p11,1,0.449417,0.572121,[131  31] ; [24  8],[129.43298969  32.56701031] ; [25.56701031  6.43298969],0
s1,1,0.495716,0.464095,[ 10 152] ; [ 1 31],[  9.18556701 152.81443299] ; [ 1.81443299 30.18556701],0
p7,1,0.551771,0.354154,[135  24] ; [25  6],[133.89473684  25.10526316] ; [26.10526316  4.89473684],0
u2,1,0.558612,0.342113,[23  9] ; [5 1],[23.57894737  8.42105263] ; [4.42105263 1.57894737],0
b5,1,0.59347,0.284958,[93 69] ; [20 12],[94.36082474 67.63917526] ; [18.63917526 13.36082474],0
a6,1,0.635505,0.224669,[103  57] ; [22 10],[104.16666667  55.83333333] ; [20.83333333 11.16666667],0
d3,1,0.640988,0.217452,[122  39] ; [23  9],[120.95854922  40.04145078] ; [24.04145078  7.95854922],0
b4,1,0.654227,0.200612,[88 74] ; [16 16],[86.84536082 75.15463918] ; [17.15463918 14.84536082],0
a3,1,0.683061,0.1667,[130  31] ; [26  5],[130.8125  30.1875] ; [25.1875  5.8125],0
v3,1,0.743711,0.106892,[74 84] ; [16 16],[74.84210526 83.15789474] ; [15.15789474 16.84210526],0
u3,1,0.773984,0.082465,[25  7] ; [5 1],[25.26315789  6.73684211] ; [4.73684211 1.26315789],0
p8,1,0.782475,0.076228,[109  51] ; [21 11],[108.33333333  51.66666667] ; [21.66666667 10.33333333],0
v2,1,0.842689,0.039385,[98 62] ; [19 13],[97.5 62.5] ; [19.5 12.5],0
n1,1,0.880368,0.022651,[20 17] ; [4 3],[20.18181818 16.81818182] ; [3.81818182 3.18181818],0
u1,1,0.910911,0.012519,[ 44 118] ; [ 9 23],[ 44.25773196 117.74226804] ; [ 8.74226804 23.25773196],0
a2,1,0.919371,0.010247,[ 47 115] ; [ 9 23],[ 46.7628866 115.2371134] ; [ 9.2371134 22.7628866],0
p3,1,0.927155,0.008358,[112  49] ; [22 10],[111.78238342  49.21761658] ; [22.21761658  9.78238342],0
n2,1,0.93295,0.007079,[27 10] ; [5 2],[26.90909091 10.09090909] ; [5.09090909 1.90909091],0
a4,1,0.996811,1.6e-05,[86 76] ; [17 15],[86.01030928 75.98969072] ; [16.98969072 15.01030928],0
