Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,28.342126,[61 13] ; [ 8 21],[49.57281553 24.42718447] ; [19.42718447  9.57281553],1
r3,1,0.036062,4.394168,[51 22] ; [26  3],[55.10784314 17.89215686] ; [21.89215686  7.10784314],0
d2,1,0.0585,3.579421,[17 57] ; [ 2 27],[13.65048544 60.34951456] ; [ 5.34951456 23.65048544],0
s5,1,0.090331,2.868459,[15 57] ; [ 2 27],[12.11881188 59.88118812] ; [ 4.88118812 24.11881188],0
p2,1,0.09065,2.862786,[42 32] ; [21  7],[45.70588235 28.29411765] ; [17.29411765 10.70588235],0
n6,1,0.118114,2.442154,[55 19] ; [17 12],[51.72815534 22.27184466] ; [20.27184466  8.72815534],0
n1,1,0.141032,2.166667,[11 16] ; [ 2 10],[ 9. 18.] ; [4. 8.],0
v4,1,0.160845,1.966268,[60 14] ; [25  2],[62.27722772 11.72277228] ; [22.72277228  4.27722772],0
a4,1,0.175666,1.833917,[16 57] ; [ 3 26],[13.59803922 59.40196078] ; [ 5.40196078 23.59803922],0
v3,1,0.180116,1.796667,[20 52] ; [ 4 23],[17.45454545 54.54545455] ; [ 6.54545455 20.45454545],0
v1,1,0.191063,1.709402,[28 44] ; [ 7 21],[25.2 46.8] ; [ 9.8 18.2],0
u2,1,0.198244,1.655267,[15 28] ; [9 8],[17.2 25.8] ; [ 6.8 10.2],0
b4,1,0.200196,1.640947,[41 33] ; [12 17],[38.0776699 35.9223301] ; [14.9223301 14.0776699],0
s6,1,0.298125,1.082562,[36 37] ; [11 18],[33.6372549 39.3627451] ; [13.3627451 15.6372549],0
p3,1,0.366337,0.816052,[16 58] ; [ 4 25],[14.36893204 59.63106796] ; [ 5.63106796 23.36893204],0
d3,1,0.389402,0.740808,[15 58] ; [ 8 20],[16.62376238 56.37623762] ; [ 6.37623762 21.62376238],0
a2,1,0.398043,0.71423,[ 6 68] ; [ 1 28],[ 5.02912621 68.97087379] ; [ 1.97087379 27.02912621],0
b5,1,0.400313,0.707387,[45 29] ; [15 14],[43.10679612 30.89320388] ; [16.89320388 12.10679612],0
a5,1,0.460767,0.544031,[34 40] ; [11 18],[32.33009709 41.66990291] ; [12.66990291 16.33009709],0
p11,1,0.463712,0.53692,[48 26] ; [21  8],[49.57281553 24.42718447] ; [19.42718447  9.57281553],0
p8,1,0.473847,0.512992,[24 47] ; [12 17],[25.56 45.44] ; [10.44 18.56],0
a1,1,0.51908,0.41572,[ 5 69] ; [ 1 28],[ 4.31067961 69.68932039] ; [ 1.68932039 27.31067961],0
s8,1,0.542663,0.370626,[16 57] ; [ 8 21],[17.17647059 55.82352941] ; [ 6.82352941 22.17647059],0
p9,1,0.582648,0.301974,[49 21] ; [18 10],[47.85714286 22.14285714] ; [19.14285714  8.85714286],0
u3,1,0.594247,0.28376,[17 26] ; [8 9],[17.91666667 25.08333333] ; [7.08333333 9.91666667],0
a8,1,0.594346,0.283608,[ 8 62] ; [ 2 24],[ 7.29166667 62.70833333] ; [ 2.70833333 23.29166667],0
n2,1,0.635175,0.225108,[20  7] ; [8 4],[19.38461538  7.61538462] ; [8.61538462 3.38461538],0
d5,1,0.655935,0.198499,[30 44] ; [10 18],[29.01960784 44.98039216] ; [10.98039216 17.01960784],0
p6,1,0.70044,0.148015,[12 59] ; [ 4 25],[11.36 59.64] ; [ 4.64 24.36],0
s7,1,0.72072,0.127804,[20 50] ; [ 7 21],[19.28571429 50.71428571] ; [ 7.71428571 20.28571429],0
r1,1,0.725544,0.123243,[40 33] ; [17 12],[40.79411765 32.20588235] ; [16.20588235 12.79411765],0
s4,1,0.726704,0.122159,[15 59] ; [ 5 24],[14.36893204 59.63106796] ; [ 5.63106796 23.36893204],0
r4,1,0.727997,0.120958,[51 23] ; [21  8],[51.72815534 22.27184466] ; [20.27184466  8.72815534],0
a7,1,0.747456,0.103681,[37 37] ; [15 13],[37.7254902 36.2745098] ; [14.2745098 13.7254902],0
s2,1,0.771969,0.083984,[23 50] ; [10 19],[23.61764706 49.38235294] ; [ 9.38235294 19.61764706],0
b1,1,0.807746,0.059212,[30 44] ; [11 18],[29.45631068 44.54368932] ; [11.54368932 17.45631068],0
b3,1,0.808466,0.058761,[11 28] ; [ 4 12],[10.63636364 28.36363636] ; [ 4.36363636 11.63636364],0
b2,1,0.808466,0.058761,[11 28] ; [ 4 12],[10.63636364 28.36363636] ; [ 4.36363636 11.63636364],0
a6,1,0.831177,0.045451,[40 34] ; [15 14],[39.51456311 34.48543689] ; [15.48543689 13.51456311],0
p1,1,0.849161,0.036172,[ 7 67] ; [ 3 25],[ 7.25490196 66.74509804] ; [ 2.74509804 25.25490196],0
p7,1,0.854761,0.033506,[29 42] ; [12 16],[29.4040404 41.5959596] ; [11.5959596 16.4040404],0
v2,1,0.859808,0.031194,[20 46] ; [ 9 19],[20.36170213 45.63829787] ; [ 8.63829787 19.36170213],0
a3,1,0.877499,0.023759,[31 41] ; [12 17],[30.65346535 41.34653465] ; [12.34653465 16.65346535],0
r2,1,0.89969,0.015889,[62 12] ; [24  5],[61.78640777 12.21359223] ; [24.21359223  4.78640777],0
s3,1,0.935941,0.00646,[30 41] ; [12 17],[29.82 41.18] ; [12.18 16.82],0
p10,1,0.966652,0.001748,[43 29] ; [16 11],[42.90909091 29.09090909] ; [16.09090909 10.90909091],0
n3,1,0.982536,0.000479,[19  7] ; [8 3],[18.97297297  7.02702703] ; [8.02702703 2.97297297],0
s1,1,0.993159,7.4e-05,[ 5 67] ; [ 2 27],[ 4.99009901 67.00990099] ; [ 2.00990099 26.99009901],0
