Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.617333,[167 147] ; [51  8],[183.51742627 130.48257373] ; [34.48257373 24.51742627],1
p4,1,2e-06,22.182721,[197 122] ; [55  4],[212.66666667 106.33333333] ; [39.33333333 19.66666667],1
p1,1,4e-06,21.219317,[ 23 295] ; [16 43],[ 32.89655172 285.10344828] ; [ 6.10344828 52.89655172],1
p12,1,2.4e-05,17.839281,[ 26 290] ; [16 43],[ 35.392 280.608] ; [ 6.608 52.392],1
p3,1,0.000131,14.628733,[175 145] ; [48 11],[188.28496042 131.71503958] ; [34.71503958 24.28496042],1
p6,1,0.000883,11.058069,[138 179] ; [39 19],[149.624 167.376] ; [27.376 30.624],1
b5,1,0.001047,10.74233,[203 117] ; [24 35],[191.66226913 128.33773087] ; [35.33773087 23.66226913],0
s7,1,0.00224,9.341503,[227  79] ; [52  4],[235.83977901  70.16022099] ; [43.16022099 12.83977901],0
s1,1,0.00228,9.309078,[  7 307] ; [ 6 53],[ 10.94369973 303.05630027] ; [ 2.05630027 56.94369973],0
s5,1,0.003991,8.287808,[130 175] ; [35 20],[139.79166667 165.20833333] ; [25.20833333 29.79166667],0
a1,1,0.005568,7.685011,[ 14 306] ; [ 8 51],[ 18.57519789 301.42480211] ; [ 3.42480211 55.57519789],0
n5,1,0.008544,6.915741,[249  68] ; [55  4],[256.29787234  60.70212766] ; [47.70212766 11.29787234],0
v1,1,0.009718,6.685947,[185 125] ; [45 13],[193.75 116.25] ; [36.25 21.75],0
v3,1,0.011498,6.386705,[138 169] ; [36 21],[146.75274725 160.24725275] ; [27.24725275 29.75274725],0
p7,1,0.01239,6.254164,[210 100] ; [48  9],[217.92915531  92.07084469] ; [40.07084469 16.92915531],0
n4,1,0.037525,4.326431,[255  63] ; [54  5],[260.64190981  57.35809019] ; [48.35809019 10.64190981],0
n1,1,0.042053,4.133067,[27 38] ; [10  4],[30.44303797 34.55696203] ; [6.55696203 7.44303797],0
u4,1,0.052792,3.750484,[ 10 310] ; [ 5 54],[ 12.66490765 307.33509235] ; [ 2.33509235 56.66490765],0
a2,1,0.090581,2.864021,[ 94 226] ; [11 48],[ 88.65435356 231.34564644] ; [16.34564644 42.65435356],0
u3,1,0.119789,2.420082,[51 18] ; [5 5],[48.91139241 20.08860759] ; [7.08860759 2.91139241],0
a6,1,0.160845,1.966268,[219 100] ; [35 24],[214.35449735 104.64550265] ; [39.64550265 19.35449735],0
p9,1,0.181666,1.783939,[283  34] ; [56  3],[285.80585106  31.19414894] ; [53.19414894  5.80585106],0
u1,1,0.197582,1.660159,[ 79 241] ; [10 49],[ 75.14511873 244.85488127] ; [13.85488127 45.14511873],0
p10,1,0.2317,1.430394,[271  45] ; [54  5],[273.86666667  42.13333333] ; [51.13333333  7.86666667],0
d3,1,0.247057,1.339872,[220 100] ; [45 14],[223.74670185  96.25329815] ; [41.25329815 17.74670185],0
p2,1,0.251289,1.316126,[268  51] ; [53  6],[270.8968254  48.1031746] ; [50.1031746  8.8968254],0
d2,1,0.259169,1.273188,[188 132] ; [30 29],[184.06332454 135.93667546] ; [33.93667546 25.06332454],0
n3,1,0.302271,1.064148,[47 19] ; [8 6],[45.375 20.625] ; [9.625 4.375],0
r3,1,0.359715,0.838889,[311   9] ; [56  3],[309.86807388  10.13192612] ; [57.13192612  1.86807388],0
r1,1,0.375083,0.786756,[271  46] ; [53  6],[273.15957447  43.84042553] ; [50.84042553  8.15957447],0
n6,1,0.400934,0.705524,[278  39] ; [54  5],[279.90425532  37.09574468] ; [52.09574468  6.90425532],0
b1,1,0.434413,0.610996,[129 191] ; [27 32],[131.71503958 188.28496042] ; [24.28496042 34.71503958],0
d5,1,0.438348,0.600604,[277  42] ; [49 10],[275.11640212  43.88359788] ; [50.88359788  8.11640212],0
a3,1,0.446339,0.579932,[251  68] ; [49 10],[253.17460317  65.82539683] ; [46.82539683 12.17460317],0
d4,1,0.487413,0.482233,[270  49] ; [52  7],[271.74074074  47.25925926] ; [50.25925926  8.74074074],0
s6,1,0.494527,0.466661,[266  49] ; [51  7],[267.7077748  47.2922252] ; [49.2922252  8.7077748],0
s3,1,0.517367,0.41914,[233  82] ; [46 13],[234.98663102  80.01336898] ; [44.01336898 14.98663102],0
