Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,29.333333,[11 44] ; [21  4],[22. 33.] ; [10. 15.],1
s2,1,0.002137,9.427986,[16 41] ; [16  9],[22.24390244 34.75609756] ; [ 9.75609756 15.24390244],0
s6,1,0.003188,8.696855,[20 37] ; [17  7],[26.03703704 30.96296296] ; [10.96296296 13.03703704],0
p6,1,0.01621,5.779967,[11 45] ; [11 13],[15.4 40.6] ; [ 6.6 17.4],0
s3,1,0.019627,5.444749,[21 34] ; [16  8],[25.75949367 29.24050633] ; [11.24050633 12.75949367],0
p4,1,0.033697,4.510034,[22 35] ; [16  9],[26.41463415 30.58536585] ; [11.58536585 13.41463415],0
n5,1,0.04777,3.918057,[34 22] ; [20  4],[37.8 18.2] ; [16.2  7.8],0
u3,1,0.09169,2.844444,[ 7 17] ; [5 3],[ 9. 15.] ; [3. 5.],0
b4,1,0.093883,2.806497,[37 21] ; [11 14],[33.54216867 24.45783133] ; [14.45783133 10.54216867],0
n4,1,0.098812,2.724612,[33 25] ; [19  6],[36.3373494 21.6626506] ; [15.6626506  9.3373494],0
v3,1,0.114794,2.486956,[11 45] ; [ 9 16],[13.82716049 42.17283951] ; [ 6.17283951 18.82716049],0
a5,1,0.114847,2.486221,[31 27] ; [18  7],[34.24096386 23.75903614] ; [14.75903614 10.24096386],0
n1,1,0.122056,2.390742,[ 5 14] ; [6 5],[ 6.96666667 12.03333333] ; [4.03333333 6.96666667],0
p8,1,0.126031,2.34072,[17 39] ; [12 13],[20.04938272 35.95061728] ; [ 8.95061728 16.04938272],0
v2,1,0.156789,2.004921,[19 35] ; [13 12],[21.87341772 32.12658228] ; [10.12658228 14.87341772],0
n6,1,0.170594,1.877717,[33 23] ; [18  6],[35.7 20.3] ; [15.3  8.7],0
a1,1,0.188021,1.733056,[ 8 50] ; [ 1 24],[ 6.28915663 51.71084337] ; [ 2.71084337 22.28915663],0
a7,1,0.219984,1.504478,[34 24] ; [11 14],[31.44578313 26.55421687] ; [13.55421687 11.44578313],0
d4,1,0.2395,1.383535,[39 19] ; [20  5],[41.22891566 16.77108434] ; [17.77108434  7.22891566],0
p11,1,0.2395,1.383535,[39 19] ; [20  5],[41.22891566 16.77108434] ; [17.77108434  7.22891566],0
r2,1,0.250784,1.318932,[36 18] ; [11 10],[33.84 20.16] ; [13.16  7.84],0
a4,1,0.255695,1.291915,[18 40] ; [11 14],[20.26506024 37.73493976] ; [ 8.73493976 16.26506024],0
b1,1,0.280126,1.166477,[33 25] ; [11 14],[30.74698795 27.25301205] ; [13.25301205 11.74698795],0
n2,1,0.282471,1.155161,[12  7] ; [9 2],[13.3  5.7] ; [7.7 3.3],0
p3,1,0.303847,1.057236,[18 38] ; [11 14],[20.04938272 35.95061728] ; [ 8.95061728 16.04938272],0
d2,1,0.328068,0.956507,[19 39] ; [11 14],[20.96385542 37.03614458] ; [ 9.03614458 15.96385542],0
p1,1,0.33023,0.947994,[ 6 51] ; [ 1 24],[ 4.86585366 52.13414634] ; [ 2.13414634 22.86585366],0
p7,1,0.372565,0.79509,[25 30] ; [13 10],[26.79487179 28.20512821] ; [11.20512821 11.79487179],0
s1,1,0.374384,0.789062,[ 2 56] ; [ 2 23],[ 2.79518072 55.20481928] ; [ 1.20481928 23.79518072],0
a3,1,0.387819,0.745768,[33 24] ; [17  8],[34.75609756 22.24390244] ; [15.24390244  9.75609756],0
v1,1,0.401748,0.703089,[23 32] ; [12 11],[24.67948718 30.32051282] ; [10.32051282 12.67948718],0
s5,1,0.408317,0.683695,[10 46] ; [ 6 17],[11.34177215 44.65822785] ; [ 4.65822785 18.34177215],0
d1,1,0.410883,0.676244,[20 38] ; [11 14],[21.6626506 36.3373494] ; [ 9.3373494 15.6626506],0
n3,1,0.447256,0.577597,[13  6] ; [6 5],[12.03333333  6.96666667] ; [6.96666667 4.03333333],0
d3,1,0.496177,0.463104,[32 25] ; [12 13],[30.58536585 26.41463415] ; [13.41463415 11.58536585],0
