Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.008339,6.959197,[14  9] ; [ 2 11],[10.22222222 12.77777778] ; [5.77777778 7.22222222],0
b3,1,0.018678,5.531429,[9 6] ; [1 8],[6.25 8.75] ; [3.75 5.25],0
b2,1,0.018678,5.531429,[9 6] ; [1 8],[6.25 8.75] ; [3.75 5.25],0
s5,1,0.029801,4.720761,[ 2 19] ; [5 7],[ 4.45454545 16.54545455] ; [2.54545455 9.45454545],0
s4,1,0.076395,3.139971,[ 2 20] ; [4 8],[ 3.88235294 18.11764706] ; [2.11764706 9.88235294],0
n6,1,0.126645,2.333159,[18  5] ; [7 6],[15.97222222  7.02777778] ; [9.02777778 3.97222222],0
a6,1,0.137111,2.210091,[13 10] ; [4 9],[10.86111111 12.13888889] ; [6.13888889 6.86111111],0
b5,1,0.166356,1.915476,[16  7] ; [6 7],[14.05555556  8.94444444] ; [7.94444444 5.05555556],0
d4,1,0.219901,1.505017,[17  6] ; [7 6],[15.33333333  7.66666667] ; [8.66666667 4.33333333],0
r2,1,0.230744,1.436271,[21  2] ; [10  3],[19.80555556  3.19444444] ; [11.19444444  1.80555556],0
p7,1,0.27737,1.179933,[18  5] ; [12  1],[19.16666667  3.83333333] ; [10.83333333  2.16666667],0
s6,1,0.288212,1.127956,[11 12] ; [8 4],[12.48571429 10.51428571] ; [6.51428571 5.48571429],0
d5,1,0.318725,0.994171,[12 11] ; [9 4],[13.41666667  9.58333333] ; [7.58333333 5.41666667],0
s8,1,0.345976,0.888162,[ 6 17] ; [5 7],[ 7.22857143 15.77142857] ; [3.77142857 8.22857143],0
u3,1,0.390733,0.73666,[5 4] ; [4 7],[4.05 4.95] ; [4.95 6.05],0
u1,1,0.418944,0.653274,[ 4 19] ; [ 1 12],[ 3.19444444 19.80555556] ; [ 1.80555556 11.19444444],0
a8,1,0.512336,0.429293,[ 2 20] ; [ 2 10],[ 2.58823529 19.41176471] ; [ 1.41176471 10.58823529],0
n5,1,0.549495,0.358222,[13 10] ; [6 7],[12.13888889 10.86111111] ; [6.86111111 6.13888889],0
u2,1,0.581989,0.30303,[6 3] ; [6 5],[5.4 3.6] ; [6.6 4.4],0
n2,1,0.583882,0.3,[7 1] ; [3 1],[6.66666667 1.33333333] ; [3.33333333 0.66666667],0
n3,1,0.583882,0.3,[7 1] ; [3 1],[6.66666667 1.33333333] ; [3.33333333 0.66666667],0
v2,1,0.587045,0.294983,[11 12] ; [5 8],[10.22222222 12.77777778] ; [5.77777778 7.22222222],0
s7,1,0.618402,0.24812,[10 12] ; [4 7],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
a2,1,0.623627,0.240803,[ 3 20] ; [ 1 12],[ 2.55555556 20.44444444] ; [ 1.44444444 11.55555556],0
r4,1,0.643563,0.214113,[18  5] ; [11  2],[18.52777778  4.47222222] ; [10.47222222  2.52777778],0
p5,1,0.673911,0.177061,[ 1 22] ; [ 1 12],[ 1.27777778 21.72222222] ; [ 0.72222222 12.27777778],0
v3,1,0.678863,0.171409,[ 4 19] ; [ 3 10],[ 4.47222222 18.52777778] ; [ 2.52777778 10.47222222],0
p11,1,0.681393,0.168562,[14  9] ; [7 6],[13.41666667  9.58333333] ; [7.58333333 5.41666667],0
b4,1,0.7286,0.120401,[12 11] ; [6 7],[11.5 11.5] ; [6.5 6.5],0
