Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,75.424557,[228  40] ; [76 90],[187.7235023  80.2764977] ; [116.2764977  49.7235023],1
s6,1,0.0001,15.13926,[256  23] ; [131  35],[242.63595506  36.36404494] ; [144.36404494  21.63595506],1
p3,1,0.00018,14.02786,[168 114] ; [69 98],[148.85077951 133.14922049] ; [88.14922049 78.85077951],1
v1,1,0.000375,12.650448,[175  96] ; [79 88],[157.15525114 113.84474886] ; [96.84474886 70.15525114],1
d1,1,0.000487,12.166551,[199  83] ; [93 78],[181.77483444 100.22516556] ; [110.22516556  60.77483444],1
a3,1,0.000552,11.932894,[226  55] ; [112  58],[210.59423503  70.40576497] ; [127.40576497  42.59423503],1
d2,1,0.002645,9.037193,[163 119] ; [73 96],[147.5654102 134.4345898] ; [88.4345898 80.5654102],0
a7,1,0.003165,8.709744,[192  89] ; [137  32],[205.44222222  75.55777778] ; [123.55777778  45.44222222],0
n1,1,0.00357,8.49032,[32 29] ; [ 9 30],[25.01 35.99] ; [15.99 23.01],0
a5,1,0.00378,8.386668,[225  57] ; [115  55],[212.12389381  69.87610619] ; [127.87610619  42.12389381],0
p6,1,0.004442,8.093653,[135 144] ; [ 57 108],[120.64864865 158.35135135] ; [71.35135135 93.64864865],0
d5,1,0.004659,8.007117,[245  36] ; [130  39],[234.16666667  46.83333333] ; [140.83333333  28.16666667],0
n6,1,0.005754,7.625721,[250  30] ; [135  34],[240.08908686  39.91091314] ; [144.91091314  24.08908686],0
s3,1,0.006058,7.533079,[255  27] ; [136  31],[245.57238307  36.42761693] ; [145.42761693  21.57238307],0
p9,1,0.006648,7.365817,[256  24] ; [135  28],[247.13318284  32.86681716] ; [143.86681716  19.13318284],0
p4,1,0.006707,7.349776,[196  85] ; [96 72],[182.74387528  98.25612472] ; [109.25612472  58.74387528],0
u4,1,0.008139,7.002666,[ 15 267] ; [  1 170],[  9.9602649 272.0397351] ; [  6.0397351 164.9602649],0
p8,1,0.009084,6.806315,[160 119] ; [74 92],[146.71011236 132.28988764] ; [87.28988764 78.71011236],0
n5,1,0.009807,6.669692,[229  52] ; [120  49],[217.93111111  63.06888889] ; [131.06888889  37.93111111],0
v2,1,0.013552,6.095574,[168 100] ; [83 81],[155.71296296 112.28703704] ; [95.28703704 68.71296296],0
v3,1,0.021029,5.324393,[125 142] ; [ 59 107],[113.4595843 153.5404157] ; [70.5404157 95.4595843],0
b2,1,0.022126,5.235844,[ 82 108] ; [25 62],[ 73.39350181 116.60649819] ; [33.60649819 53.39350181],0
b3,1,0.022126,5.235844,[ 82 108] ; [25 62],[ 73.39350181 116.60649819] ; [33.60649819 53.39350181],0
p10,1,0.024922,5.029292,[247  32] ; [135  32],[238.96412556  40.03587444] ; [143.03587444  23.96412556],0
n4,1,0.047204,3.938119,[227  53] ; [125  46],[218.53658537  61.46341463] ; [133.46341463  37.53658537],0
p5,1,0.056447,3.638814,[ 42 235] ; [ 15 153],[ 35.48089888 241.51910112] ; [ 21.51910112 146.48089888],0
s5,1,0.063791,3.435963,[138 128] ; [70 94],[128.66976744 137.33023256] ; [79.33023256 84.66976744],0
u1,1,0.097053,2.753316,[ 70 212] ; [ 31 140],[ 62.87417219 219.12582781] ; [ 38.12582781 132.87417219],0
u3,1,0.114284,2.493952,[43 13] ; [36 21],[39.15044248 16.84955752] ; [39.84955752 17.15044248],0
p12,1,0.114653,2.488889,[ 35 245] ; [ 13 155],[ 30. 250.] ; [ 18. 150.],0
r2,1,0.14132,2.163523,[274   5] ; [164   7],[271.56   7.44] ; [166.44   4.56],0
n2,1,0.162596,1.949914,[47 15] ; [34  5],[49.72277228 12.27722772] ; [31.27722772  7.72277228],0
p1,1,0.165974,1.918937,[ 31 249] ; [ 12 157],[ 26.81514477 253.18485523] ; [ 16.18485523 152.81514477],0
r4,1,0.167367,1.906374,[268  14] ; [157  14],[264.56953642  17.43046358] ; [160.43046358  10.56953642],0
r1,1,0.181941,1.781694,[237  44] ; [135  35],[231.77827051  49.22172949] ; [140.22172949  29.77827051],0
p7,1,0.235198,1.409147,[188  84] ; [103  59],[182.37788018  89.62211982] ; [108.62211982  53.37788018],0
a4,1,0.275137,1.190957,[141 141] ; [76 94],[135.38495575 146.61504425] ; [81.61504425 88.38495575],0
p2,1,0.280539,1.164475,[240  41] ; [137  31],[235.93986637  45.06013363] ; [141.06013363  26.93986637],0
p11,1,0.296749,1.088749,[223  59] ; [128  43],[218.50331126  63.49668874] ; [132.49668874  38.50331126],0
b4,1,0.316897,1.001711,[158 124] ; [104  67],[163.09933775 118.90066225] ; [98.90066225 72.09933775],0
a2,1,0.334281,0.932242,[ 81 201] ; [ 42 129],[ 76.56953642 205.43046358] ; [ 46.43046358 124.56953642],0
b1,1,0.543011,0.369987,[117 165] ; [ 66 105],[113.9205298 168.0794702] ; [ 69.0794702 101.9205298],0
