Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.1e-05,18.07479,[43 22] ; [51 96],[28.82075472 36.17924528] ; [65.17924528 81.82075472],1
d3,1,0.01805,5.591273,[49 17] ; [86 64],[41.25 24.75] ; [93.75 56.25],0
r2,1,0.019893,5.421246,[62  3] ; [125  24],[56.79906542  8.20093458] ; [130.20093458  18.79906542],0
n4,1,0.028089,4.822607,[47 19] ; [83 67],[39.72222222 26.27777778] ; [90.27777778 59.72222222],0
s8,1,0.037262,4.338378,[26 39] ; [ 39 112],[19.56018519 45.43981481] ; [ 45.43981481 105.56018519],0
p8,1,0.037533,4.326056,[25 40] ; [ 37 114],[18.65740741 46.34259259] ; [ 43.34259259 107.65740741],0
s2,1,0.038444,4.285251,[36 29] ; [61 91],[29.05529954 35.94470046] ; [67.94470046 84.05529954],0
v1,1,0.038972,4.262084,[33 33] ; [53 98],[26.15668203 39.84331797] ; [59.84331797 91.15668203],0
b4,1,0.042072,4.132314,[42 24] ; [74 78],[35.11926606 30.88073394] ; [80.88073394 71.11926606],0
r4,1,0.05496,3.683296,[52 14] ; [100  52],[46.01834862 19.98165138] ; [105.98165138  46.01834862],0
p4,1,0.058701,3.573714,[32 32] ; [55 97],[25.77777778 38.22222222] ; [61.22222222 90.77777778],0
r1,1,0.073356,3.206287,[50 16] ; [95 55],[44.30555556 21.69444444] ; [100.69444444  49.30555556],0
s6,1,0.086275,2.942546,[40 23] ; [76 74],[34.30985915 28.69014085] ; [81.69014085 68.30985915],0
s7,1,0.146423,2.109121,[28 31] ; [51 89],[23.42211055 35.57788945] ; [55.57788945 84.42211055],0
p10,1,0.171923,1.866093,[39 27] ; [72 75],[34.3943662 31.6056338] ; [76.6056338 70.3943662],0
n6,1,0.201884,1.628691,[47 18] ; [95 55],[42.93023256 22.06976744] ; [99.06976744 50.93023256],0
u1,1,0.211886,1.55849,[12 54] ; [ 18 134],[ 9.08256881 56.91743119] ; [ 20.91743119 131.08256881],0
b2,1,0.261385,1.261404,[ 8 23] ; [30 51],[10.51785714 20.48214286] ; [27.48214286 53.51785714],0
b3,1,0.261385,1.261404,[ 8 23] ; [30 51],[10.51785714 20.48214286] ; [27.48214286 53.51785714],0
r3,1,0.270276,1.215345,[55 11] ; [115  35],[51.94444444 14.05555556] ; [118.05555556  31.94444444],0
p3,1,0.276898,1.18225,[26 40] ; [ 48 103],[22.50691244 43.49308756] ; [51.49308756 99.50691244],0
a5,1,0.282503,1.15501,[45 21] ; [92 60],[41.47706422 24.52293578] ; [95.52293578 56.47706422],0
n1,1,0.29873,1.079854,[ 6 15] ; [28 40],[ 8.02247191 12.97752809] ; [25.97752809 42.02247191],0
b1,1,0.311717,1.023386,[32 34] ; [85 67],[35.42201835 30.57798165] ; [81.57798165 70.42201835],0
n3,1,0.33275,0.938166,[15  6] ; [40 27],[13.125  7.875] ; [41.875 25.125],0
d4,1,0.354733,0.856455,[52 14] ; [110  41],[49.2718894 16.7281106] ; [112.7281106  38.2718894],0
v4,1,0.376599,0.781776,[57  9] ; [123  28],[54.74654378 11.25345622] ; [125.25345622  25.74654378],0
p12,1,0.390116,0.738579,[ 2 64] ; [  2 149],[ 1.21658986 64.78341014] ; [  2.78341014 148.21658986],0
a1,1,0.395598,0.721665,[ 6 60] ; [  9 143],[ 4.5412844 61.4587156] ; [ 10.4587156 141.5412844],0
d2,1,0.415154,0.663993,[35 31] ; [71 80],[32.23963134 33.76036866] ; [73.76036866 77.23963134],0
n5,1,0.436559,0.60531,[42 24] ; [87 63],[39.41666667 26.58333333] ; [89.58333333 60.41666667],0
s4,1,0.454613,0.559125,[12 53] ; [ 35 117],[14.07834101 50.92165899] ; [ 32.92165899 119.07834101],0
a8,1,0.48081,0.497025,[ 4 54] ; [ 14 125],[ 5.29949239 52.70050761] ; [ 12.70050761 126.29949239],0
p9,1,0.49835,0.458449,[40 25] ; [82 63],[37.76190476 27.23809524] ; [84.23809524 60.76190476],0
s1,1,0.505094,0.444217,[ 5 60] ; [  8 142],[ 3.93023256 61.06976744] ; [  9.06976744 140.93023256],0
a2,1,0.513749,0.426424,[17 49] ; [ 33 119],[15.13761468 50.86238532] ; [ 34.86238532 117.13761468],0
p6,1,0.527137,0.399908,[19 45] ; [ 38 111],[17.12676056 46.87323944] ; [ 39.87323944 109.12676056],0
s5,1,0.542862,0.370262,[20 43] ; [ 40 105],[18.17307692 44.82692308] ; [ 41.82692308 103.17307692],0
b5,1,0.556521,0.345764,[44 22] ; [95 57],[42.08256881 23.91743119] ; [96.91743119 55.08256881],0
d5,1,0.626966,0.236197,[51 15] ; [112  39],[49.57603687 16.42396313] ; [113.42396313  37.57603687],0
a3,1,0.644446,0.212975,[44 21] ; [96 53],[42.52336449 22.47663551] ; [97.47663551 51.52336449],0
n2,1,0.673531,0.177499,[15  7] ; [43 25],[14.17777778  7.82222222] ; [43.82222222 24.17777778],0
u2,1,0.709237,0.13904,[ 9 12] ; [21 34],[ 8.28947368 12.71052632] ; [21.71052632 33.28947368],0
a4,1,0.73996,0.110162,[27 39] ; [65 85],[28.11111111 37.88888889] ; [63.88888889 86.11111111],0
a6,1,0.75452,0.097772,[41 25] ; [91 61],[39.96330275 26.03669725] ; [92.03669725 59.96330275],0
u3,1,0.754847,0.097503,[10 11] ; [24 31],[ 9.39473684 11.60526316] ; [24.60526316 30.39473684],0
d1,1,0.768127,0.086922,[34 32] ; [75 77],[33. 33.] ; [76. 76.],0
s3,1,0.803383,0.061987,[30 35] ; [72 78],[30.8372093 34.1627907] ; [71.1627907 78.8372093],0
p2,1,0.824447,0.049208,[41 25] ; [92 60],[40.26605505 25.73394495] ; [92.73394495 59.26605505],0
p1,1,0.907051,0.013633,[ 4 61] ; [ 10 142],[ 4.19354839 60.80645161] ; [  9.80645161 142.19354839],0
a7,1,0.926981,0.008399,[45 21] ; [102  49],[44.70967742 21.29032258] ; [102.29032258  48.70967742],0
p7,1,0.969973,0.001417,[29 35] ; [68 83],[28.8744186 35.1255814] ; [68.1255814 82.8744186],0
