Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000186,13.964745,[40 31] ; [ 86 181],[26.46745562 44.53254438] ; [ 99.53254438 167.46745562],1
p9,1,0.001975,9.573043,[52 18] ; [231  29],[60.03030303  9.96969697] ; [222.96969697  37.03030303],0
p10,1,0.003796,8.37912,[52 18] ; [230  31],[59.63746224 10.36253776] ; [222.36253776  38.63746224],0
r3,1,0.012327,6.263211,[65  6] ; [260   6],[68.47181009  2.52818991] ; [256.52818991   9.47181009],0
p11,1,0.012813,6.194761,[50 21] ; [223  44],[57.34615385 13.65384615] ; [215.65384615  51.34615385],0
d1,1,0.019921,5.418841,[37 34] ; [179  88],[45.37278107 25.62721893] ; [170.62721893  96.37278107],0
p8,1,0.023299,5.146098,[33 38] ; [158  99],[41.3445122 29.6554878] ; [149.6554878 107.3445122],0
p2,1,0.02454,5.056074,[53 17] ; [228  35],[59.06906907 10.93093093] ; [221.93093093  41.06906907],0
a7,1,0.029544,4.735606,[44 27] ; [198  66],[51.28955224 19.71044776] ; [190.71044776  73.28955224],0
v1,1,0.034272,4.481078,[40 30] ; [186  78],[47.36526946 22.63473054] ; [178.63473054  85.36526946],0
b4,1,0.04655,3.961592,[36 35] ; [170  97],[43.27218935 27.72781065] ; [162.72781065 104.27218935],0
p12,1,0.052401,3.762913,[ 4 67] ; [ 37 224],[ 8.76807229 62.23192771] ; [ 32.23192771 228.76807229],0
d4,1,0.071854,3.24016,[54 16] ; [227  37],[58.89221557 11.10778443] ; [222.10778443  41.89221557],0
r1,1,0.090768,2.860696,[56 15] ; [232  35],[60.49704142 10.50295858] ; [227.50295858  39.49704142],0
p7,1,0.093828,2.807448,[42 27] ; [182  73],[47.7037037 21.2962963] ; [176.2962963  78.7037037],0
s1,1,0.138224,2.197625,[ 4 66] ; [  6 255],[ 2.11480363 67.88519637] ; [  7.88519637 253.11480363],0
r2,1,0.139576,2.182631,[67  4] ; [258   6],[68.88059701  2.11940299] ; [256.11940299   7.88059701],0
p5,1,0.147435,2.098588,[16 54] ; [ 41 223],[11.94610778 58.05389222] ; [ 45.05389222 218.94610778],0
s8,1,0.154624,2.026027,[32 39] ; [143 119],[37.31231231 33.68768769] ; [137.68768769 124.31231231],0
