Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,50.109846,[104  34] ; [ 1 26],[87.81818182 50.18181818] ; [17.18181818  9.81818182],1
v4,1,1.3e-05,19.047399,[117  20] ; [13 14],[108.59756098  28.40243902] ; [21.40243902  5.59756098],1
r1,1,0.000428,12.406736,[91 47] ; [ 8 19],[82.8 55.2] ; [16.2 10.8],1
u3,1,0.000458,12.280527,[28 20] ; [ 1 14],[22.0952381 25.9047619] ; [6.9047619 8.0952381],1
d5,1,0.002443,9.182707,[102  36] ; [12 15],[95.34545455 42.65454545] ; [18.65454545  8.34545455],0
a6,1,0.003754,8.399212,[92 46] ; [10 17],[85.30909091 52.69090909] ; [16.69090909 10.30909091],0
d3,1,0.00532,7.767244,[86 52] ; [ 9 18],[79.45454545 58.54545455] ; [15.54545455 11.45454545],0
a4,1,0.006677,7.357926,[64 73] ; [ 5 22],[57.6402439 79.3597561] ; [11.3597561 15.6402439],0
p11,1,0.00774,7.092727,[89 49] ; [10 17],[82.8 55.2] ; [16.2 10.8],0
d1,1,0.011768,6.345538,[67 71] ; [ 6 21],[61.05454545 76.94545455] ; [11.94545455 15.05454545],0
p10,1,0.01858,5.540648,[84 53] ; [ 9 16],[78.64814815 58.35185185] ; [14.35185185 10.64814815],0
s3,1,0.020767,5.346265,[ 34 104] ; [ 1 24],[ 29.63190184 108.36809816] ; [ 5.36809816 19.63190184],0
v3,1,0.025137,5.014435,[36 94] ; [ 2 25],[31.46496815 98.53503185] ; [ 6.53503185 20.46496815],0
a5,1,0.025505,4.989265,[88 50] ; [11 16],[82.8 55.2] ; [16.2 10.8],0
a7,1,0.033778,4.505882,[95 42] ; [13 14],[90.2195122 46.7804878] ; [17.7804878  9.2195122],0
r3,1,0.035903,4.401694,[114  23] ; [17  9],[110.10429448  26.89570552] ; [20.89570552  5.10429448],0
d2,1,0.037629,4.321713,[59 76] ; [ 6 21],[54.16666667 80.83333333] ; [10.83333333 16.16666667],0
v2,1,0.045764,3.990266,[53 80] ; [ 5 21],[48.51572327 84.48427673] ; [ 9.48427673 16.51572327],0
a8,1,0.056492,3.637504,[  7 124] ; [ 4 21],[  9.23717949 121.76282051] ; [ 1.76282051 23.23717949],0
d4,1,0.060518,3.523122,[105  32] ; [16 11],[101.07926829  35.92073171] ; [19.92073171  7.07926829],0
a3,1,0.065931,3.381518,[90 48] ; [12 14],[85.82926829 52.17073171] ; [16.17073171  9.82926829],0
p9,1,0.092665,2.827454,[87 49] ; [11 13],[83.3 52.7] ; [14.7  9.3],0
v1,1,0.102383,2.668021,[47 89] ; [ 5 22],[43.38650307 92.61349693] ; [ 8.61349693 18.38650307],0
s2,1,0.116205,2.467735,[ 21 116] ; [ 1 25],[ 18.49079755 118.50920245] ; [ 3.50920245 22.49079755],0
n4,1,0.121947,2.392139,[93 45] ; [14 13],[89.49090909 48.50909091] ; [17.50909091  9.49090909],0
p3,1,0.228142,1.45241,[ 30 107] ; [ 3 23],[ 27.73619632 109.26380368] ; [ 5.26380368 20.73619632],0
p2,1,0.247779,1.335783,[83 55] ; [13 14],[80.29090909 57.70909091] ; [15.70909091 11.29090909],0
b5,1,0.279107,1.171435,[77 61] ; [12 15],[74.43636364 63.56363636] ; [14.56363636 12.43636364],0
n1,1,0.283217,1.151586,[19 26] ; [ 4 11],[17.25 27.75] ; [5.75 9.25],0
u1,1,0.286997,1.133655,[ 14 124] ; [ 1 26],[ 12.54545455 125.45454545] ; [ 2.45454545 24.54545455],0
p6,1,0.288136,1.128309,[ 15 123] ; [ 1 24],[ 13.54601227 124.45398773] ; [ 2.45398773 22.54601227],0
s5,1,0.296201,1.091222,[ 13 117] ; [ 1 26],[ 11.59235669 118.40764331] ; [ 2.40764331 24.59235669],0
b1,1,0.384031,0.757757,[59 79] ; [14 13],[61.05454545 76.94545455] ; [11.94545455 15.05454545],0
b4,1,0.40011,0.707995,[80 58] ; [18  9],[81.96363636 56.03636364] ; [16.03636364 10.96363636],0
p4,1,0.405254,0.692682,[ 36 102] ; [ 5 22],[ 34.29090909 103.70909091] ; [ 6.70909091 20.29090909],0
p12,1,0.430368,0.62183,[  2 134] ; [ 1 26],[  2.50306748 133.49693252] ; [ 0.49693252 26.50306748],0
