Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.676681,[42  5] ; [1 7],[36.74545455 10.25454545] ; [6.25454545 1.74545455],1
v4,1,3.9e-05,16.921255,[43  3] ; [3 5],[39.18518519  6.81481481] ; [6.81481481 1.18518519],1
p10,1,0.000262,13.324904,[39  7] ; [2 6],[34.92592593 11.07407407] ; [6.07407407 1.92592593],1
p9,1,0.0006,11.776863,[38  8] ; [2 6],[34.07407407 11.92592593] ; [5.92592593 2.07407407],1
n2,1,0.004945,7.899513,[16  3] ; [1 4],[13.45833333  5.54166667] ; [3.54166667 1.45833333],0
p8,1,0.01133,6.412804,[28 18] ; [1 7],[24.7037037 21.2962963] ; [4.2962963 3.7037037],0
p11,1,0.015514,5.857159,[37 10] ; [3 5],[34.18181818 12.81818182] ; [5.81818182 2.18181818],0
s6,1,0.016369,5.762771,[38  6] ; [4 4],[35.53846154  8.46153846] ; [6.46153846 1.53846154],0
r2,1,0.02518,5.011431,[42  5] ; [4 3],[40.03703704  6.96296296] ; [5.96296296 1.03703704],0
s3,1,0.027383,4.866526,[35 11] ; [3 5],[32.37037037 13.62962963] ; [5.62962963 2.37037037],0
p7,1,0.040688,4.188947,[34 12] ; [3 5],[31.51851852 14.48148148] ; [5.48148148 2.51851852],0
r1,1,0.052206,3.769148,[34 13] ; [3 5],[31.61818182 15.38181818] ; [5.38181818 2.61818182],0
d5,1,0.084695,2.972422,[37 10] ; [4 4],[35.03636364 11.96363636] ; [5.96363636 2.03636364],0
p6,1,0.097143,2.751835,[20 26] ; [1 7],[17.88888889 28.11111111] ; [3.11111111 4.88888889],0
a6,1,0.105793,2.615975,[20 27] ; [1 7],[17.94545455 29.05454545] ; [3.05454545 4.94545455],0
p4,1,0.112799,2.514564,[26 21] ; [2 6],[23.92727273 23.07272727] ; [4.07272727 3.92727273],0
n6,1,0.118431,2.437943,[36 11] ; [4 4],[34.18181818 12.81818182] ; [5.81818182 2.18181818],0
s2,1,0.137743,2.202993,[30 16] ; [3 5],[28.11111111 17.88888889] ; [4.88888889 3.11111111],0
b4,1,0.140358,2.174026,[25 22] ; [2 6],[23.07272727 23.92727273] ; [3.92727273 4.07272727],0
s7,1,0.150241,2.069805,[31 13] ; [3 4],[29.33333333 14.66666667] ; [4.66666667 2.33333333],0
n3,1,0.155132,2.021053,[14  5] ; [2 3],[12.66666667  6.33333333] ; [3.33333333 1.66666667],0
d4,1,0.158958,1.984111,[35 12] ; [4 4],[33.32727273 13.67272727] ; [5.67272727 2.32727273],0
v2,1,0.164196,1.935154,[17 28] ; [1 7],[15.28301887 29.71698113] ; [2.71698113 5.28301887],0
s1,1,0.175628,1.834239,[ 4 42] ; [2 6],[ 5.11111111 40.88888889] ; [0.88888889 7.11111111],0
n1,1,0.192582,1.697755,[10  9] ; [1 4],[ 8.70833333 10.29166667] ; [2.29166667 2.70833333],0
p3,1,0.19953,1.64581,[29 18] ; [3 5],[27.34545455 19.65454545] ; [4.65454545 3.34545455],0
b5,1,0.206227,1.597721,[13 34] ; [4 4],[14.52727273 32.47272727] ; [2.47272727 5.52727273],0
s5,1,0.228487,1.450258,[26 17] ; [3 5],[24.45098039 18.54901961] ; [4.54901961 3.45098039],0
v1,1,0.250234,1.321994,[22 25] ; [2 6],[20.50909091 26.49090909] ; [3.49090909 4.50909091],0
d1,1,0.411824,0.67353,[25 22] ; [3 5],[23.92727273 23.07272727] ; [4.07272727 3.92727273],0
a3,1,0.469813,0.522416,[29 18] ; [6 2],[29.90909091 17.09090909] ; [5.09090909 2.90909091],0
b1,1,0.478071,0.503261,[23 24] ; [5 3],[23.92727273 23.07272727] ; [4.07272727 3.92727273],0
d2,1,0.549225,0.358707,[24 23] ; [5 3],[24.78181818 22.21818182] ; [4.21818182 3.78181818],0
p2,1,0.662558,0.190431,[33 14] ; [5 3],[32.47272727 14.52727273] ; [5.52727273 2.47272727],0
d3,1,0.694609,0.154141,[27 20] ; [4 4],[26.49090909 20.50909091] ; [4.50909091 3.49090909],0
n4,1,0.695619,0.15307,[32 15] ; [6 2],[32.47272727 14.52727273] ; [5.52727273 2.47272727],0
n5,1,0.695619,0.15307,[32 15] ; [6 2],[32.47272727 14.52727273] ; [5.52727273 2.47272727],0
v3,1,0.72864,0.120364,[14 31] ; [2 6],[13.58490566 31.41509434] ; [2.41509434 5.58490566],0
u2,1,0.760907,0.092593,[11  7] ; [1 1],[10.8  7.2] ; [1.2 0.8],0
a4,1,0.780007,0.078014,[21 26] ; [4 4],[21.36363636 25.63636364] ; [3.63636364 4.36363636],0
b2,1,0.793488,0.068531,[ 6 22] ; [1 5],[ 5.76470588 22.23529412] ; [1.23529412 4.76470588],0
b3,1,0.793488,0.068531,[ 6 22] ; [1 5],[ 5.76470588 22.23529412] ; [1.23529412 4.76470588],0
p1,1,0.859104,0.031512,[ 7 40] ; [1 7],[ 6.83636364 40.16363636] ; [1.16363636 6.83636364],0
a5,1,0.96575,0.001844,[29 18] ; [5 3],[29.05454545 17.94545455] ; [4.94545455 3.05454545],0
