Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,3e-06,22.140498,[58 44] ; [ 5 34],[45.57446809 56.42553191] ; [17.42553191 21.57446809],1
d1,1,1.4e-05,18.857762,[70 32] ; [11 28],[58.59574468 43.40425532] ; [22.40425532 16.59574468],1
a4,1,8.1e-05,15.538825,[50 52] ; [ 5 34],[39.78723404 62.21276596] ; [15.21276596 23.78723404],1
a3,1,0.001187,10.510187,[72 30] ; [16 23],[63.65957447 38.34042553] ; [24.34042553 14.65957447],0
d5,1,0.008123,7.006077,[88 14] ; [26 13],[82.46808511 19.53191489] ; [31.53191489  7.46808511],0
p7,1,0.012132,6.291485,[62 38] ; [15 24],[55.39568345 44.60431655] ; [21.60431655 17.39568345],0
v2,1,0.017073,5.688825,[57 39] ; [13 23],[50.90909091 45.09090909] ; [19.09090909 16.90909091],0
r1,1,0.046483,3.96402,[81 20] ; [25 14],[76.47142857 24.52857143] ; [29.52857143  9.47142857],0
p3,1,0.060053,3.535913,[52 50] ; [13 26],[47.0212766 54.9787234] ; [17.9787234 21.0212766],0
p8,1,0.06468,3.413119,[50 52] ; [12 26],[45.17142857 56.82857143] ; [16.82857143 21.17142857],0
p10,1,0.071463,3.249097,[79 23] ; [23 14],[74.84892086 27.15107914] ; [27.15107914  9.84892086],0
p4,1,0.080718,3.050376,[56 46] ; [15 24],[51.36170213 50.63829787] ; [19.63829787 19.36170213],0
r3,1,0.099742,2.709662,[100   2] ; [36  3],[98.38297872  3.61702128] ; [37.61702128  1.38297872],0
r4,1,0.130198,2.290144,[91 11] ; [31  8],[88.25531915 13.74468085] ; [33.74468085  5.25531915],0
n4,1,0.154886,2.023463,[42 60] ; [11 28],[38.34042553 63.65957447] ; [14.65957447 24.34042553],0
a6,1,0.172956,1.857133,[70 32] ; [22 17],[66.55319149 35.44680851] ; [25.44680851 13.55319149],0
b4,1,0.212174,1.556532,[69 33] ; [22 17],[65.82978723 36.17021277] ; [25.17021277 13.82978723],0
s2,1,0.235385,1.40802,[66 36] ; [21 18],[62.93617021 39.06382979] ; [24.06382979 14.93617021],0
p6,1,0.252812,1.307696,[33 69] ; [ 8 28],[30.30434783 71.69565217] ; [10.69565217 25.30434783],0
p9,1,0.28142,1.160221,[83 19] ; [27 10],[80.71942446 21.28057554] ; [29.28057554  7.71942446],0
p5,1,0.31835,0.995715,[ 7 94] ; [ 1 38],[ 5.77142857 95.22857143] ; [ 2.22857143 36.77142857],0
p12,1,0.323659,0.974103,[ 7 95] ; [ 1 38],[ 5.78723404 96.21276596] ; [ 2.21276596 36.78723404],0
p2,1,0.327279,0.959634,[78 23] ; [27 12],[75.75 25.25] ; [29.25  9.75],0
u2,1,0.330116,0.948444,[19 11] ; [16  5],[20.58823529  9.41176471] ; [14.41176471  6.58823529],0
v3,1,0.34791,0.881065,[32 66] ; [ 9 28],[29.76296296 68.23703704] ; [11.23703704 25.76296296],0
u3,1,0.361499,0.83268,[19 10] ; [17  5],[20.47058824  8.52941176] ; [15.52941176  6.47058824],0
s3,1,0.382782,0.761749,[64 36] ; [28 11],[66.18705036 33.81294964] ; [25.81294964 13.18705036],0
n3,1,0.402767,0.700049,[26  7] ; [8 4],[24.93333333  8.06666667] ; [9.06666667 2.93333333],0
p1,1,0.447425,0.577167,[ 9 91] ; [ 2 37],[ 7.91366906 92.08633094] ; [ 3.08633094 35.91366906],0
s8,1,0.563579,0.333546,[50 52] ; [17 22],[48.46808511 53.53191489] ; [18.53191489 20.46808511],0
v4,1,0.56518,0.330814,[93  8] ; [37  2],[93.78571429  7.21428571] ; [36.21428571  2.78571429],0
s4,1,0.609746,0.260544,[27 75] ; [12 27],[28.21276596 73.78723404] ; [10.78723404 28.21276596],0
s7,1,0.620266,0.245494,[48 52] ; [16 21],[46.71532847 53.28467153] ; [17.28467153 19.71532847],0
r2,1,0.638011,0.221353,[92  8] ; [34  4],[91.30434783  8.69565217] ; [34.69565217  3.30434783],0
s5,1,0.641153,0.217238,[41 56] ; [14 23],[39.81343284 57.18656716] ; [15.18656716 21.81343284],0
p11,1,0.645138,0.212085,[67 35] ; [24 15],[65.82978723 36.17021277] ; [25.17021277 13.82978723],0
d3,1,0.652609,0.202627,[77 25] ; [28 11],[75.95744681 26.04255319] ; [29.04255319  9.95744681],0
n1,1,0.691615,0.157343,[ 9 24] ; [4 8],[ 9.53333333 23.46666667] ; [3.46666667 8.53333333],0
a1,1,0.706253,0.142048,[ 7 95] ; [ 2 37],[ 6.5106383 95.4893617] ; [ 2.4893617 36.5106383],0
s1,1,0.750846,0.100821,[ 4 98] ; [ 2 37],[ 4.34042553 97.65957447] ; [ 1.65957447 37.34042553],0
d4,1,0.800586,0.063801,[88 14] ; [33  6],[87.53191489 14.46808511] ; [33.46808511  5.53191489],0
n6,1,0.802855,0.062327,[67 34] ; [25 14],[66.37142857 34.62857143] ; [25.62857143 13.37142857],0
b1,1,0.826872,0.047837,[36 66] ; [13 26],[35.44680851 66.55319149] ; [13.55319149 25.44680851],0
a8,1,0.839106,0.041224,[ 6 86] ; [ 2 34],[ 5.75 86.25] ; [ 2.25 33.75],0
b5,1,0.844239,0.038602,[62 40] ; [23 16],[61.4893617 40.5106383] ; [23.5106383 15.4893617],0
n2,1,0.878825,0.023244,[24  9] ; [9 3],[24.2  8.8] ; [8.8 3.2],0
a7,1,0.889377,0.019347,[77 25] ; [29 10],[76.68085106 25.31914894] ; [29.31914894  9.68085106],0
b2,1,0.914267,0.01159,[17 40] ; [ 6 15],[16.80769231 40.19230769] ; [ 6.19230769 14.80769231],0
b3,1,0.914267,0.01159,[17 40] ; [ 6 15],[16.80769231 40.19230769] ; [ 6.19230769 14.80769231],0
v1,1,0.931512,0.007386,[42 57] ; [16 21],[42.22058824 56.77941176] ; [15.77941176 21.22058824],0
