Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,8e-06,19.929198,[14 48] ; [19  7],[23.25 38.75] ; [ 9.75 16.25],1
p3,1,0.000172,14.11328,[10 51] ; [15 12],[17.32954545 43.67045455] ; [ 7.67045455 19.32954545],1
p7,1,0.000298,13.083311,[16 45] ; [17  8],[23.40697674 37.59302326] ; [ 9.59302326 15.40697674],1
p5,1,0.001227,10.449475,[ 3 58] ; [ 8 19],[ 7.625 53.375] ; [ 3.375 23.625],0
p10,1,0.002033,9.51957,[30 31] ; [22  4],[36.45977011 24.54022989] ; [15.54022989 10.45977011],0
p11,1,0.009968,6.640656,[30 32] ; [21  6],[35.52808989 26.47191011] ; [15.47191011 11.52808989],0
p6,1,0.010619,6.527955,[11 49] ; [12 15],[15.86206897 44.13793103] ; [ 7.13793103 19.86206897],0
v4,1,0.019649,5.442833,[32 30] ; [19  5],[36.76744186 25.23255814] ; [14.23255814  9.76744186],0
s8,1,0.025363,4.998963,[12 50] ; [11 15],[16.20454545 45.79545455] ; [ 6.79545455 19.20454545],0
s7,1,0.032041,4.596286,[18 40] ; [14 11],[22.36144578 35.63855422] ; [ 9.63855422 15.36144578],0
n2,1,0.034128,4.488284,[18 12] ; [12  1],[20.93023256  9.06976744] ; [9.06976744 3.93023256],0
p2,1,0.035618,4.415315,[30 30] ; [20  7],[34.48275862 25.51724138] ; [15.51724138 11.48275862],0
r3,1,0.038213,4.295496,[26 34] ; [17  8],[30.35294118 29.64705882] ; [12.64705882 12.35294118],0
a2,1,0.04601,3.981213,[ 6 56] ; [ 7 20],[ 9.05617978 52.94382022] ; [ 3.94382022 23.05617978],0
b5,1,0.061984,3.48348,[28 34] ; [18  9],[32.04494382 29.95505618] ; [13.95505618 13.04494382],0
n6,1,0.068495,3.318726,[37 24] ; [21  5],[40.66666667 20.33333333] ; [17.33333333  8.66666667],0
s4,1,0.078069,3.104652,[ 9 53] ; [ 8 18],[11.97727273 50.02272727] ; [ 5.02272727 20.97727273],0
a7,1,0.087618,2.91761,[22 39] ; [15 12],[25.64772727 35.35227273] ; [11.35227273 15.64772727],0
