Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3.6e-05,17.052486,[58  9] ; [17 18],[49.26470588 17.73529412] ; [25.73529412  9.26470588],1
p8,1,0.002728,8.981213,[53 14] ; [17 17],[46.43564356 20.56435644] ; [23.56435644 10.43564356],0
p6,1,0.003656,8.447379,[45 22] ; [13 22],[38.09803922 28.90196078] ; [19.90196078 15.09803922],0
d2,1,0.031442,4.628662,[38 29] ; [12 23],[32.84313725 34.15686275] ; [17.15686275 17.84313725],0
b1,1,0.04462,4.032927,[33 34] ; [10 25],[28.24509804 38.75490196] ; [14.75490196 20.24509804],0
u1,1,0.059374,3.554795,[16 51] ; [ 3 32],[12.48039216 54.51960784] ; [ 6.51960784 28.48039216],0
d4,1,0.080134,3.062175,[56 11] ; [24 11],[52.54901961 14.45098039] ; [27.45098039  7.54901961],0
d1,1,0.094464,2.796613,[44 23] ; [17 18],[40.06862745 26.93137255] ; [20.93137255 14.06862745],0
n4,1,0.101214,2.686314,[49 18] ; [20 15],[45.32352941 21.67647059] ; [23.67647059 11.32352941],0
a5,1,0.127309,2.325014,[50 17] ; [21 14],[46.6372549 20.3627451] ; [24.3627451 10.6372549],0
a7,1,0.131007,2.280535,[39 28] ; [25  9],[42.45544554 24.54455446] ; [21.54455446 12.45544554],0
p5,1,0.170441,1.879062,[10 57] ; [ 2 33],[ 7.88235294 59.11764706] ; [ 4.11764706 30.88235294],0
v3,1,0.174844,1.840909,[25 41] ; [ 8 25],[22. 44.] ; [11. 22.],0
p12,1,0.175815,1.83265,[ 7 60] ; [ 1 34],[ 5.25490196 61.74509804] ; [ 2.74509804 32.25490196],0
v1,1,0.182095,1.78044,[37 30] ; [14 20],[33.83168317 33.16831683] ; [17.16831683 16.83168317],0
b3,1,0.193852,1.688099,[11 31] ; [ 2 16],[ 9.1 32.9] ; [ 3.9 14.1],0
b2,1,0.193852,1.688099,[11 31] ; [ 2 16],[ 9.1 32.9] ; [ 3.9 14.1],0
