Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.003591,8.479811,[61 16] ; [7 9],[56.30107527 20.69892473] ; [11.69892473  4.30107527],0
u3,1,0.007602,7.124849,[12 22] ; [7 1],[15.38095238 18.61904762] ; [3.61904762 4.38095238],0
s1,1,0.009742,6.681549,[ 2 74] ; [ 3 13],[ 4.13043478 71.86956522] ; [ 0.86956522 15.13043478],0
r2,1,0.022709,5.190631,[72  5] ; [12  4],[69.5483871  7.4516129] ; [14.4516129  1.5483871],0
b1,1,0.033513,4.519369,[31 47] ; [11  5],[34.85106383 43.14893617] ; [7.14893617 8.85106383],0
a7,1,0.066498,3.367418,[53 25] ; [7 9],[49.78723404 28.21276596] ; [10.21276596  5.78723404],0
d3,1,0.067415,3.344858,[28 50] ; [ 2 14],[24.89361702 53.10638298] ; [ 5.10638298 10.89361702],0
p6,1,0.141674,2.15968,[35 43] ; [ 4 12],[32.36170213 45.63829787] ; [6.63829787 9.36170213],0
p7,1,0.144759,2.126628,[58 20] ; [9 7],[55.59574468 22.40425532] ; [11.40425532  4.59574468],0
s7,1,0.153706,2.035083,[36 37] ; [ 4 10],[33.56321839 39.43678161] ; [6.43678161 7.56321839],0
n6,1,0.176865,1.823769,[65 13] ; [11  5],[63.06382979 14.93617021] ; [12.93617021  3.06382979],0
p1,1,0.208199,1.583903,[15 63] ; [ 1 15],[13.27659574 64.72340426] ; [ 2.72340426 13.27659574],0
d2,1,0.220079,1.503853,[22 56] ; [7 9],[24.06382979 53.93617021] ; [ 4.93617021 11.06382979],0
u2,1,0.256645,1.286765,[16 18] ; [2 6],[14.57142857 19.42857143] ; [3.42857143 4.57142857],0
b4,1,0.272299,1.205128,[41 37] ; [ 6 10],[39. 39.] ; [8. 8.],0
p8,1,0.3022,1.064463,[42 35] ; [6 9],[40.17391304 36.82608696] ; [7.82608696 7.17391304],0
a6,1,0.338983,0.914275,[49 29] ; [8 8],[47.29787234 30.70212766] ; [9.70212766 6.29787234],0
a4,1,0.349912,0.873777,[20 57] ; [ 6 10],[21.52688172 55.47311828] ; [ 4.47311828 11.52688172],0
b5,1,0.354464,0.857411,[44 34] ; [7 9],[42.31914894 35.68085106] ; [8.68085106 7.31914894],0
n1,1,0.359637,0.839161,[10 10] ; [3 1],[10.83333333  9.16666667] ; [2.16666667 1.83333333],0
n5,1,0.362039,0.830806,[61 16] ; [11  5],[59.61290323 17.38709677] ; [12.38709677  3.61290323],0
s4,1,0.363875,0.824475,[12 65] ; [ 4 12],[13.24731183 63.75268817] ; [ 2.75268817 13.24731183],0
p10,1,0.377072,0.780225,[60 16] ; [11  5],[58.65217391 17.34782609] ; [12.34782609  3.65217391],0
p12,1,0.397997,0.71437,[ 5 73] ; [ 2 14],[ 5.80851064 72.19148936] ; [ 1.19148936 14.80851064],0
a5,1,0.411639,0.674062,[45 33] ; [11  5],[46.46808511 31.53191489] ; [9.53191489 6.46808511],0
v1,1,0.423492,0.640603,[40 38] ; [6 9],[38.58064516 39.41935484] ; [7.41935484 7.58064516],0
a8,1,0.42889,0.625827,[ 8 62] ; [ 3 13],[ 8.95348837 61.04651163] ; [ 2.04651163 13.95348837],0
p9,1,0.488479,0.479874,[60 18] ; [11  5],[58.91489362 19.08510638] ; [12.08510638  3.91489362],0
v2,1,0.507168,0.439906,[38 39] ; [6 9],[36.82608696 40.17391304] ; [7.17391304 7.82608696],0
v4,1,0.541136,0.373439,[71  6] ; [14  2],[70.37634409  6.62365591] ; [14.62365591  1.37634409],0
s6,1,0.563703,0.333333,[44 31] ; [10  5],[45. 30.] ; [9. 6.],0
a2,1,0.619802,0.246145,[ 8 70] ; [ 1 15],[ 7.46808511 70.53191489] ; [ 1.53191489 14.46808511],0
a3,1,0.638492,0.220719,[44 34] ; [8 8],[43.14893617 34.85106383] ; [8.85106383 7.14893617],0
b3,1,0.669039,0.182728,[14 39] ; [2 8],[13.46031746 39.53968254] ; [2.53968254 7.46031746],0
b2,1,0.669039,0.182728,[14 39] ; [2 8],[13.46031746 39.53968254] ; [2.53968254 7.46031746],0
v3,1,0.69728,0.151317,[28 49] ; [ 5 11],[27.32258065 49.67741935] ; [ 5.67741935 10.32258065],0
s5,1,0.700046,0.148424,[20 56] ; [ 3 11],[19.42222222 56.57777778] ; [ 3.57777778 10.42222222],0
r3,1,0.72203,0.126556,[71  7] ; [15  1],[71.36170213  6.63829787] ; [14.63829787  1.36170213],0
s8,1,0.766109,0.088487,[31 47] ; [7 9],[31.53191489 46.46808511] ; [6.46808511 9.53191489],0
s2,1,0.789522,0.071252,[28 49] ; [6 9],[28.45652174 48.54347826] ; [5.54347826 9.45652174],0
p11,1,0.806301,0.060123,[56 22] ; [11  5],[55.59574468 22.40425532] ; [11.40425532  4.59574468],0
n2,1,0.814871,0.054825,[15  5] ; [4 1],[15.2  4.8] ; [3.8 1.2],0
p5,1,0.838774,0.041397,[12 66] ; [ 2 13],[11.74193548 66.25806452] ; [ 2.25806452 12.74193548],0
r4,1,0.839927,0.040799,[65 13] ; [13  3],[64.72340426 13.27659574] ; [13.27659574  2.72340426],0
r1,1,0.912819,0.011987,[54 23] ; [11  5],[53.8172043 23.1827957] ; [11.1827957  4.8172043],0
s3,1,0.923762,0.009158,[39 37] ; [8 8],[38.82608696 37.17391304] ; [8.17391304 7.82608696],0
d5,1,0.925546,0.008733,[40 38] ; [8 8],[39.82978723 38.17021277] ; [8.17021277 7.82978723],0
