Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,30.907692,[ 1 44] ; [40 38],[15. 30.] ; [26. 52.],1
d3,1,0.0,30.86159,[ 6 37] ; [52 26],[20.61157025 22.38842975] ; [37.38842975 40.61157025],1
d5,1,2e-06,22.687608,[16 28] ; [62 16],[28.13114754 15.86885246] ; [49.86885246 28.13114754],1
a5,1,8.1e-05,15.542275,[10 35] ; [46 32],[20.48780488 24.51219512] ; [35.51219512 42.48780488],1
a3,1,9.8e-05,15.172018,[14 31] ; [52 25],[24.3442623 20.6557377] ; [41.6557377 35.3442623],1
v2,1,0.001002,10.82338,[ 6 37] ; [33 43],[14.09243697 28.90756303] ; [24.90756303 51.09243697],0
a7,1,0.001668,9.883417,[17 27] ; [53 25],[25.24590164 18.75409836] ; [44.75409836 33.24590164],0
r3,1,0.006811,7.322277,[27 17] ; [65 13],[33.18032787 10.81967213] ; [58.81967213 19.18032787],0
a4,1,0.009129,6.797396,[ 6 39] ; [27 50],[12.17213115 32.82786885] ; [20.82786885 56.17213115],0
d2,1,0.012401,6.252617,[11 34] ; [36 40],[17.47933884 27.52066116] ; [29.52066116 46.47933884],0
s7,1,0.025943,4.959832,[ 6 38] ; [24 51],[11.09243697 32.90756303] ; [18.90756303 56.09243697],0
s6,1,0.034464,4.471536,[12 33] ; [35 41],[17.47933884 27.52066116] ; [29.52066116 46.47933884],0
v3,1,0.042598,4.111298,[ 7 37] ; [25 51],[11.73333333 32.26666667] ; [20.26666667 55.73333333],0
n5,1,0.045344,4.005791,[33 12] ; [43 35],[27.80487805 17.19512195] ; [48.19512195 29.80487805],0
s3,1,0.070733,3.265934,[13 32] ; [35 42],[17.70491803 27.29508197] ; [30.29508197 46.70491803],0
s5,1,0.092286,2.834031,[ 5 40] ; [17 55],[ 8.46153846 36.53846154] ; [13.53846154 58.46153846],0
s8,1,0.10113,2.687625,[ 5 40] ; [18 60],[ 8.41463415 36.58536585] ; [14.58536585 63.41463415],0
s2,1,0.113872,2.499643,[10 35] ; [28 50],[13.90243902 31.09756098] ; [24.09756098 53.90243902],0
n2,1,0.117036,2.456551,[9 8] ; [24  8],[11.44897959  5.55102041] ; [21.55102041 10.44897959],0
a2,1,0.131561,2.273989,[ 2 43] ; [10 68],[ 4.3902439 40.6097561] ; [ 7.6097561 70.3902439],0
p3,1,0.134265,2.242487,[ 6 39] ; [19 58],[ 9.22131148 35.77868852] ; [15.77868852 61.22131148],0
v1,1,0.164838,1.929277,[10 35] ; [25 48],[13.34745763 31.65254237] ; [21.65254237 51.34745763],0
p10,1,0.180637,1.792374,[22 20] ; [50 27],[25.41176471 16.58823529] ; [46.58823529 30.41176471],0
r2,1,0.22257,1.487726,[32 13] ; [59 14],[34.70338983 10.29661017] ; [56.29661017 16.70338983],0
u2,1,0.230493,1.43782,[10 21] ; [12 13],[12.17857143 18.82142857] ; [ 9.82142857 15.17857143],0
n6,1,0.271803,1.207627,[28 17] ; [56 22],[30.73170732 14.26829268] ; [53.26829268 24.73170732],0
n1,1,0.275963,1.186863,[ 3 14] ; [10 21],[ 4.60416667 12.39583333] ; [ 8.39583333 22.60416667],0
p12,1,0.279038,1.171767,[ 2 43] ; [ 1 76],[ 1.10655738 43.89344262] ; [ 1.89344262 75.10655738],0
a6,1,0.297093,1.087199,[21 24] ; [44 34],[23.7804878 21.2195122] ; [41.2195122 36.7804878],0
u3,1,0.305945,1.048101,[ 8 23] ; [10 16],[ 9.78947368 21.21052632] ; [ 8.21052632 17.78947368],0
b1,1,0.324219,0.971852,[19 26] ; [26 52],[16.46341463 28.53658537] ; [28.53658537 49.46341463],0
b3,1,0.327904,0.957156,[ 7 16] ; [20 27],[ 8.87142857 14.12857143] ; [18.12857143 28.87142857],0
