Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,9e-06,19.632063,[39 13] ; [ 9 25],[29.02325581 22.97674419] ; [18.97674419 15.02325581],1
n2,1,0.003827,8.364055,[23  4] ; [ 8 10],[18.6  8.4] ; [12.4  5.6],0
s7,1,0.010993,6.466431,[24 25] ; [ 7 26],[18.52439024 30.47560976] ; [12.47560976 20.52439024],0
p6,1,0.050372,3.829031,[16 35] ; [ 4 28],[12.28915663 38.71084337] ; [ 7.71084337 24.28915663],0
d2,1,0.056382,3.640734,[24 27] ; [ 9 25],[19.8 31.2] ; [13.2 20.8],0
a5,1,0.063064,3.454912,[29 23] ; [12 22],[24.79069767 27.20930233] ; [16.20930233 17.79069767],0
a3,1,0.069941,3.284394,[34 18] ; [15 18],[29.97647059 22.02352941] ; [19.02352941 13.97647059],0
a7,1,0.076013,3.148148,[23 28] ; [22 12],[27. 24.] ; [18. 16.],0
v3,1,0.090008,2.874221,[16 36] ; [ 5 29],[12.69767442 39.30232558] ; [ 8.30232558 25.69767442],0
r3,1,0.146011,2.113442,[28 23] ; [24 10],[31.2 19.8] ; [20.8 13.2],0
n6,1,0.146269,2.110739,[37 15] ; [19 15],[33.86046512 18.13953488] ; [22.13953488 11.86046512],0
a4,1,0.203747,1.615311,[19 33] ; [ 8 26],[16.3255814 35.6744186] ; [10.6744186 23.3255814],0
p3,1,0.224025,1.478398,[12 38] ; [12 21],[14.45783133 35.54216867] ; [ 9.54216867 23.45783133],0
p10,1,0.229019,1.446946,[33 18] ; [17 16],[30.35714286 20.64285714] ; [19.64285714 13.35714286],0
s8,1,0.237217,1.397056,[15 37] ; [ 6 28],[12.69767442 39.30232558] ; [ 8.30232558 25.69767442],0
p2,1,0.249609,1.325489,[34 16] ; [27  7],[36.30952381 13.69047619] ; [24.69047619  9.30952381],0
p11,1,0.252783,1.307855,[31 21] ; [16 18],[28.41860465 23.58139535] ; [18.58139535 15.41860465],0
n1,1,0.292955,1.105991,[10 17] ; [ 4 14],[ 8.4 18.6] ; [ 5.6 12.4],0
s1,1,0.327888,0.957223,[ 1 51] ; [ 2 32],[ 1.81395349 50.18604651] ; [ 1.18604651 32.81395349],0
v1,1,0.367674,0.811509,[16 33] ; [14 19],[17.92682927 31.07317073] ; [12.07317073 20.92682927],0
p9,1,0.388933,0.742275,[34 16] ; [20 14],[32.14285714 17.85714286] ; [21.85714286 12.14285714],0
u3,1,0.401812,0.702898,[ 7 11] ; [10  9],[8.27027027 9.72972973] ; [ 8.72972973 10.27027027],0
d4,1,0.431305,0.619308,[35 16] ; [26  8],[36.6 14.4] ; [24.4  9.6],0
b2,1,0.465012,0.533804,[11 20] ; [ 4 12],[ 9.89361702 21.10638298] ; [ 5.10638298 10.89361702],0
b3,1,0.465012,0.533804,[11 20] ; [ 4 12],[ 9.89361702 21.10638298] ; [ 5.10638298 10.89361702],0
b5,1,0.46835,0.525865,[28 24] ; [21 13],[29.62790698 22.37209302] ; [19.37209302 14.62790698],0
p5,1,0.519372,0.41514,[ 5 46] ; [ 2 32],[ 4.2 46.8] ; [ 2.8 31.2],0
a1,1,0.535917,0.383159,[ 5 47] ; [ 2 32],[ 4.23255814 47.76744186] ; [ 2.76744186 31.23255814],0
s4,1,0.545056,0.36625,[12 40] ; [ 6 28],[10.88372093 41.11627907] ; [ 7.11627907 26.88372093],0
s5,1,0.565653,0.330011,[ 7 43] ; [ 6 26],[ 7.92682927 42.07317073] ; [ 5.07317073 26.92682927],0
r2,1,0.58681,0.295354,[34 15] ; [21 12],[32.86585366 16.13414634] ; [22.13414634 10.86585366],0
s2,1,0.61461,0.253516,[18 34] ; [10 24],[16.93023256 35.06976744] ; [11.06976744 22.93023256],0
p7,1,0.6212,0.244184,[22 27] ; [13 20],[20.91463415 28.08536585] ; [14.08536585 18.91463415],0
p8,1,0.64315,0.214646,[19 32] ; [11 23],[18. 33.] ; [12. 22.],0
d3,1,0.652806,0.202381,[29 22] ; [21 13],[30. 21.] ; [20. 14.],0
p1,1,0.661094,0.192197,[ 2 50] ; [ 2 32],[ 2.41860465 49.58139535] ; [ 1.58139535 32.41860465],0
a2,1,0.687577,0.161721,[ 6 46] ; [ 3 31],[ 5.44186047 46.55813953] ; [ 3.55813953 30.44186047],0
v2,1,0.688993,0.160178,[23 28] ; [13 19],[22.12048193 28.87951807] ; [13.87951807 18.12048193],0
n3,1,0.711645,0.13664,[15 12] ; [11  7],[15.6 11.4] ; [10.4  7.6],0
s3,1,0.716275,0.13209,[20 32] ; [14 19],[20.8 31.2] ; [13.2 19.8],0
d5,1,0.729186,0.11986,[37 15] ; [23 11],[36.27906977 15.72093023] ; [23.72093023 10.27906977],0
u2,1,0.765243,0.089164,[9 8] ; [11  8],[9.44444444 7.55555556] ; [10.55555556  8.44444444],0
p4,1,0.769832,0.085612,[19 31] ; [14 20],[19.64285714 30.35714286] ; [13.35714286 20.64285714],0
a8,1,0.770017,0.08547,[ 1 47] ; [ 1 31],[ 1.2 46.8] ; [ 0.8 31.2],0
d1,1,0.779702,0.078236,[23 29] ; [14 20],[22.37209302 29.62790698] ; [14.62790698 19.37209302],0
p12,1,0.781224,0.077131,[ 1 49] ; [ 1 33],[ 1.19047619 48.80952381] ; [ 0.80952381 33.19047619],0
b4,1,0.796738,0.066343,[29 23] ; [18 16],[28.41860465 23.58139535] ; [18.58139535 15.41860465],0
b1,1,0.852875,0.034392,[28 24] ; [19 15],[28.41860465 23.58139535] ; [18.58139535 15.41860465],0
s6,1,0.917194,0.010809,[22 30] ; [14 20],[21.76744186 30.23255814] ; [14.23255814 19.76744186],0
a6,1,0.926362,0.008542,[27 25] ; [18 16],[27.20930233 24.79069767] ; [17.79069767 16.20930233],0
r1,1,0.96303,0.002148,[14 38] ; [ 9 25],[13.90697674 38.09302326] ; [ 9.09302326 24.90697674],0
