Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9e-06,19.796985,[56 11] ; [1 7],[50.92 16.08] ; [6.08 1.92],1
r3,1,1.8e-05,18.416785,[61  5] ; [3 5],[57.08108108  8.91891892] ; [6.91891892 1.08108108],1
s1,1,2.1e-05,18.069535,[ 1 65] ; [3 5],[ 3.56756757 62.43243243] ; [0.43243243 7.56756757],1
a7,1,8.6e-05,15.425481,[52 14] ; [1 7],[47.27027027 18.72972973] ; [5.72972973 2.27027027],1
a6,1,0.001324,10.308808,[47 20] ; [1 7],[42.88 24.12] ; [5.12 2.88],0
p2,1,0.002637,9.043122,[56 11] ; [3 5],[52.70666667 14.29333333] ; [6.29333333 1.70666667],0
p10,1,0.011582,6.373742,[52 14] ; [3 5],[49.05405405 16.94594595] ; [5.94594595 2.05405405],0
n2,1,0.013197,6.14245,[12  4] ; [1 5],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
d4,1,0.015313,5.880046,[52 15] ; [3 5],[49.13333333 17.86666667] ; [5.86666667 2.13333333],0
p9,1,0.016745,5.722854,[51 15] ; [3 5],[48.16216216 17.83783784] ; [5.83783784 2.16216216],0
r2,1,0.017004,5.695949,[60  7] ; [4 3],[57.94594595  9.05405405] ; [6.05405405 0.94594595],0
s6,1,0.021483,5.28718,[51 16] ; [3 5],[48.24 18.76] ; [5.76 2.24],0
b1,1,0.02557,4.984868,[23 44] ; [6 2],[25.90666667 41.09333333] ; [3.09333333 4.90666667],0
p11,1,0.029259,4.752302,[50 17] ; [3 5],[47.34666667 19.65333333] ; [5.65333333 2.34666667],0
s3,1,0.035549,4.418595,[42 24] ; [2 6],[39.24324324 26.75675676] ; [4.75675676 3.24324324],0
r1,1,0.038835,4.268075,[49 18] ; [3 5],[46.45333333 20.54666667] ; [5.54666667 2.45333333],0
s2,1,0.066953,3.356178,[39 27] ; [2 6],[36.56756757 29.43243243] ; [4.43243243 3.56756757],0
d5,1,0.073084,3.212362,[52 14] ; [4 4],[49.94594595 16.05405405] ; [6.05405405 1.94594595],0
v2,1,0.081485,3.035028,[29 36] ; [1 7],[26.71232877 38.28767123] ; [3.28767123 4.71232877],0
d3,1,0.121318,2.400224,[50 16] ; [4 4],[48.16216216 17.83783784] ; [5.83783784 2.16216216],0
b4,1,0.124465,2.360221,[36 31] ; [2 6],[33.94666667 33.05333333] ; [4.05333333 3.94666667],0
n3,1,0.142715,2.148437,[13  3] ; [3 3],[11.63636364  4.36363636] ; [4.36363636 1.63636364],0
s8,1,0.142896,2.146494,[26 41] ; [1 7],[24.12 42.88] ; [2.88 5.12],0
d1,1,0.168307,1.897962,[34 33] ; [2 6],[32.16 34.84] ; [3.84 4.16],0
n6,1,0.199284,1.647612,[54 12] ; [5 3],[52.62162162 13.37837838] ; [6.37837838 1.62162162],0
p8,1,0.223642,1.480845,[31 34] ; [2 6],[29.38356164 35.61643836] ; [3.61643836 4.38356164],0
p7,1,0.224405,1.475979,[39 26] ; [3 5],[37.39726027 27.60273973] ; [4.60273973 3.39726027],0
p1,1,0.339851,0.910993,[ 3 64] ; [1 7],[ 3.57333333 63.42666667] ; [0.42666667 7.57333333],0
v3,1,0.397846,0.714827,[17 48] ; [1 7],[16.02739726 48.97260274] ; [1.97260274 6.02739726],0
p4,1,0.430637,0.621105,[35 32] ; [3 5],[33.94666667 33.05333333] ; [4.05333333 3.94666667],0
v1,1,0.452618,0.564088,[24 42] ; [4 4],[24.97297297 41.02702703] ; [3.02702703 4.97297297],0
a5,1,0.541301,0.373134,[41 26] ; [4 4],[40.2 26.8] ; [4.8 3.2],0
n4,1,0.541301,0.373134,[41 26] ; [4 4],[40.2 26.8] ; [4.8 3.2],0
b5,1,0.791391,0.069963,[45 22] ; [5 3],[44.66666667 22.33333333] ; [5.33333333 2.66666667],0
a3,1,0.791391,0.069963,[45 22] ; [5 3],[44.66666667 22.33333333] ; [5.33333333 2.66666667],0
a4,1,0.791391,0.069963,[22 45] ; [3 5],[22.33333333 44.66666667] ; [2.66666667 5.33333333],0
n5,1,0.791391,0.069963,[45 22] ; [5 3],[44.66666667 22.33333333] ; [5.33333333 2.66666667],0
u3,1,0.801614,0.063131,[13  9] ; [2 1],[13.2  8.8] ; [1.8 1.2],0
p3,1,0.841522,0.039979,[31 36] ; [4 4],[31.26666667 35.73333333] ; [3.73333333 4.26666667],0
b2,1,0.898141,0.016387,[ 6 28] ; [1 4],[ 6.1025641 27.8974359] ; [0.8974359 4.1025641],0
b3,1,0.898141,0.016387,[ 6 28] ; [1 4],[ 6.1025641 27.8974359] ; [0.8974359 4.1025641],0
n1,1,0.925558,0.00873,[ 5 11] ; [2 4],[ 5.09090909 10.90909091] ; [1.90909091 4.09090909],0
s7,1,0.982422,0.000485,[28 38] ; [3 4],[28.02739726 37.97260274] ; [2.97260274 4.02739726],0
d2,1,0.991773,0.000106,[25 42] ; [3 5],[25.01333333 41.98666667] ; [2.98666667 5.01333333],0
