Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.3e-05,16.740165,[ 2 14] ; [36 15],[9.07462687 6.92537313] ; [28.92537313 22.07462687],1
r1,1,0.003779,8.386943,[ 6 10] ; [39 12],[10.74626866  5.25373134] ; [34.25373134 16.74626866],0
r3,1,0.004553,8.048819,[7 9] ; [41 10],[11.46268657  4.53731343] ; [36.53731343 14.46268657],0
v4,1,0.018342,5.563192,[7 9] ; [37 12],[10.83076923  5.16923077] ; [33.16923077 15.83076923],0
p6,1,0.05328,3.735129,[ 5 10] ; [ 6 44],[ 2.53846154 12.46153846] ; [ 8.46153846 41.53846154],0
a5,1,0.054228,3.70568,[ 6 10] ; [33 18],[9.31343284 6.68656716] ; [29.68656716 21.31343284],0
u3,1,0.112654,2.516587,[3 6] ; [13  7],[4.96551724 4.03448276] ; [11.03448276  8.96551724],0
n2,1,0.160485,1.96965,[3 6] ; [14  9],[4.78125 4.21875] ; [12.21875 10.78125],0
p3,1,0.167896,1.901634,[ 2 13] ; [16 35],[ 4.09090909 10.90909091] ; [13.90909091 37.09090909],0
d3,1,0.176113,1.830125,[ 6 10] ; [29 22],[8.35820896 7.64179104] ; [26.64179104 24.35820896],0
s4,1,0.1949,1.680186,[ 4 12] ; [ 6 45],[ 2.3880597 13.6119403] ; [ 7.6119403 43.3880597],0
n4,1,0.224464,1.475599,[ 6 10] ; [28 23],[8.11940299 7.88059701] ; [25.88059701 25.11940299],0
s3,1,0.228661,1.449173,[ 5 10] ; [26 25],[7.04545455 7.95454545] ; [23.95454545 27.04545455],0
a8,1,0.233038,1.422222,[ 2 14] ; [ 2 46],[ 1. 15.] ; [ 3. 45.],0
p4,1,0.26606,1.236946,[ 3 13] ; [17 34],[ 4.7761194 11.2238806] ; [15.2238806 35.7761194],0
d5,1,0.286642,1.135328,[9 7] ; [36 15],[10.74626866  5.25373134] ; [34.25373134 16.74626866],0
a6,1,0.292267,1.109149,[8 8] ; [33 18],[9.79104478 6.20895522] ; [31.20895522 19.79104478],0
v3,1,0.294894,1.097143,[ 2 14] ; [12 36],[ 3.5 12.5] ; [10.5 37.5],0
b1,1,0.32716,0.960105,[11  5] ; [28 23],[9.31343284 6.68656716] ; [29.68656716 21.31343284],0
a3,1,0.330797,0.945776,[7 8] ; [31 20],[8.63636364 6.36363636] ; [29.36363636 21.63636364],0
s8,1,0.334188,0.9326,[ 1 15] ; [ 8 43],[ 2.14925373 13.85074627] ; [ 6.85074627 44.14925373],0
d2,1,0.346276,0.887058,[ 6 10] ; [26 25],[7.64179104 8.35820896] ; [24.35820896 26.64179104],0
p7,1,0.36451,0.822295,[8 8] ; [19 32],[6.44776119 9.55223881] ; [20.55223881 30.44776119],0
s2,1,0.401236,0.704619,[ 3 13] ; [15 36],[ 4.29850746 11.70149254] ; [13.70149254 37.29850746],0
p2,1,0.52114,0.411637,[7 9] ; [27 24],[8.11940299 7.88059701] ; [25.88059701 25.11940299],0
u2,1,0.555086,0.348284,[6 3] ; [11  9],[5.27586207 3.72413793] ; [11.72413793  8.27586207],0
d1,1,0.565432,0.330386,[ 5 11] ; [20 31],[ 5.97014925 10.02985075] ; [19.02985075 31.97014925],0
s1,1,0.585769,0.297,[ 2 14] ; [ 4 46],[ 1.45454545 14.54545455] ; [ 4.54545455 45.45454545],0
a2,1,0.62266,0.242146,[ 3 13] ; [ 7 44],[ 2.3880597 13.6119403] ; [ 7.6119403 43.3880597],0
v1,1,0.626971,0.236191,[ 4 12] ; [16 35],[ 4.7761194 11.2238806] ; [15.2238806 35.7761194],0
p11,1,0.662062,0.191028,[ 5 11] ; [19 32],[ 5.73134328 10.26865672] ; [18.26865672 32.73134328],0
d4,1,0.684594,0.165,[10  6] ; [34 16],[10.66666667  5.33333333] ; [33.33333333 16.66666667],0
s7,1,0.732545,0.116788,[ 2 11] ; [ 9 37],[ 2.42372881 10.57627119] ; [ 8.57627119 37.42372881],0
b4,1,0.793647,0.068423,[10  6] ; [30 21],[9.55223881 6.44776119] ; [30.44776119 20.55223881],0
a7,1,0.816855,0.053635,[9 7] ; [27 24],[8.59701493 7.40298507] ; [27.40298507 23.59701493],0
