Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,96.536932,[ 3 95] ; [186 125],[45.28606357 52.71393643] ; [143.71393643 167.28606357],1
d5,1,0.0,72.695969,[37 60] ; [257  54],[69.89705882 27.10294118] ; [224.10294118  86.89705882],1
d3,1,0.0,60.672451,[23 73] ; [214  97],[55.9017199 40.0982801] ; [181.0982801 129.9017199],1
a3,1,0.0,32.184781,[40 56] ; [226  83],[63.05185185 32.94814815] ; [202.94814815 106.05185185],1
d2,1,0.0,26.862972,[18 80] ; [148 161],[39.97051597 58.02948403] ; [126.02948403 182.97051597],1
a5,1,5e-06,20.740471,[41 57] ; [210 101],[60.14180929 37.85819071] ; [190.85819071 120.14180929],1
r3,1,8e-06,19.842113,[73 23] ; [286  23],[85.0962963 10.9037037] ; [273.9037037  35.0962963],1
a4,1,1.2e-05,19.215464,[18 79] ; [134 176],[36.22604423 60.77395577] ; [115.77395577 194.22604423],1
r1,1,0.000103,15.0848,[53 43] ; [235  75],[68.09852217 27.90147783] ; [219.90147783  90.09852217],1
a7,1,0.000232,13.552312,[48 48] ; [219  92],[62.97788698 33.02211302] ; [204.02211302 106.97788698],1
v2,1,0.000384,12.608149,[29 60] ; [161 137],[43.69509044 45.30490956] ; [146.30490956 151.69509044],1
a2,1,0.001819,9.723535,[ 7 91] ; [ 65 246],[17.25183374 80.74816626] ; [ 54.74816626 256.25183374],0
r4,1,0.00313,8.730077,[67 31] ; [256  55],[77.39364303 20.60635697] ; [245.60635697  65.39364303],0
a6,1,0.005885,7.585148,[50 48] ; [206 104],[61.49019608 36.50980392] ; [194.50980392 115.49019608],0
s5,1,0.006425,7.427199,[13 84] ; [ 80 217],[22.89593909 74.10406091] ; [ 70.10406091 226.89593909],0
r2,1,0.006495,7.407481,[81 16] ; [283  22],[87.83084577  9.16915423] ; [276.16915423  28.83084577],0
u1,1,0.019285,5.475516,[ 5 93] ; [ 43 268],[11.50122249 86.49877751] ; [ 36.49877751 274.50122249],0
s2,1,0.038568,4.279806,[30 67] ; [132 177],[38.7044335 58.2955665] ; [123.2955665 185.7044335],0
v3,1,0.045089,4.01529,[22 73] ; [103 199],[29.91183879 65.08816121] ; [ 95.08816121 206.91183879],0
s8,1,0.053068,3.741783,[23 75] ; [105 205],[30.74509804 67.25490196] ; [ 97.25490196 212.74509804],0
s7,1,0.05389,3.716093,[25 69] ; [112 187],[32.76844784 61.23155216] ; [104.23155216 194.76844784],0
n5,1,0.071777,3.241906,[69 28] ; [188 120],[61.55308642 35.44691358] ; [195.44691358 112.55308642],0
p10,1,0.07553,3.158548,[57 39] ; [213  95],[64.15841584 31.84158416] ; [205.84158416 102.15841584],0
b4,1,0.075992,3.148611,[48 50] ; [184 127],[55.58924205 42.41075795] ; [176.41075795 134.58924205],0
s6,1,0.078175,3.102442,[43 55] ; [165 140],[50.58064516 47.41935484] ; [157.41935484 147.58064516],0
s3,1,0.099278,2.717108,[40 56] ; [158 150],[47.04950495 48.95049505] ; [150.95049505 157.04950495],0
u2,1,0.115555,2.47656,[24 34] ; [45 37],[28.58571429 29.41428571] ; [40.41428571 41.58571429],0
v4,1,0.116135,2.468682,[80 16] ; [276  33],[84.38518519 11.61481481] ; [271.61481481  37.38518519],0
p1,1,0.150147,2.070752,[ 9 89] ; [ 16 293],[ 6.01965602 91.98034398] ; [ 18.98034398 290.01965602],0
v1,1,0.187756,1.735141,[34 61] ; [132 172],[39.52380952 55.47619048] ; [126.47619048 177.52380952],0
n6,1,0.221832,1.492483,[67 30] ; [232  76],[71.61234568 25.38765432] ; [227.38765432  80.61234568],0
p2,1,0.227229,1.458121,[61 37] ; [214  97],[65.89242054 32.10757946] ; [209.10757946 101.89242054],0
b2,1,0.243764,1.358695,[16 38] ; [ 66 106],[19.59292035 34.40707965] ; [ 62.40707965 109.59292035],0
b3,1,0.243764,1.358695,[16 38] ; [ 66 106],[19.59292035 34.40707965] ; [ 62.40707965 109.59292035],0
p9,1,0.244708,1.353265,[64 31] ; [222  80],[68.43828715 26.56171285] ; [217.56171285  84.43828715],0
s1,1,0.278717,1.173335,[ 5 90] ; [  9 298],[ 3.30845771 91.69154229] ; [ 10.69154229 296.30845771],0
s4,1,0.340664,0.907931,[20 78] ; [ 50 258],[16.89655172 81.10344828] ; [ 53.10344828 254.89655172],0
a8,1,0.34748,0.882639,[ 9 82] ; [ 40 253],[11.61197917 79.38802083] ; [ 37.38802083 255.61197917],0
b5,1,0.353757,0.859935,[56 42] ; [194 117],[59.90220049 38.09779951] ; [190.09779951 120.90220049],0
p8,1,0.366445,0.815685,[33 64] ; [ 89 216],[29.43781095 67.56218905] ; [ 92.56218905 212.43781095],0
p3,1,0.376721,0.781375,[18 80] ; [ 70 240],[21.1372549 76.8627451] ; [ 66.8627451 243.1372549],0
n3,1,0.383447,0.75962,[25 10] ; [62 36],[22.89473684 12.10526316] ; [64.10526316 33.89473684],0
u3,1,0.415177,0.663927,[26 32] ; [44 41],[28.39160839 29.60839161] ; [41.60839161 43.39160839],0
p7,1,0.598693,0.276971,[40 55] ; [136 165],[42.22222222 52.77777778] ; [133.77777778 167.22222222],0
a1,1,0.61131,0.258271,[ 6 92] ; [ 15 296],[ 5.03178484 92.96821516] ; [ 15.96821516 295.03178484],0
n1,1,0.613384,0.255276,[12 25] ; [36 61],[13.25373134 23.74626866] ; [34.74626866 62.25373134],0
p11,1,0.640443,0.218163,[64 34] ; [211 100],[65.89242054 32.10757946] ; [209.10757946 101.89242054],0
p6,1,0.791054,0.070195,[15 81] ; [ 51 253],[15.84 80.16] ; [ 50.16 253.84],0
n4,1,0.826972,0.04778,[65 32] ; [204 106],[64.11056511 32.88943489] ; [204.88943489 105.11056511],0
b1,1,0.882859,0.021711,[37 61] ; [120 191],[37.61858191 60.38141809] ; [119.38141809 191.61858191],0
p12,1,0.947605,0.004318,[ 4 94] ; [ 13 294],[ 4.11358025 93.88641975] ; [ 12.88641975 294.11358025],0
n2,1,0.948305,0.004204,[26 11] ; [69 30],[25.84558824 11.15441176] ; [69.15441176 29.84558824],0
