Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.015085,5.906562,[ 81 148] ; [17 12],[ 86.98449612 142.01550388] ; [11.01550388 17.98449612],0
b2,1,0.028254,4.812521,[47 79] ; [ 2 16],[42.875 83.125] ; [ 6.125 11.875],0
b3,1,0.028254,4.812521,[47 79] ; [ 2 16],[42.875 83.125] ; [ 6.125 11.875],0
n4,1,0.087603,2.917873,[155  74] ; [15 14],[150.89147287  78.10852713] ; [19.10852713  9.89147287],0
r2,1,0.101363,2.683959,[191  35] ; [21  8],[187.89019608  38.10980392] ; [24.10980392  4.89019608],0
s5,1,0.104259,2.639161,[ 30 193] ; [ 7 21],[ 32.87250996 190.12749004] ; [ 4.12749004 23.87250996],0
a4,1,0.141888,2.157365,[ 60 168] ; [ 4 25],[ 56.77821012 171.22178988] ; [ 7.22178988 21.77821012],0
a6,1,0.154991,2.022426,[135  95] ; [13 16],[131.42857143  98.57142857] ; [16.57142857 12.42857143],0
s8,1,0.204314,1.611267,[ 46 182] ; [ 3 26],[ 43.47081712 184.52918288] ; [ 5.52918288 23.47081712],0
v2,1,0.20792,1.585854,[ 94 123] ; [ 9 20],[ 90.85772358 126.14227642] ; [12.14227642 16.85772358],0
v3,1,0.208932,1.578814,[ 63 160] ; [ 5 24],[ 60.17460317 162.82539683] ; [ 7.82539683 21.17460317],0
s6,1,0.209821,1.572663,[ 93 133] ; [15 13],[ 96.09448819 129.90551181] ; [11.90551181 16.09448819],0
b5,1,0.215415,1.534655,[131  99] ; [13 16],[127.87644788 102.12355212] ; [16.12355212 12.87644788],0
r4,1,0.237891,1.393048,[174  56] ; [19 10],[171.38996139  58.61003861] ; [21.61003861  7.38996139],0
p9,1,0.245226,1.350296,[163  62] ; [18 11],[160.33464567  64.66535433] ; [20.66535433  8.33464567],0
p7,1,0.256925,1.285252,[114 110] ; [18 11],[116.86956522 107.13043478] ; [15.13043478 13.86956522],0
r1,1,0.260139,1.268017,[150  78] ; [16 13],[147.26848249  80.73151751] ; [18.73151751 10.26848249],0
n5,1,0.290717,1.116298,[150  77] ; [22  7],[152.515625  74.484375] ; [19.484375  9.515625],0
p1,1,0.298589,1.080485,[ 21 208] ; [ 1 28],[ 19.52713178 209.47286822] ; [ 2.47286822 26.52713178],0
s7,1,0.334699,0.930631,[ 49 165] ; [ 9 20],[ 51.0781893 162.9218107] ; [ 6.9218107 22.0781893],0
a5,1,0.379344,0.772826,[123 107] ; [13 16],[120.77220077 109.22779923] ; [15.22779923 13.77220077],0
u2,1,0.427941,0.628404,[56 54] ; [6 9],[54.56 55.44] ; [7.44 7.56],0
p3,1,0.437401,0.60309,[ 86 144] ; [13 16],[ 87.91505792 142.08494208] ; [11.08494208 17.91505792],0
v4,1,0.449639,0.571561,[199  29] ; [23  5],[197.71875  30.28125] ; [24.28125  3.71875],0
u3,1,0.478661,0.501914,[48 62] ; [8 7],[49.28 60.72] ; [6.72 8.28],0
d2,1,0.494672,0.466349,[ 36 193] ; [ 6 23],[ 37.27906977 191.72093023] ; [ 4.72093023 24.27906977],0
