Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,27.348517,[71 44] ; [24 70],[52.27272727 62.72727273] ; [42.72727273 51.27272727],1
p2,1,1e-06,24.817633,[105  11] ; [58 36],[90.03809524 25.96190476] ; [72.96190476 21.03809524],1
p3,1,6e-06,20.570744,[71 45] ; [28 66],[54.68571429 61.31428571] ; [44.31428571 49.68571429],1
p11,1,0.000511,12.074672,[100  16] ; [62 32],[89.48571429 26.51428571] ; [72.51428571 21.48571429],1
p10,1,0.001049,10.739209,[102  14] ; [64 28],[92.57692308 23.42307692] ; [73.42307692 18.57692308],0
r3,1,0.001461,10.126895,[115   1] ; [83 10],[109.89473684   6.10526316] ; [88.10526316  4.89473684],0
b4,1,0.002337,9.264086,[56 60] ; [65 29],[66.83809524 49.16190476] ; [54.16190476 39.83809524],0
p4,1,0.005089,7.847397,[70 46] ; [38 55],[59.94258373 56.05741627] ; [48.05741627 44.94258373],0
r4,1,0.005304,7.772808,[110   6] ; [78 16],[103.84761905  12.15238095] ; [84.15238095  9.84761905],0
v4,1,0.005939,7.568734,[113   2] ; [84 10],[108.39712919   6.60287081] ; [88.60287081  5.39712919],0
v2,1,0.006437,7.423815,[94 18] ; [63 30],[85.77560976 26.22439024] ; [71.22439024 21.77560976],0
p12,1,0.011382,6.404705,[  4 112] ; [12 82],[  8.83809524 107.16190476] ; [ 7.16190476 86.83809524],0
n6,1,0.011496,6.38704,[103  12] ; [72 22],[96.29186603 18.70813397] ; [78.70813397 15.29186603],0
n5,1,0.022319,5.220721,[95 20] ; [65 29],[88.03827751 26.96172249] ; [71.96172249 22.03827751],0
s7,1,0.053302,3.734433,[60 51] ; [35 52],[53.25757576 57.74242424] ; [41.74242424 45.25757576],0
p9,1,0.058322,3.584478,[97 19] ; [67 25],[91.46153846 24.53846154] ; [72.53846154 19.46153846],0
s5,1,0.084111,2.983625,[43 72] ; [24 68],[37.22222222 77.77777778] ; [29.77777778 62.22222222],0
a1,1,0.116051,2.469819,[  4 112] ; [ 8 86],[  6.62857143 109.37142857] ; [ 5.37142857 88.62857143],0
n3,1,0.133277,2.253913,[21  4] ; [15  8],[18.75  6.25] ; [17.25  5.75],0
a8,1,0.13357,2.250514,[19 89] ; [ 8 73],[15.42857143 92.57142857] ; [11.57142857 69.42857143],0
a7,1,0.134982,2.234254,[79 37] ; [72 21],[83.80861244 32.19138756] ; [67.19138756 25.80861244],0
s3,1,0.137272,2.208275,[70 44] ; [47 45],[64.74757282 49.25242718] ; [52.25242718 39.74757282],0
s8,1,0.168451,1.896676,[58 57] ; [38 55],[53.07692308 61.92307692] ; [42.92307692 50.07692308],0
v1,1,0.25162,1.314286,[74 41] ; [52 40],[70. 45.] ; [56. 36.],0
s2,1,0.262686,1.254545,[64 51] ; [44 48],[60. 55.] ; [48. 44.],0
d1,1,0.263799,1.248707,[73 43] ; [52 42],[69.04761905 46.95238095] ; [55.95238095 38.04761905],0
b5,1,0.266656,1.233871,[64 52] ; [59 35],[67.94285714 48.05714286] ; [55.05714286 38.94285714],0
n2,1,0.267257,1.230769,[21  3] ; [18  6],[19.5  4.5] ; [19.5  4.5],0
s1,1,0.271141,1.210964,[  2 112] ; [ 4 88],[  3.32038835 110.67961165] ; [ 2.67961165 89.32038835],0
d5,1,0.281032,1.162092,[98 18] ; [74 20],[95.00952381 20.99047619] ; [76.99047619 17.00952381],0
u2,1,0.304621,1.053855,[14 14] ; [16  9],[15.8490566 12.1509434] ; [14.1509434 10.8490566],0
r1,1,0.313973,1.013889,[100  15] ; [77 17],[97.3923445 17.6076555] ; [79.6076555 14.3923445],0
u3,1,0.323145,0.976173,[13 15] ; [15 10],[14.79245283 13.20754717] ; [13.20754717 11.79245283],0
n1,1,0.325922,0.965035,[ 5 18] ; [ 8 15],[ 6.5 16.5] ; [ 6.5 16.5],0
d4,1,0.365848,0.817719,[99 17] ; [75 18],[96.57416268 19.42583732] ; [77.42583732 15.57416268],0
a4,1,0.375376,0.785791,[56 59] ; [40 54],[52.82296651 62.17703349] ; [43.17703349 50.82296651],0
a5,1,0.381163,0.766947,[90 26] ; [68 26],[87.27619048 28.72380952] ; [70.72380952 23.27619048],0
n4,1,0.406004,0.69047,[92 24] ; [70 24],[89.48571429 26.51428571] ; [72.51428571 21.48571429],0
b2,1,0.413775,0.667928,[27 52] ; [23 33],[29.25925926 49.74074074] ; [20.74074074 35.25925926],0
b3,1,0.413775,0.667928,[27 52] ; [23 33],[29.25925926 49.74074074] ; [20.74074074 35.25925926],0
p1,1,0.46946,0.523246,[  9 107] ; [10 84],[ 10.4952381 105.5047619] ; [ 8.5047619 85.4952381],0
d3,1,0.585682,0.297139,[83 33] ; [64 30],[81.2 34.8] ; [65.8 28.2],0
s4,1,0.673798,0.177191,[ 16 100] ; [11 82],[ 14.98564593 101.01435407] ; [12.01435407 80.98564593],0
b1,1,0.679055,0.171191,[40 76] ; [35 59],[41.42857143 74.57142857] ; [33.57142857 60.42857143],0
u4,1,0.688448,0.160771,[  2 114] ; [ 1 93],[  1.65714286 114.34285714] ; [ 1.34285714 92.65714286],0
u1,1,0.768594,0.086562,[18 98] ; [16 78],[18.78095238 97.21904762] ; [15.21904762 78.78095238],0
a3,1,0.79248,0.069217,[87 29] ; [69 25],[86.17142857 29.82857143] ; [69.82857143 24.17142857],0
r2,1,0.812375,0.056342,[108   7] ; [89  5],[108.39712919   6.60287081] ; [88.60287081  5.39712919],0
a6,1,0.871084,0.026335,[79 37] ; [65 29],[79.54285714 36.45714286] ; [64.45714286 29.54285714],0
d2,1,0.91406,0.011646,[59 57] ; [48 45],[59.38755981 56.61244019] ; [47.61244019 45.38755981],0
a2,1,0.929687,0.007786,[29 87] ; [24 70],[29.27619048 86.72380952] ; [23.72380952 70.27619048],0
p5,1,0.982039,0.000507,[ 11 105] ; [ 9 85],[ 11.04761905 104.95238095] ; [ 8.95238095 85.04761905],0
s6,1,0.987449,0.000247,[74 39] ; [61 32],[74.05339806 38.94660194] ; [60.94660194 32.05339806],0
