Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,64.584671,[225  54] ; [40 65],[192.5390625  86.4609375] ; [72.4609375 32.5390625],1
d3,1,0.0,55.687341,[244  36] ; [54 51],[216.72727273  63.27272727] ; [81.27272727 23.72727273],1
a2,1,0.0,30.062467,[104 176] ; [ 9 96],[ 82.18181818 197.81818182] ; [30.81818182 74.18181818],1
u1,1,0.0,26.857215,[ 91 189] ; [ 7 98],[ 71.27272727 208.72727273] ; [26.72727273 78.27272727],1
b5,1,8.5e-05,15.453472,[177 103] ; [43 62],[160. 120.] ; [60. 45.],1
v4,1,0.000153,14.336694,[273   5] ; [94 11],[266.38642298  11.61357702] ; [100.61357702   4.38642298],1
r2,1,0.00128,10.37104,[270   6] ; [94 10],[264.37894737  11.62105263] ; [99.62105263  4.37894737],0
d1,1,0.006536,7.396146,[217  63] ; [67 38],[206.54545455  73.45454545] ; [77.45454545 27.54545455],0
s5,1,0.014929,5.924883,[103 162] ; [53 47],[113.26027397 151.73972603] ; [42.73972603 57.26027397],0
p4,1,0.018178,5.578945,[235  45] ; [77 28],[226.90909091  53.09090909] ; [85.09090909 19.90909091],0
b1,1,0.022314,5.2211,[113 167] ; [56 49],[122.90909091 157.09090909] ; [46.09090909 58.90909091],0
s4,1,0.024454,5.062116,[ 43 231] ; [27 78],[ 50.60686016 223.39313984] ; [19.39313984 85.60686016],0
r1,1,0.027417,4.864377,[236  42] ; [79 26],[228.64229765  49.35770235] ; [86.35770235 18.64229765],0
p10,1,0.040066,4.215071,[246  31] ; [84 20],[239.92125984  37.07874016] ; [90.07874016 13.92125984],0
r4,1,0.056586,3.634713,[260  20] ; [91 14],[255.27272727  24.72727273] ; [95.72727273  9.27272727],0
s8,1,0.059622,3.547856,[139 138] ; [64 41],[147.20157068 129.79842932] ; [55.79842932 49.20157068],0
p9,1,0.068718,3.313377,[252  27] ; [87 17],[246.94778068  32.05221932] ; [92.05221932 11.94778068],0
s7,1,0.074483,3.181345,[148 113] ; [67 33],[155.4432133 105.5567867] ; [59.5567867 40.4432133],0
n1,1,0.096218,2.767135,[17 28] ; [12  8],[20.07692308 24.92307692] ; [ 8.92307692 11.07692308],0
p12,1,0.119193,2.427888,[ 35 245] ; [ 7 95],[ 30.78534031 249.21465969] ; [11.21465969 90.78534031],0
n6,1,0.13485,2.23576,[246  32] ; [86 18],[241.61256545  36.38743455] ; [90.38743455 13.61256545],0
n3,1,0.195072,1.67889,[36  9] ; [13  7],[33.92307692 11.07692308] ; [15.07692308  4.92307692],0
d5,1,0.21107,1.564075,[257  23] ; [92 13],[253.81818182  26.18181818] ; [95.18181818  9.81818182],0
u3,1,0.221321,1.495788,[44 19] ; [11  9],[41.74698795 21.25301205] ; [13.25301205  6.74698795],0
a5,1,0.224839,1.473214,[225  55] ; [90 15],[229.09090909  50.90909091] ; [85.90909091 19.09090909],0
b4,1,0.227566,1.456011,[171 109] ; [57 48],[165.81818182 114.18181818] ; [62.18181818 42.81818182],0
b3,1,0.24296,1.363339,[ 68 102] ; [36 39],[72.16326531 97.83673469] ; [31.83673469 43.16326531],0
b2,1,0.24296,1.363339,[ 68 102] ; [36 39],[72.16326531 97.83673469] ; [31.83673469 43.16326531],0
u4,1,0.258068,1.279091,[  7 272] ; [  5 100],[  8.71875 270.28125] ; [  3.28125 101.71875],0
r3,1,0.266995,1.232119,[266  11] ; [98  7],[263.94764398  13.05235602] ; [100.05235602   4.94764398],0
p6,1,0.267341,1.230339,[139 136] ; [45 57],[134.21750663 140.78249337] ; [49.78249337 52.21750663],0
p11,1,0.267489,1.229578,[230  50] ; [81 24],[226.18181818  53.81818182] ; [84.81818182 20.18181818],0
s3,1,0.279416,1.169929,[162 114] ; [68 37],[166.61417323 109.38582677] ; [63.38582677 41.61417323],0
v1,1,0.318592,0.994718,[172  99] ; [59 43],[167.8310992 103.1689008] ; [63.1689008 38.8310992],0
v2,1,0.318592,0.994718,[172  99] ; [59 43],[167.8310992 103.1689008] ; [63.1689008 38.8310992],0
a4,1,0.342831,0.899816,[148 131] ; [50 55],[143.859375 135.140625] ; [54.140625 50.859375],0
