Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000486,12.169372,[5 8] ; [26  3],[9.5952381 3.4047619] ; [21.4047619  7.5952381],1
a3,1,0.00071,11.462016,[4 8] ; [25  4],[8.48780488 3.51219512] ; [20.51219512  8.48780488],1
p10,1,0.001901,9.642857,[6 6] ; [26  2],[9.6 2.4] ; [22.4  5.6],0
d1,1,0.002404,9.212025,[4 9] ; [23  6],[8.35714286 4.64285714] ; [18.64285714 10.35714286],0
p3,1,0.007457,7.159479,[ 3 10] ; [19  9],[6.97560976 6.02439024] ; [15.02439024 12.97560976],0
n5,1,0.009427,6.740053,[5 8] ; [23  6],[8.66666667 4.33333333] ; [19.33333333  9.66666667],0
b3,1,0.012074,6.3,[1 7] ; [13  7],[4. 4.] ; [10. 10.],0
b2,1,0.012074,6.3,[1 7] ; [13  7],[4. 4.] ; [10. 10.],0
r1,1,0.022825,5.181764,[7 6] ; [25  4],[9.9047619 3.0952381] ; [22.0952381  6.9047619],0
s8,1,0.029023,4.766219,[ 1 12] ; [12 17],[4.02380952 8.97619048] ; [ 8.97619048 20.02380952],0
r4,1,0.031934,4.602044,[8 5] ; [26  3],[10.52380952  2.47619048] ; [23.47619048  5.52380952],0
p4,1,0.074258,3.186296,[4 9] ; [17 11],[6.65853659 6.34146341] ; [14.34146341 13.65853659],0
v2,1,0.100599,2.696021,[6 7] ; [21  8],[8.35714286 4.64285714] ; [18.64285714 10.35714286],0
p8,1,0.115921,2.471586,[4 9] ; [16 12],[6.34146341 6.65853659] ; [13.65853659 14.34146341],0
v3,1,0.142724,2.148338,[3 9] ; [14 14],[5.1 6.9] ; [11.9 16.1],0
b5,1,0.153639,2.035742,[6 7] ; [ 7 22],[4.02380952 8.97619048] ; [ 8.97619048 20.02380952],0
r2,1,0.164958,1.928178,[11  2] ; [28  1],[12.07142857  0.92857143] ; [26.92857143  2.07142857],0
p7,1,0.192884,1.695447,[6 6] ; [20  8],[7.8 4.2] ; [18.2  9.8],0
n6,1,0.195238,1.677641,[9 4] ; [25  4],[10.52380952  2.47619048] ; [23.47619048  5.52380952],0
a4,1,0.207178,1.591038,[4 9] ; [15 14],[5.88095238 7.11904762] ; [13.11904762 15.88095238],0
d4,1,0.227052,1.459236,[9 3] ; [26  3],[10.24390244  1.75609756] ; [24.75609756  4.24390244],0
p5,1,0.227195,1.458333,[ 1 11] ; [ 7 21],[2.4 9.6] ; [ 5.6 22.4],0
p9,1,0.252023,1.312055,[8 5] ; [22  6],[9.51219512 3.48780488] ; [20.48780488  7.51219512],0
v1,1,0.285049,1.142857,[6 6] ; [19  9],[7.5 4.5] ; [17.5 10.5],0
v4,1,0.337412,0.920239,[10  2] ; [27  2],[10.82926829  1.17073171] ; [26.17073171  2.82926829],0
a6,1,0.344471,0.893722,[7 6] ; [20  9],[8.35714286 4.64285714] ; [18.64285714 10.35714286],0
p1,1,0.385549,0.752934,[3 9] ; [ 4 25],[2.04878049 9.95121951] ; [ 4.95121951 24.04878049],0
s4,1,0.386311,0.750524,[ 2 11] ; [ 2 27],[ 1.23809524 11.76190476] ; [ 2.76190476 26.23809524],0
s3,1,0.418408,0.654782,[ 3 10] ; [10 18],[4.12195122 8.87804878] ; [ 8.87804878 19.12195122],0
b1,1,0.426262,0.632988,[5 8] ; [15 14],[6.19047619 6.80952381] ; [13.80952381 15.19047619],0
p2,1,0.439506,0.597572,[11  1] ; [23  5],[10.2  1.8] ; [23.8  4.2],0
d5,1,0.45546,0.557029,[10  3] ; [25  4],[10.83333333  2.16666667] ; [24.16666667  4.83333333],0
d2,1,0.475407,0.509381,[6 6] ; [18 11],[7.02439024 4.97560976] ; [16.97560976 12.02439024],0
u2,1,0.504985,0.444444,[4 5] ; [2 1],[4.5 4.5] ; [1.5 1.5],0
s2,1,0.552714,0.352477,[ 3 10] ; [ 9 19],[3.80487805 9.19512195] ; [ 8.19512195 19.80487805],0
d3,1,0.615735,0.251908,[7 6] ; [18 11],[7.73809524 5.26190476] ; [17.26190476 11.73809524],0
a7,1,0.630843,0.23092,[8 4] ; [17 12],[7.31707317 4.68292683] ; [17.68292683 11.31707317],0
p11,1,0.656148,0.198237,[10  3] ; [24  5],[10.52380952  2.47619048] ; [23.47619048  5.52380952],0
s7,1,0.663766,0.188981,[ 3 10] ; [ 8 19],[3.575 9.425] ; [ 7.425 19.575],0
n2,1,0.67329,0.177778,[2 1] ; [4 1],[2.25 0.75] ; [3.75 1.25],0
p6,1,0.756014,0.096546,[4 9] ; [10 18],[4.43902439 8.56097561] ; [ 9.56097561 18.43902439],0
b4,1,0.813421,0.055703,[9 4] ; [19 10],[8.66666667 4.33333333] ; [19.33333333  9.66666667],0
n1,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
u3,1,0.852876,0.034392,[4 5] ; [2 2],[4.15384615 4.84615385] ; [1.84615385 2.15384615],0
r3,1,0.872299,0.025837,[11  1] ; [27  2],[11.12195122  0.87804878] ; [26.87804878  2.12195122],0
u1,1,0.881342,0.022281,[ 2 11] ; [ 5 24],[ 2.16666667 10.83333333] ; [ 4.83333333 24.16666667],0
