Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,110.426968,[356  55] ; [75 93],[305.94300518 105.05699482] ; [125.05699482  42.94300518],1
n6,1,0.0,54.248372,[362  47] ; [104  64],[330.31889081  78.68110919] ; [135.68110919  32.31889081],1
p10,1,0.0,37.157931,[336  71] ; [97 69],[307.55846422  99.44153578] ; [125.44153578  40.55846422],1
p9,1,0.0,28.458541,[348  60] ; [108  57],[324.69109948  83.30890052] ; [131.30890052  33.69109948],1
v1,1,2.1e-05,18.114155,[217 182] ; [ 56 106],[194.1657754 204.8342246] ; [78.8342246 83.1657754],1
p11,1,5.6e-05,16.237243,[343  68] ; [115  53],[325.10880829  85.89119171] ; [132.89119171  35.10880829],1
p4,1,8.7e-05,15.397473,[243 167] ; [69 98],[221.69844021 188.30155979] ; [90.30155979 76.69844021],1
s6,1,0.00037,12.67982,[250 159] ; [75 92],[230.77256944 178.22743056] ; [94.22743056 72.77256944],1
s7,1,0.001024,10.784151,[170 220] ; [ 46 115],[152.88566243 237.11433757] ; [63.11433757 97.88566243],0
p3,1,0.001437,10.157087,[194 215] ; [ 55 112],[176.80729167 232.19270833] ; [72.19270833 94.80729167],0
v3,1,0.005495,7.708956,[160 238] ; [ 43 113],[145.83754513 252.16245487] ; [57.16245487 98.83754513],0
a2,1,0.007585,7.128967,[ 97 314] ; [ 23 145],[ 85.18134715 325.81865285] ; [ 34.81865285 133.18134715],0
n1,1,0.008227,6.983433,[32 49] ; [ 9 42],[25.15909091 55.84090909] ; [15.84090909 35.15909091],0
a8,1,0.010003,6.634315,[ 59 311] ; [ 12 146],[ 49.75378788 320.24621212] ; [ 21.24621212 136.75378788],0
p6,1,0.011771,6.344981,[133 273] ; [ 36 127],[120.58699473 285.41300527] ; [ 48.41300527 114.58699473],0
u1,1,0.012409,6.251464,[ 70 341] ; [ 15 153],[ 60.33678756 350.66321244] ; [ 24.66321244 143.33678756],0
s8,1,0.013792,6.064624,[159 251] ; [ 47 121],[146.12456747 263.87543253] ; [ 59.87543253 108.12456747],0
s2,1,0.016681,5.72966,[172 235] ; [ 53 115],[159.26086957 247.73913043] ; [ 65.73913043 102.26086957],0
a4,1,0.020505,5.368405,[179 230] ; [ 56 112],[166.57712305 242.42287695] ; [68.42287695 99.57712305],0
p8,1,0.02567,4.978133,[203 200] ; [ 67 100],[190.89473684 212.10526316] ; [79.10526316 87.89473684],0
d2,1,0.037721,4.317571,[195 215] ; [ 64 104],[183.71972318 226.28027682] ; [75.28027682 92.71972318],0
s3,1,0.040712,4.187975,[208 200] ; [69 97],[196.89198606 211.10801394] ; [80.10801394 85.89198606],0
b3,1,0.046458,3.964898,[ 92 158] ; [23 68],[ 84.31085044 165.68914956] ; [30.68914956 60.31085044],0
b2,1,0.046458,3.964898,[ 92 158] ; [23 68],[ 84.31085044 165.68914956] ; [30.68914956 60.31085044],0
a5,1,0.051156,3.803164,[291 120] ; [105  63],[281.0984456 129.9015544] ; [114.9015544  53.0984456],0
p5,1,0.05154,3.790636,[ 26 382] ; [  4 163],[ 21.28695652 386.71304348] ; [  8.71304348 158.28695652],0
p7,1,0.054881,3.685692,[248 156] ; [88 79],[237.73029772 166.26970228] ; [98.26970228 68.73029772],0
r4,1,0.060208,3.531649,[374  37] ; [144  24],[367.69948187  43.30051813] ; [150.30051813  17.69948187],0
p2,1,0.072603,3.223159,[339  69] ; [128  39],[331.36695652  76.63304348] ; [135.63304348  31.36695652],0
u4,1,0.086639,2.935741,[ 12 399] ; [  1 167],[  9.22797927 401.77202073] ; [  3.77202073 164.22797927],0
p12,1,0.094244,2.800353,[ 23 384] ; [  4 163],[ 19.1445993 387.8554007] ; [  7.8554007 159.1445993],0
d5,1,0.112015,2.525565,[329  81] ; [124  43],[321.88908146  88.11091854] ; [131.11091854  35.88908146],0
r2,1,0.112305,2.521484,[381  26] ; [149  17],[376.45724258  30.54275742] ; [153.54275742  12.45724258],0
a3,1,0.161774,1.95756,[281 129] ; [105  63],[273.80622837 136.19377163] ; [112.19377163  55.80622837],0
