Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,90.703771,[373  97] ; [ 79 112],[321.39183056 148.60816944] ; [130.60816944  60.39183056],1
d3,1,0.0,79.148946,[367 103] ; [ 81 110],[318.54765507 151.45234493] ; [129.45234493  61.54765507],1
a2,1,0.0,39.825525,[154 319] ; [ 17 174],[121.81174699 351.18825301] ; [ 49.18825301 141.81174699],1
b5,1,0.0,27.876861,[313 160] ; [ 84 107],[282.80271084 190.19728916] ; [114.19728916  76.80271084],1
u1,1,0.0,27.286634,[116 357] ; [ 13 178],[ 91.89307229 381.10692771] ; [ 37.10692771 153.89307229],1
r4,1,1.8e-05,18.41737,[450  23] ; [163  28],[436.67018072  36.32981928] ; [176.32981928  14.67018072],1
r1,1,0.000115,14.874912,[402  68] ; [139  52],[384.67473525  85.32526475] ; [156.32526475  34.67473525],1
d1,1,0.000413,12.470795,[303 170] ; [94 97],[282.80271084 190.19728916] ; [114.19728916  76.80271084],1
d4,1,0.001219,10.461179,[396  75] ; [139  51],[381.21785174  89.78214826] ; [153.78214826  36.21785174],0
r3,1,0.001879,9.664576,[453  18] ; [172  19],[444.67522659  26.32477341] ; [180.32477341  10.67522659],0
b1,1,0.002359,9.247046,[170 303] ; [93 98],[187.34789157 285.65210843] ; [ 75.65210843 115.34789157],0
v2,1,0.004086,8.245122,[273 180] ; [88 96],[256.72370487 196.27629513] ; [104.27629513  79.72370487],0
u3,1,0.006007,7.548065,[79 49] ; [19 30],[70.8700565 57.1299435] ; [27.1299435 21.8700565],0
r2,1,0.006131,7.511419,[458  13] ; [174  14],[451.70257967  19.29742033] ; [180.29742033   7.70257967],0
p4,1,0.019372,5.467598,[311 158] ; [107  82],[297.93617021 171.06382979] ; [120.06382979  68.93617021],0
d5,1,0.040469,4.198099,[394  77] ; [146  44],[384.7806354  86.2193646] ; [155.2193646  34.7806354],0
