Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4e-06,21.086161,[ 6 64] ; [12 11],[13.5483871 56.4516129] ; [ 4.4516129 18.5483871],1
r4,1,0.001364,10.254226,[42 28] ; [22  1],[48.17204301 21.82795699] ; [15.82795699  7.17204301],0
p8,1,0.001695,9.853104,[14 56] ; [12 10],[19.7826087 50.2173913] ; [ 6.2173913 15.7826087],0
s8,1,0.03088,4.659627,[10 60] ; [ 8 15],[13.5483871 56.4516129] ; [ 4.4516129 18.5483871],0
v4,1,0.035751,4.408932,[53 17] ; [22  1],[56.4516129 13.5483871] ; [18.5483871  4.4516129],0
s6,1,0.039092,4.256843,[27 43] ; [14  8],[31.19565217 38.80434783] ; [ 9.80434783 12.19565217],0
u2,1,0.043778,4.06511,[13 26] ; [9 5],[16.18867925 22.81132075] ; [5.81132075 8.18867925],0
r3,1,0.062266,3.475967,[50 19] ; [21  2],[53.25 15.75] ; [17.75  5.25],0
p10,1,0.080836,3.048005,[40 29] ; [18  5],[43.5 25.5] ; [14.5  8.5],0
v2,1,0.090763,2.860793,[17 48] ; [10 12],[20.17241379 44.82758621] ; [ 6.82758621 15.17241379],0
p9,1,0.093293,2.816612,[47 21] ; [20  3],[50.06593407 17.93406593] ; [16.93406593  6.06593407],0
d3,1,0.118466,2.43748,[21 49] ; [11 12],[24.08602151 45.91397849] ; [ 7.91397849 15.08602151],0
d2,1,0.121074,2.403366,[11 59] ; [ 7 16],[13.5483871 56.4516129] ; [ 4.4516129 18.5483871],0
r1,1,0.121854,2.39333,[39 31] ; [17  6],[42.15053763 27.84946237] ; [13.84946237  9.15053763],0
a7,1,0.133336,2.253224,[30 40] ; [14  9],[33.11827957 36.88172043] ; [10.88172043 12.11827957],0
r2,1,0.135854,2.224298,[54 16] ; [21  2],[56.4516129 13.5483871] ; [18.5483871  4.4516129],0
p12,1,0.143545,2.139535,[ 3 66] ; [ 3 20],[ 4.5 64.5] ; [ 1.5 21.5],0
n6,1,0.145925,2.11434,[46 23] ; [19  4],[48.75 20.25] ; [16.25  6.75],0
p6,1,0.1561,2.011602,[ 5 64] ; [ 4 19],[ 6.75 62.25] ; [ 2.25 20.75],0
p2,1,0.165381,1.924323,[34 36] ; [15  8],[36.88172043 33.11827957] ; [12.11827957 10.88172043],0
b5,1,0.165381,1.924323,[34 36] ; [15  8],[36.88172043 33.11827957] ; [12.11827957 10.88172043],0
d1,1,0.231159,1.433715,[ 2 68] ; [ 2 21],[ 3.01075269 66.98924731] ; [ 0.98924731 22.01075269],0
b3,1,0.232134,1.427739,[18 18] ; [4 9],[16.16326531 19.83673469] ; [5.83673469 7.16326531],0
b2,1,0.232134,1.427739,[18 18] ; [4 9],[16.16326531 19.83673469] ; [5.83673469 7.16326531],0
s1,1,0.265228,1.241262,[ 4 64] ; [ 3 20],[ 5.23076923 62.76923077] ; [ 1.76923077 21.23076923],0
v1,1,0.285566,1.140409,[24 44] ; [11 12],[26.15384615 41.84615385] ; [ 8.84615385 14.15384615],0
s2,1,0.31584,1.006097,[20 48] ; [ 9 13],[21.91111111 46.08888889] ; [ 7.08888889 14.91111111],0
p11,1,0.332896,0.937599,[44 26] ; [17  6],[45.91397849 24.08602151] ; [15.08602151  7.91397849],0
s5,1,0.344808,0.892472,[10 57] ; [ 5 16],[11.42045455 55.57954545] ; [ 3.57954545 17.42045455],0
u3,1,0.354738,0.856437,[14 25] ; [7 7],[15.45283019 23.54716981] ; [5.54716981 8.45283019],0
a4,1,0.362611,0.828829,[12 57] ; [ 6 17],[13.5 55.5] ; [ 4.5 18.5],0
n4,1,0.374446,0.788858,[48 22] ; [18  5],[49.67741935 20.32258065] ; [16.32258065  6.67741935],0
n5,1,0.374446,0.788858,[48 22] ; [18  5],[49.67741935 20.32258065] ; [16.32258065  6.67741935],0
s4,1,0.377198,0.779814,[15 55] ; [ 3 20],[13.5483871 56.4516129] ; [ 4.4516129 18.5483871],0
a2,1,0.415928,0.661791,[ 3 67] ; [ 2 21],[ 3.76344086 66.23655914] ; [ 1.23655914 21.76344086],0
a6,1,0.587137,0.294837,[35 35] ; [13 10],[36.12903226 33.87096774] ; [11.87096774 11.12903226],0
a3,1,0.589613,0.290949,[31 37] ; [ 9 14],[29.89010989 38.10989011] ; [10.10989011 12.89010989],0
d4,1,0.59082,0.289065,[29 41] ; [11 12],[30.10752688 39.89247312] ; [ 9.89247312 13.10752688],0
s7,1,0.609139,0.261431,[17 51] ; [ 7 16],[17.93406593 50.06593407] ; [ 6.06593407 16.93406593],0
a1,1,0.635945,0.224084,[ 5 65] ; [ 1 22],[ 4.51612903 65.48387097] ; [ 1.48387097 21.51612903],0
b1,1,0.655831,0.198627,[28 42] ; [ 8 15],[27.09677419 42.90322581] ; [ 8.90322581 14.09677419],0
s3,1,0.693106,0.155743,[26 41] ; [10 13],[26.8 40.2] ; [ 9.2 13.8],0
a8,1,0.698127,0.150427,[ 7 59] ; [ 3 19],[ 7.5 58.5] ; [ 2.5 19.5],0
b4,1,0.744882,0.105882,[43 27] ; [15  8],[43.65591398 26.34408602] ; [14.34408602  8.65591398],0
a5,1,0.764331,0.089879,[34 36] ; [12 11],[34.62365591 35.37634409] ; [11.37634409 11.62365591],0
p1,1,0.835178,0.043291,[ 8 62] ; [ 3 20],[ 8.27956989 61.72043011] ; [ 2.72043011 20.27956989],0
n2,1,0.840344,0.040584,[22  7] ; [4 1],[22.17647059  6.82352941] ; [3.82352941 1.17647059],0
n3,1,0.854,0.033862,[15 12] ; [3 2],[15.1875 11.8125] ; [2.8125 2.1875],0
v3,1,0.941047,0.005469,[18 50] ; [ 6 16],[18.13333333 49.86666667] ; [ 5.86666667 16.13333333],0
n1,1,0.953847,0.00335,[12 17] ; [2 3],[11.94117647 17.05882353] ; [2.05882353 2.94117647],0
p5,1,0.989837,0.000162,[ 3 67] ; [ 1 22],[ 3.01075269 66.98924731] ; [ 0.98924731 22.01075269],0
