Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,4.2e-05,16.778258,[13 16] ; [10 83],[ 5.46721311 23.53278689] ; [17.53278689 75.46721311],1
s6,1,4.8e-05,16.538554,[25  4] ; [41 54],[15.43548387 13.56451613] ; [50.56451613 44.43548387],1
p12,1,0.000281,13.190186,[ 7 22] ; [ 3 92],[ 2.33870968 26.66129032] ; [ 7.66129032 87.33870968],1
r4,1,0.000707,11.470899,[28  1] ; [61 34],[20.81451613  8.18548387] ; [68.18548387 26.81451613],1
p5,1,0.003055,8.774169,[ 7 22] ; [ 5 88],[ 2.85245902 26.14754098] ; [ 9.14754098 83.85245902],0
s8,1,0.003715,8.417944,[17 11] ; [29 66],[10.47154472 17.52845528] ; [35.52845528 59.47154472],0
v4,1,0.004873,7.925884,[28  1] ; [68 27],[22.4516129  6.5483871] ; [73.5483871 21.4516129],0
s2,1,0.006383,7.438954,[18 11] ; [32 63],[11.69354839 17.30645161] ; [38.30645161 56.69354839],0
a5,1,0.011725,6.351914,[25  4] ; [58 37],[19.41129032  9.58870968] ; [63.58870968 31.41129032],0
p8,1,0.016015,5.801187,[11 18] ; [16 79],[ 6.31451613 22.68548387] ; [20.68548387 74.31451613],0
s4,1,0.018839,5.516354,[ 8 20] ; [10 84],[ 4.13114754 23.86885246] ; [13.86885246 80.13114754],0
p10,1,0.019396,5.465414,[21  7] ; [47 47],[15.60655738 12.39344262] ; [52.39344262 41.60655738],0
v1,1,0.023983,5.09587,[16 13] ; [29 62],[10.875 18.125] ; [34.125 56.875],0
r1,1,0.024515,5.057819,[25  4] ; [61 34],[20.11290323  8.88709677] ; [65.88709677 29.11290323],0
s7,1,0.031461,4.627651,[17 12] ; [32 57],[12.04237288 16.95762712] ; [36.95762712 52.04237288],0
p9,1,0.039589,4.235403,[22  7] ; [50 42],[17.25619835 11.74380165] ; [54.74380165 37.25619835],0
r3,1,0.058004,3.593554,[26  3] ; [69 26],[22.21774194  6.78225806] ; [72.78225806 22.21774194],0
d3,1,0.070516,3.270969,[20  8] ; [49 45],[15.83606557 12.16393443] ; [53.16393443 40.83606557],0
p4,1,0.07462,3.178356,[11 16] ; [22 72],[ 7.36363636 19.63636364] ; [25.63636364 68.36363636],0
v2,1,0.074748,3.175554,[17 10] ; [40 52],[12.93277311 14.06722689] ; [44.06722689 47.93277311],0
n6,1,0.079402,3.077093,[25  3] ; [69 25],[21.57377049  6.42622951] ; [72.42622951 21.57377049],0
r2,1,0.113389,2.50634,[28  1] ; [78 13],[25.61666667  3.38333333] ; [80.38333333 10.61666667],0
p1,1,0.115475,2.477642,[ 5 24] ; [ 7 88],[ 2.80645161 26.19354839] ; [ 9.19354839 85.80645161],0
p7,1,0.141559,2.160933,[13 16] ; [27 63],[ 9.74789916 19.25210084] ; [30.25210084 59.74789916],0
u3,1,0.161989,1.955556,[7 4] ; [13 20],[5. 6.] ; [15. 18.],0
p11,1,0.206896,1.593017,[20  9] ; [53 42],[17.07258065 11.92741935] ; [55.92741935 39.07258065],0
v3,1,0.20816,1.584177,[14 14] ; [33 57],[11.15254237 16.84745763] ; [35.84745763 54.15254237],0
p3,1,0.223822,1.479699,[12 16] ; [29 66],[ 9.33333333 18.66666667] ; [31.66666667 63.33333333],0
n3,1,0.252904,1.30719,[5 1] ; [20 14],[3.75 2.25] ; [21.25 12.75],0
s1,1,0.295118,1.096127,[ 4 25] ; [ 7 87],[ 2.59349593 26.40650407] ; [ 8.40650407 85.59349593],0
s3,1,0.325164,0.968062,[15 13] ; [40 53],[12.72727273 15.27272727] ; [42.27272727 50.72727273],0
b1,1,0.336221,0.924788,[17 12] ; [46 49],[14.73387097 14.26612903] ; [48.26612903 46.73387097],0
a8,1,0.361315,0.833316,[ 5 21] ; [11 79],[ 3.5862069 22.4137931] ; [12.4137931 77.5862069],0
d4,1,0.445608,0.581798,[22  6] ; [67 27],[20.42622951  7.57377049] ; [68.57377049 25.42622951],0
n2,1,0.508141,0.437894,[5 1] ; [26 11],[4.3255814 1.6744186] ; [26.6744186 10.3255814],0
a6,1,0.553505,0.351076,[19  9] ; [58 36],[17.67213115 10.32786885] ; [59.32786885 34.67213115],0
a2,1,0.573305,0.317183,[ 5 24] ; [21 74],[ 6.08064516 22.91935484] ; [19.91935484 75.08064516],0
a3,1,0.649124,0.207006,[18 11] ; [62 31],[19.01639344  9.98360656] ; [60.98360656 32.01639344],0
b5,1,0.73449,0.115028,[16 13] ; [49 46],[15.2016129 13.7983871] ; [49.7983871 45.2016129],0
u1,1,0.742063,0.108322,[ 5 24] ; [19 76],[ 5.61290323 23.38709677] ; [18.38709677 76.61290323],0
u2,1,0.760918,0.092584,[4 6] ; [15 18],[4.41860465 5.58139535] ; [14.58139535 18.41860465],0
a4,1,0.768859,0.086359,[14 15] ; [42 51],[13.31147541 15.68852459] ; [42.68852459 50.31147541],0
d2,1,0.778278,0.079278,[15 13] ; [47 46],[14.34710744 13.65289256] ; [47.65289256 45.34710744],0
d5,1,0.787938,0.072355,[18 10] ; [63 31],[18.59016393  9.40983607] ; [62.40983607 31.59016393],0
a7,1,0.817095,0.053492,[19 10] ; [60 35],[18.47580645 10.52419355] ; [60.52419355 34.47580645],0
a1,1,0.854163,0.033786,[ 3 26] ; [11 84],[ 3.27419355 25.72580645] ; [10.72580645 84.27419355],0
d1,1,0.888065,0.019812,[16 13] ; [51 44],[15.66935484 13.33064516] ; [51.33064516 43.66935484],0
n1,1,0.890599,0.018919,[3 2] ; [21 16],[2.85714286 2.14285714] ; [21.14285714 15.85714286],0
n5,1,0.935749,0.006499,[24  5] ; [78 17],[23.85483871  5.14516129] ; [78.14516129 16.85483871],0
b4,1,0.944715,0.004809,[17 12] ; [55 40],[16.83870968 12.16129032] ; [55.16129032 39.83870968],0
b3,1,0.962903,0.002163,[ 8 12] ; [28 41],[ 8.08988764 11.91011236] ; [27.91011236 41.08988764],0
b2,1,0.962903,0.002163,[ 8 12] ; [28 41],[ 8.08988764 11.91011236] ; [27.91011236 41.08988764],0
