Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,190.106685,[  6 113] ; [409 152],[72.625 46.375] ; [342.375 218.625],1
d5,1,0.0,131.513939,[55 64] ; [506  55],[98.175 20.825] ; [462.825  98.175],1
d3,1,0.0,92.458376,[38 81] ; [431 130],[82.075 36.925] ; [386.925 174.075],1
d2,1,0.0,38.237907,[31 88] ; [320 239],[61.60619469 57.39380531] ; [289.39380531 269.60619469],1
a3,1,0.0,36.966523,[61 57] ; [440 119],[87.32348597 30.67651403] ; [413.67651403 145.32348597],1
a5,1,0.0,29.103497,[69 50] ; [454 107],[91.525 27.475] ; [431.475 129.525],1
a4,1,1e-06,25.209972,[32 85] ; [296 264],[56.68537666 60.31462334] ; [271.31462334 288.68537666],1
u1,1,1e-06,24.957983,[  4 115] ; [132 429],[23.8 95.2] ; [112.2 448.8],1
a2,1,6e-06,20.526118,[ 11 108] ; [164 397],[30.625 88.375] ; [144.375 416.625],1
s2,1,1.8e-05,18.354825,[39 76] ; [311 246],[59.89583333 55.10416667] ; [290.10416667 266.89583333],1
r3,1,3.4e-05,17.163119,[105  14] ; [543  17],[113.56701031   5.43298969] ; [534.43298969  25.56701031],1
v2,1,0.000983,10.85989,[48 63] ; [327 216],[63.64678899 47.35321101] ; [311.35321101 231.64678899],1
a7,1,0.00111,10.634074,[71 48] ; [417 143],[85.5257732 33.4742268] ; [402.4742268 157.5257732],0
s8,1,0.00207,9.486358,[40 77] ; [278 280],[55.12 61.88] ; [262.88 295.12],0
p10,1,0.002142,9.423366,[85 31] ; [472  83],[96.29210134 19.70789866] ; [460.70789866  94.29210134],0
p9,1,0.002579,9.083444,[88 27] ; [485  70],[98.35074627 16.64925373] ; [474.64925373  80.35074627],0
p1,1,0.00528,7.780795,[19 99] ; [ 44 514],[ 10.99704142 107.00295858] ; [ 52.00295858 505.99704142],0
s7,1,0.005395,7.742,[45 64] ; [300 237],[58.2120743 50.7879257] ; [286.7879257 250.2120743],0
p4,1,0.008529,6.918886,[62 56] ; [363 192],[74.51708767 43.48291233] ; [350.48291233 204.51708767],0
u2,1,0.016393,5.760233,[25 33] ; [74 45],[32.44067797 25.55932203] ; [66.55932203 52.44067797],0
r1,1,0.017788,5.616888,[89 29] ; [473  87],[97.81120944 20.18879056] ; [464.18879056  95.81120944],0
a1,1,0.019236,5.479954,[  1 118] ; [ 34 527],[  6.125 112.875] ; [ 28.875 532.125],0
p2,1,0.036948,4.352824,[93 25] ; [481  76],[100.3437037  17.6562963] ; [473.6562963  83.3437037],0
b3,1,0.040494,4.197068,[22 55] ; [146 209],[29.94444444 47.05555556] ; [138.05555556 216.94444444],0
b2,1,0.040494,4.197068,[22 55] ; [146 209],[29.94444444 47.05555556] ; [138.05555556 216.94444444],0
u3,1,0.043961,4.058064,[26 32] ; [73 47],[32.25842697 25.74157303] ; [66.74157303 53.25842697],0
s5,1,0.054345,3.70207,[30 83] ; [193 343],[38.82742681 74.17257319] ; [184.17257319 351.82742681],0
v1,1,0.058387,3.582622,[56 59] ; [319 228],[65.14350453 49.85649547] ; [309.85649547 237.14350453],0
r4,1,0.069903,3.285294,[106  13] ; [526  35],[110.6   8.4] ; [521.4  39.6],0
s6,1,0.087228,2.924806,[71 43] ; [388 163],[78.68571429 35.31428571] ; [380.31428571 170.68571429],0
r2,1,0.103754,2.646875,[112   7] ; [537  16],[114.92708333   4.07291667] ; [534.07291667  18.92708333],0
p6,1,0.126224,2.338339,[39 77] ; [227 323],[46.33033033 69.66966967] ; [219.66966967 330.33033033],0
n6,1,0.191649,1.704894,[102  17] ; [503  57],[106.03092784  12.96907216] ; [498.96907216  61.03092784],0
a6,1,0.217383,1.521566,[76 43] ; [390 170],[81.67010309 37.32989691] ; [384.32989691 175.67010309],0
s4,1,0.217681,1.519592,[22 95] ; [ 79 473],[17.66367713 99.33632287] ; [ 83.33632287 468.66367713],0
s3,1,0.22706,1.459183,[59 54] ; [324 231],[64.78892216 48.21107784] ; [318.21107784 236.78892216],0
p3,1,0.241297,1.372999,[57 60] ; [305 253],[62.74666667 54.25333333] ; [299.25333333 258.74666667],0
s1,1,0.251419,1.315399,[  6 109] ; [ 17 536],[  3.95958084 111.04041916] ; [ 19.04041916 533.95958084],0
p11,1,0.261054,1.263157,[93 26] ; [463  98],[97.3 21.7] ; [458.7 102.3],0
p7,1,0.265978,1.237373,[70 45] ; [362 184],[75.15885023 39.84114977] ; [356.84114977 189.15885023],0
n3,1,0.26722,1.230963,[22  4] ; [78 27],[19.84732824  6.15267176] ; [80.15267176 24.84732824],0
a8,1,0.338428,0.916379,[13 93] ; [ 81 427],[16.22801303 89.77198697] ; [ 77.77198697 430.22801303],0
n2,1,0.456552,0.554335,[23  5] ; [80 26],[21.52238806  6.47761194] ; [81.47761194 24.52238806],0
p8,1,0.49222,0.47167,[59 55] ; [304 246],[62.32228916 51.67771084] ; [300.67771084 249.32228916],0
v3,1,0.563604,0.333503,[47 68] ; [237 304],[49.78658537 65.21341463] ; [234.21341463 306.78658537],0
p12,1,0.605846,0.266269,[  9 108] ; [ 51 504],[ 10.44642857 106.55357143] ; [ 49.55357143 505.44642857],0
n5,1,0.621426,0.243869,[104  15] ; [478  80],[102.30132939  16.69867061] ; [479.69867061  78.30132939],0
b1,1,0.694751,0.15399,[45 74] ; [223 338],[46.9 72.1] ; [221.1 339.9],0
b5,1,0.741687,0.10865,[73 46] ; [335 226],[71.4 47.6] ; [336.6 224.4],0
n1,1,0.795824,0.066954,[13 15] ; [45 58],[12.39694656 15.60305344] ; [45.60305344 57.39694656],0
b4,1,0.818004,0.052952,[68 51] ; [327 234],[69.125 49.875] ; [325.875 235.125],0
p5,1,0.922783,0.009395,[ 15 102] ; [ 73 482],[ 15.32142857 101.67857143] ; [ 72.67857143 482.32142857],0
