Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,8.4e-05,15.460636,[44 72] ; [19  4],[52.57553957 63.42446043] ; [10.42446043 12.57553957],1
s5,1,0.000947,10.928933,[18 96] ; [10 11],[23.64444444 90.35555556] ; [ 4.35555556 16.64444444],1
n6,1,0.004475,8.08029,[67 49] ; [22  3],[73.21985816 42.78014184] ; [15.78014184  9.21985816],0
s2,1,0.02272,5.18981,[37 80] ; [13 10],[41.78571429 75.21428571] ; [ 8.21428571 14.78571429],0
p9,1,0.024564,5.054353,[54 58] ; [17  6],[58.9037037 53.0962963] ; [12.0962963 10.9037037],0
v2,1,0.035002,4.44507,[40 68] ; [14  9],[44.51908397 63.48091603] ; [ 9.48091603 13.51908397],0
s8,1,0.055942,3.653785,[29 87] ; [11 14],[32.90780142 83.09219858] ; [ 7.09219858 17.90780142],0
p10,1,0.060793,3.515613,[52 62] ; [16  8],[56.17391304 57.82608696] ; [11.82608696 12.17391304],0
a6,1,0.089398,2.885184,[68 48] ; [10 15],[64.17021277 51.82978723] ; [13.82978723 11.17021277],0
r4,1,0.092777,2.825517,[73 44] ; [20  5],[76.62676056 40.37323944] ; [16.37323944  8.62676056],0
b5,1,0.111957,2.526378,[64 53] ; [18  7],[67.56338028 49.43661972] ; [14.43661972 10.56338028],0
p12,1,0.112533,2.518282,[  5 112] ; [ 3 21],[  6.63829787 110.36170213] ; [ 1.36170213 22.63829787],0
s3,1,0.115123,2.482441,[42 72] ; [13 11],[45.43478261 68.56521739] ; [ 9.56521739 14.43478261],0
v4,1,0.11852,2.436768,[85 31] ; [22  3],[88.02836879 27.97163121] ; [18.97163121  6.02836879],0
u3,1,0.120465,2.411263,[20 23] ; [8 3],[22.2962963 20.7037037] ; [5.7037037 5.2962963],0
n1,1,0.120944,2.405048,[23 23] ; [3 9],[20.62068966 25.37931034] ; [5.37931034 6.62068966],0
r1,1,0.121969,2.391848,[69 47] ; [19  6],[72.39716312 43.60283688] ; [15.60283688  9.39716312],0
a2,1,0.122089,2.390311,[25 92] ; [ 2 23],[22.24647887 94.75352113] ; [ 4.75352113 20.24647887],0
d3,1,0.15971,1.976974,[61 55] ; [17  8],[64.17021277 51.82978723] ; [13.82978723 11.17021277],0
v3,1,0.174778,1.841477,[38 70] ; [ 5 19],[35.18181818 72.81818182] ; [ 7.81818182 16.18181818],0
r2,1,0.256383,1.288184,[93 20] ; [22  2],[94.8540146 18.1459854] ; [20.1459854  3.8540146],0
r3,1,0.260225,1.267558,[85 31] ; [21  4],[87.20567376 28.79432624] ; [18.79432624  6.20567376],0
b3,1,0.264727,1.24387,[28 48] ; [ 3 11],[26.17777778 49.82222222] ; [4.82222222 9.17777778],0
b2,1,0.264727,1.24387,[28 48] ; [ 3 11],[26.17777778 49.82222222] ; [4.82222222 9.17777778],0
a1,1,0.324814,0.969464,[ 12 105] ; [ 1 24],[ 10.71126761 106.28873239] ; [ 2.28873239 22.71126761],0
n5,1,0.324938,0.968965,[72 43] ; [13 12],[69.82142857 45.17857143] ; [15.17857143  9.82142857],0
a8,1,0.327259,0.959714,[ 12 101] ; [ 1 23],[ 10.72262774 102.27737226] ; [ 2.27737226 21.72262774],0
n2,1,0.352708,0.86369,[31 17] ; [6 6],[29.6 18.4] ; [7.4 4.6],0
b4,1,0.354423,0.857559,[68 49] ; [12 13],[65.91549296 51.08450704] ; [14.08450704 10.91549296],0
n3,1,0.373961,0.790459,[23 21] ; [8 4],[24.35714286 19.64285714] ; [6.64285714 5.35714286],0
n4,1,0.394862,0.723918,[71 45] ; [13 12],[69.10638298 46.89361702] ; [14.89361702 10.10638298],0
a3,1,0.433678,0.612952,[74 41] ; [14 11],[72.28571429 42.71428571] ; [15.71428571  9.28571429],0
d1,1,0.474279,0.511989,[56 61] ; [10 15],[54.38028169 62.61971831] ; [11.61971831 13.38028169],0
s7,1,0.48001,0.498841,[35 76] ; [ 9 14],[36.44776119 74.55223881] ; [ 7.55223881 15.44776119],0
