Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,34.619514,[  8 105] ; [39 55],[25.65700483 87.34299517] ; [21.34299517 72.65700483],1
s2,1,0.0,32.044137,[17 95] ; [49 45],[35.88349515 76.11650485] ; [30.11650485 63.88349515],1
r4,1,0.0,25.792711,[65 48] ; [84 10],[81.33816425 31.66183575] ; [67.66183575 26.33816425],1
s3,1,0.0,25.544393,[30 82] ; [57 35],[47.76470588 64.23529412] ; [39.23529412 52.76470588],1
s5,1,1e-06,24.180301,[  9 102] ; [34 60],[23.28292683 87.71707317] ; [19.71707317 74.28292683],1
s7,1,1e-06,23.840752,[15 91] ; [42 50],[30.51515152 75.48484848] ; [26.48484848 65.51515152],1
v4,1,2.2e-05,17.970895,[80 31] ; [89  5],[91.50731707 19.49268293] ; [77.49268293 16.50731707],1
p11,1,4.8e-05,16.512029,[54 59] ; [71 23],[68.23671498 44.76328502] ; [56.76328502 37.23671498],1
p9,1,0.000107,15.01573,[58 51] ; [73 19],[71.039801 37.960199] ; [59.960199 32.039801],1
p10,1,0.000136,14.560808,[51 60] ; [68 26],[64.43414634 46.56585366] ; [54.56585366 39.43414634],1
p2,1,0.000149,14.390331,[58 54] ; [72 21],[71.02439024 40.97560976] ; [58.97560976 34.02439024],1
n6,1,0.000861,11.105045,[65 47] ; [75 19],[76.11650485 35.88349515] ; [63.88349515 30.11650485],1
r1,1,0.00096,10.903289,[57 55] ; [69 25],[68.50485437 43.49514563] ; [57.49514563 36.50485437],1
v1,1,0.00102,10.790216,[22 89] ; [38 55],[32.64705882 78.35294118] ; [27.35294118 65.64705882],0
r3,1,0.003003,8.805443,[80 32] ; [83 11],[88.62135922 23.37864078] ; [74.37864078 19.62135922],0
r2,1,0.005247,7.792338,[89 22] ; [88  6],[95.83902439 15.16097561] ; [81.16097561 12.83902439],0
s4,1,0.006496,7.407182,[ 12 101] ; [23 69],[19.29268293 93.70731707] ; [15.70731707 76.29268293],0
p7,1,0.015348,5.87602,[32 79] ; [40 48],[40.16080402 70.83919598] ; [31.83919598 56.16080402],0
u1,1,0.023259,5.149051,[  7 106] ; [15 79],[ 12.00966184 100.99033816] ; [ 9.99033816 84.00966184],0
p5,1,0.024094,5.087858,[  2 110] ; [ 8 85],[  5.46341463 106.53658537] ; [ 4.53658537 88.46341463],0
v3,1,0.026103,4.949159,[13 97] ; [22 71],[18.96551724 91.03448276] ; [16.03448276 76.96551724],0
a3,1,0.039414,4.242937,[62 49] ; [65 28],[69.10294118 41.89705882] ; [57.89705882 35.10294118],0
d5,1,0.045634,3.995035,[67 45] ; [68 25],[73.75609756 38.24390244] ; [61.24390244 31.75609756],0
p8,1,0.052495,3.759938,[28 85] ; [35 59],[34.39130435 78.60869565] ; [28.60869565 65.39130435],0
n2,1,0.066652,3.363615,[28 20] ; [25  7],[31.8 16.2] ; [21.2 10.8],0
n4,1,0.084855,2.969367,[65 48] ; [65 29],[70.96618357 42.03381643] ; [59.03381643 34.96618357],0
p12,1,0.091464,2.848411,[  2 109] ; [ 6 88],[  4.33170732 106.66829268] ; [ 3.66829268 90.33170732],0
u3,1,0.094243,2.80037,[20 31] ; [17 12],[23.5875 27.4125] ; [13.4125 15.5875],0
n5,1,0.110413,2.548299,[66 47] ; [65 29],[71.51207729 41.48792271] ; [59.48792271 34.51207729],0
a2,1,0.126117,2.339661,[16 97] ; [21 73],[20.19806763 92.80193237] ; [16.80193237 77.19806763],0
d4,1,0.138766,2.191586,[73 40] ; [69 24],[77.89320388 35.10679612] ; [64.10679612 28.89320388],0
a1,1,0.143433,2.140741,[  9 104] ; [ 3 91],[  6.55072464 106.44927536] ; [ 5.44927536 88.55072464],0
n1,1,0.156095,2.011657,[16 31] ; [16 16],[19.03797468 27.96202532] ; [12.96202532 19.03797468],0
n3,1,0.17401,1.848054,[24 21] ; [22 10],[26.88311688 18.11688312] ; [19.11688312 12.88311688],0
a5,1,0.213108,1.550188,[60 53] ; [58 36],[64.41545894 48.58454106] ; [53.58454106 40.41545894],0
p1,1,0.267557,1.229229,[  9 102] ; [ 4 89],[  7.07352941 103.92647059] ; [ 5.92647059 87.07352941],0
b5,1,0.279265,1.170663,[65 48] ; [61 33],[68.7826087 44.2173913] ; [57.2173913 36.7826087],0
a7,1,0.328769,0.953742,[64 48] ; [60 34],[67.41747573 44.58252427] ; [56.58252427 37.41747573],0
d1,1,0.357417,0.846948,[41 72] ; [40 54],[44.2173913 68.7826087] ; [36.7826087 57.2173913],0
s1,1,0.362649,0.828701,[  5 107] ; [ 7 87],[  6.52427184 105.47572816] ; [ 5.47572816 88.52427184],0
b3,1,0.379982,0.770759,[23 41] ; [15 38],[20.78632479 43.21367521] ; [17.21367521 35.78632479],0
b2,1,0.379982,0.770759,[23 41] ; [15 38],[20.78632479 43.21367521] ; [17.21367521 35.78632479],0
u2,1,0.386157,0.75101,[23 28] ; [16 13],[24.8625 26.1375] ; [14.1375 14.8625],0
d2,1,0.400461,0.70694,[47 64] ; [34 59],[44.07352941 66.92647059] ; [36.92647059 56.07352941],0
p3,1,0.412318,0.672106,[17 96] ; [18 75],[19.19902913 93.80097087] ; [15.80097087 77.19902913],0
a8,1,0.519745,0.4144,[11 99] ; [11 74],[12.41025641 97.58974359] ; [ 9.58974359 75.41025641],0
p6,1,0.574646,0.31497,[14 98] ; [14 78],[15.37254902 96.62745098] ; [12.62745098 79.37254902],0
a4,1,0.597603,0.278626,[37 75] ; [34 59],[38.7902439 73.2097561] ; [32.2097561 60.7902439],0
b1,1,0.610125,0.259993,[46 67] ; [35 59],[44.2173913 68.7826087] ; [36.7826087 57.2173913],0
b4,1,0.927465,0.008287,[63 50] ; [53 41],[63.3236715 49.6763285] ; [52.6763285 41.3236715],0
d3,1,0.950488,0.003856,[58 53] ; [49 44],[58.22058824 52.77941176] ; [48.77941176 44.22058824],0
a6,1,0.982345,0.00049,[67 46] ; [55 38],[66.9223301 46.0776699] ; [55.0776699 37.9223301],0
