Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,58.130188,[ 7 32] ; [129  30],[26.78787879 12.21212121] ; [109.21212121  49.78787879],1
r3,1,0.0,36.910867,[18 20] ; [142  16],[31.02040816  6.97959184] ; [128.97959184  29.02040816],1
r2,1,0.0,32.497377,[20 16] ; [147  12],[30.83076923  5.16923077] ; [136.16923077  22.83076923],1
p2,1,1e-06,24.868818,[10 29] ; [110  49],[23.63636364 15.36363636] ; [96.36363636 62.63636364],1
n6,1,6e-06,20.369938,[13 25] ; [116  43],[24.88324873 13.11675127] ; [104.11675127  54.88324873],1
p11,1,7.2e-05,15.768194,[13 26] ; [108  51],[23.83333333 15.16666667] ; [97.16666667 61.83333333],1
r1,1,9.4e-05,15.250745,[14 25] ; [110  48],[24.54822335 14.45177665] ; [99.45177665 58.54822335],1
a1,1,0.000516,12.055761,[ 7 32] ; [  5 154],[ 2.36363636 36.63636364] ; [  9.63636364 149.36363636],1
p7,1,0.00068,11.543676,[ 5 34] ; [66 91],[14.12755102 24.87244898] ; [ 56.87244898 100.12755102],1
d3,1,0.001036,10.761622,[13 26] ; [98 59],[22.08673469 16.91326531] ; [88.91326531 68.08673469],0
v2,1,0.001054,10.729381,[ 7 31] ; [73 80],[15.91623037 22.08376963] ; [64.08376963 88.91623037],0
p10,1,0.002432,9.191038,[13 25] ; [97 61],[21.32653061 16.67346939] ; [88.67346939 69.32653061],0
p9,1,0.002791,8.939182,[15 22] ; [104  51],[22.93229167 14.06770833] ; [96.06770833 58.93229167],0
p8,1,0.007323,7.191932,[ 4 35] ; [ 50 108],[10.69035533 28.30964467] ; [ 43.30964467 114.69035533],0
b5,1,0.009056,6.811805,[14 25] ; [94 65],[21.27272727 17.72727273] ; [86.72727273 72.27272727],0
a6,1,0.009789,6.672806,[17 22] ; [105  54],[24.03030303 14.96969697] ; [97.96969697 61.03030303],0
s1,1,0.011952,6.317915,[ 4 35] ; [  3 154],[ 1.39285714 37.60714286] ; [  5.60714286 151.39285714],0
u2,1,0.013144,6.149691,[ 3 14] ; [28 26],[7.42253521 9.57746479] ; [23.57746479 30.42253521],0
n1,1,0.022803,5.183472,[11 10] ; [12 37],[ 6.9 14.1] ; [16.1 32.9],0
p1,1,0.024661,5.047538,[ 6 33] ; [  8 150],[ 2.7715736 36.2284264] ; [ 11.2284264 146.7715736],0
s8,1,0.034755,4.457172,[ 1 38] ; [ 24 135],[ 4.92424242 34.07575758] ; [ 20.07575758 138.92424242],0
v3,1,0.03507,4.441782,[ 5 34] ; [ 45 108],[10.15625 28.84375] ; [ 39.84375 113.15625],0
d5,1,0.050992,3.808549,[21 18] ; [111  47],[26.1319797 12.8680203] ; [105.8680203  52.1319797],0
a7,1,0.051532,3.790891,[19 20] ; [103  54],[24.2755102 14.7244898] ; [97.7244898 59.2755102],0
b1,1,0.066696,3.36251,[21 18] ; [60 99],[15.95454545 23.04545455] ; [65.04545455 93.95454545],0
p6,1,0.083546,2.99454,[ 2 36] ; [ 25 130],[ 5.31606218 32.68393782] ; [ 21.68393782 133.31606218],0
