Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000354,12.758556,[328  52] ; [20 12],[320.97087379  59.02912621] ; [27.02912621  4.97087379],1
d5,1,0.000357,12.747107,[313  67] ; [18 14],[305.29126214  74.70873786] ; [25.70873786  6.29126214],1
p11,1,0.00188,9.663314,[336  45] ; [22 10],[330.26150121  50.73849879] ; [27.73849879  4.26150121],0
r3,1,0.002069,9.487291,[364  14] ; [27  5],[360.48292683  17.51707317] ; [30.51707317  1.48292683],0
d3,1,0.006589,7.381734,[277 104] ; [16 16],[270.29782082 110.70217918] ; [22.70217918  9.29782082],0
r4,1,0.006864,7.308181,[358  23] ; [26  6],[354.24697337  26.75302663] ; [29.75302663  2.24697337],0
p7,1,0.008061,7.019898,[314  62] ; [20 11],[308.56019656  67.43980344] ; [25.43980344  5.56019656],0
r1,1,0.010446,6.557163,[317  62] ; [21 11],[311.6836983  67.3163017] ; [26.3163017  5.6836983],0
p10,1,0.01257,6.228595,[338  39] ; [24  8],[333.67726161  43.32273839] ; [28.32273839  3.67726161],0
p9,1,0.013307,6.127886,[345  32] ; [25  7],[341.05134474  35.94865526] ; [28.94865526  3.05134474],0
s3,1,0.018524,5.545907,[221 155] ; [11 19],[214.85714286 161.14285714] ; [17.14285714 12.85714286],0
s1,1,0.023903,5.101688,[  9 370] ; [ 3 29],[ 11.06569343 367.93430657] ; [ 0.93430657 31.06569343],0
a3,1,0.027389,4.866107,[278 101] ; [17 14],[272.69512195 106.30487805] ; [22.30487805  8.69512195],0
p4,1,0.029569,4.734202,[288  92] ; [18 13],[282.91970803  97.08029197] ; [23.08029197  7.91970803],0
a7,1,0.053591,3.725405,[285  95] ; [19 13],[280.38834951  99.61165049] ; [23.61165049  8.38834951],0
d1,1,0.057844,3.598153,[243 138] ; [15 17],[238.00968523 142.99031477] ; [19.99031477 12.00968523],0
s7,1,0.062263,3.476062,[203 159] ; [12 19],[198.04071247 163.95928753] ; [16.95928753 14.04071247],0
d2,1,0.076838,3.130543,[193 188] ; [11 21],[188.1937046 192.8062954] ; [15.8062954 16.1937046],0
n5,1,0.125579,2.346316,[323  56] ; [24  8],[319.98296837  59.01703163] ; [27.01703163  4.98296837],0
s8,1,0.129451,2.299074,[194 183] ; [12 20],[189.88264059 187.11735941] ; [16.11735941 15.88264059],0
n4,1,0.136127,2.221202,[323  57] ; [24  8],[320.04854369  59.95145631] ; [26.95145631  5.04854369],0
r2,1,0.139969,2.178295,[360  15] ; [28  3],[358.37438424  16.62561576] ; [29.62561576  1.37438424],0
u2,1,0.146425,2.109102,[55 48] ; [ 5 10],[52.37288136 50.62711864] ; [7.62711864 7.37288136],0
n1,1,0.156481,2.007908,[23 40] ; [5 3],[24.84507042 38.15492958] ; [3.15492958 4.84507042],0
v4,1,0.19211,1.701358,[370   9] ; [30  2],[368.85644769  10.14355231] ; [31.14355231  0.85644769],0
u1,1,0.199993,1.642429,[ 70 311] ; [ 3 29],[ 67.34382567 313.65617433] ; [ 5.65617433 26.34382567],0
a5,1,0.233052,1.42214,[297  84] ; [22 10],[294.28329298  86.71670702] ; [24.71670702  7.28329298],0
v3,1,0.243672,1.359226,[168 205] ; [11 21],[164.85679012 208.14320988] ; [14.14320988 17.85679012],0
a2,1,0.346493,0.886258,[ 87 294] ; [ 5 27],[ 84.8716707 296.1283293] ; [ 7.1283293 24.8716707],0
b3,1,0.364818,0.82124,[ 89 142] ; [ 5 13],[ 87.20481928 143.79518072] ; [ 6.79518072 11.20481928],0
b2,1,0.364818,0.82124,[ 89 142] ; [ 5 13],[ 87.20481928 143.79518072] ; [ 6.79518072 11.20481928],0
a8,1,0.38402,0.757793,[ 57 288] ; [ 3 26],[ 55.34759358 289.65240642] ; [ 4.65240642 24.34759358],0
v2,1,0.483564,0.490815,[216 156] ; [20 11],[217.84615385 154.15384615] ; [18.15384615 12.84615385],0
s5,1,0.516865,0.420144,[142 220] ; [14 17],[143.69465649 218.30534351] ; [12.30534351 18.69465649],0
b5,1,0.55681,0.345258,[211 170] ; [16 16],[209.41162228 171.58837772] ; [17.58837772 14.41162228],0
a1,1,0.563621,0.333474,[ 21 360] ; [ 1 31],[ 20.29539952 360.70460048] ; [ 1.70460048 30.29539952],0
p3,1,0.563702,0.333335,[245 135] ; [19 13],[243.49514563 136.50485437] ; [20.50485437 11.49514563],0
a4,1,0.571707,0.319835,[167 213] ; [12 19],[165.49878345 214.50121655] ; [13.50121655 17.49878345],0
s2,1,0.59717,0.279285,[201 176] ; [15 16],[199.58823529 177.41176471] ; [16.41176471 14.58823529],0
v1,1,0.656242,0.198121,[226 149] ; [18 14],[224.81572482 150.18427518] ; [19.18427518 12.81572482],0
n3,1,0.697519,0.151066,[43 20] ; [6 2],[43.47887324 19.52112676] ; [5.52112676 2.47887324],0
s6,1,0.722977,0.125659,[259 107] ; [21 10],[258.13602015 107.86397985] ; [21.86397985  9.13602015],0
p6,1,0.723453,0.125208,[188 189] ; [17 15],[188.9608802 188.0391198] ; [16.0391198 15.9608802],0
p12,1,0.773876,0.082546,[ 41 337] ; [ 4 28],[ 41.48780488 336.51219512] ; [ 3.51219512 28.48780488],0
s4,1,0.819219,0.052235,[ 64 309] ; [ 6 26],[ 64.4691358 308.5308642] ; [ 5.5308642 26.4691358],0
b4,1,0.892473,0.018272,[219 162] ; [18 14],[218.63680387 162.36319613] ; [18.36319613 13.63680387],0
u3,1,0.920853,0.009872,[53 49] ; [8 7],[53.17948718 48.82051282] ; [7.82051282 7.17948718],0
b1,1,0.932251,0.007227,[140 241] ; [12 20],[140.22276029 240.77723971] ; [11.77723971 20.22276029],0
u4,1,0.940699,0.005534,[ 11 369] ; [ 1 31],[ 11.06796117 368.93203883] ; [ 0.93203883 31.06796117],0
p5,1,0.954822,0.00321,[ 73 308] ; [ 6 26],[ 72.87893462 308.12106538] ; [ 6.12106538 25.87893462],0
a6,1,0.967061,0.001705,[248 132] ; [21 11],[248.10679612 131.89320388] ; [20.89320388 11.10679612],0
p1,1,0.982683,0.000471,[ 47 333] ; [ 4 28],[ 47.03883495 332.96116505] ; [ 3.96116505 28.03883495],0
