Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.001079,10.6875,[26 70] ; [12  6],[32. 64.] ; [ 6. 12.],0
p7,1,0.002019,9.531915,[41 53] ; [15  3],[47. 47.] ; [9. 9.],0
p2,1,0.013657,6.082011,[56 40] ; [16  2],[60.63157895 35.36842105] ; [11.36842105  6.63157895],0
v2,1,0.037463,4.329229,[35 58] ; [11  6],[38.89090909 54.10909091] ; [7.10909091 9.89090909],0
s8,1,0.038677,4.275,[13 83] ; [ 6 12],[16. 80.] ; [ 3. 15.],0
n4,1,0.074336,3.184586,[59 37] ; [15  3],[62.31578947 33.68421053] ; [11.68421053  6.31578947],0
p3,1,0.092035,2.838415,[24 72] ; [ 8 10],[26.94736842 69.05263158] ; [ 5.05263158 12.94736842],0
p9,1,0.098853,2.723946,[53 40] ; [14  4],[56.13513514 36.86486486] ; [10.86486486  7.13513514],0
n5,1,0.112923,2.512827,[61 34] ; [15  3],[63.89380531 31.10619469] ; [12.10619469  5.89380531],0
p4,1,0.115956,2.471112,[29 65] ; [9 9],[31.89285714 62.10714286] ; [ 6.10714286 11.89285714],0
r3,1,0.128268,2.313337,[69 27] ; [16  2],[71.57894737 24.42105263] ; [13.42105263  4.57894737],0
u1,1,0.128935,2.305275,[ 3 93] ; [ 2 16],[ 4.21052632 91.78947368] ; [ 0.78947368 17.21052632],0
d3,1,0.159493,1.979024,[32 64] ; [ 3 15],[29.47368421 66.52631579] ; [ 5.52631579 12.47368421],0
d4,1,0.186822,1.742506,[63 32] ; [9 9],[60.53097345 34.46902655] ; [11.46902655  6.53097345],0
v3,1,0.187239,1.739213,[22 70] ; [ 7 11],[24.25454545 67.74545455] ; [ 4.74545455 13.25454545],0
n1,1,0.194143,1.685896,[12 26] ; [4 3],[13.51111111 24.48888889] ; [2.48888889 4.51111111],0
p11,1,0.212637,1.553378,[60 36] ; [14  4],[62.31578947 33.68421053] ; [11.68421053  6.31578947],0
u3,1,0.228016,1.453193,[14 23] ; [1 6],[12.61363636 24.38636364] ; [2.38636364 4.61363636],0
a6,1,0.26861,1.223833,[40 56] ; [ 5 13],[37.89473684 58.10526316] ; [ 7.10526316 10.89473684],0
p10,1,0.27257,1.203768,[50 45] ; [12  6],[52.12389381 42.87610619] ; [9.87610619 8.12389381],0
d5,1,0.288994,1.1243,[51 45] ; [12  6],[53.05263158 42.94736842] ; [9.94736842 8.05263158],0
s5,1,0.302844,1.06163,[12 81] ; [ 4 14],[13.40540541 79.59459459] ; [ 2.59459459 15.40540541],0
r4,1,0.304211,1.055641,[57 39] ; [13  5],[58.94736842 37.05263158] ; [11.05263158  6.94736842],0
r2,1,0.311264,1.025306,[73 20] ; [16  2],[74.56756757 18.43243243] ; [14.43243243  3.56756757],0
b2,1,0.316937,1.001545,[28 37] ; [6 4],[29.46666667 35.53333333] ; [4.53333333 5.46666667],0
b3,1,0.316937,1.001545,[28 37] ; [6 4],[29.46666667 35.53333333] ; [4.53333333 5.46666667],0
u2,1,0.363256,0.826606,[17 19] ; [2 5],[15.90697674 20.09302326] ; [3.09302326 3.90697674],0
n6,1,0.381166,0.766937,[64 31] ; [14  4],[65.57522124 29.42477876] ; [12.42477876  5.57522124],0
s7,1,0.385185,0.754087,[19 70] ; [ 5 11],[20.34285714 68.65714286] ; [ 3.65714286 12.34285714],0
s3,1,0.412591,0.671323,[30 64] ; [ 4 14],[28.53571429 65.46428571] ; [ 5.46428571 12.53571429],0
s2,1,0.426202,0.633149,[14 81] ; [ 4 14],[15.13274336 79.86725664] ; [ 2.86725664 15.13274336],0
a8,1,0.520334,0.41323,[ 6 83] ; [ 2 16],[ 6.65420561 82.34579439] ; [ 1.34579439 16.65420561],0
v1,1,0.564447,0.332062,[35 59] ; [ 8 10],[36.08928571 57.91071429] ; [ 6.91071429 11.08928571],0
s4,1,0.599122,0.276322,[ 9 87] ; [ 1 17],[ 8.42105263 87.57894737] ; [ 1.57894737 16.42105263],0
d1,1,0.648447,0.207863,[32 64] ; [ 7 11],[32.84210526 63.15789474] ; [ 6.15789474 11.84210526],0
a4,1,0.652847,0.202329,[37 58] ; [ 6 12],[36.15044248 58.84955752] ; [ 6.84955752 11.15044248],0
d2,1,0.678035,0.172347,[42 52] ; [9 9],[42.80357143 51.19642857] ; [8.19642857 9.80357143],0
r1,1,0.702238,0.146154,[54 42] ; [11  7],[54.73684211 41.26315789] ; [10.26315789  7.73684211],0
n2,1,0.707869,0.140415,[25 14] ; [5 2],[25.43478261 13.56521739] ; [4.56521739 2.43478261],0
b5,1,0.763274,0.090712,[41 55] ; [ 7 11],[40.42105263 55.57894737] ; [ 7.57894737 10.42105263],0
p1,1,0.791311,0.070018,[ 7 89] ; [ 1 17],[ 6.73684211 89.26315789] ; [ 1.26315789 16.73684211],0
p5,1,0.799162,0.064736,[ 4 91] ; [ 1 17],[ 4.20353982 90.79646018] ; [ 0.79646018 17.20353982],0
a5,1,0.807487,0.059375,[51 45] ; [9 9],[50.52631579 45.47368421] ; [9.47368421 8.52631579],0
a1,1,0.910331,0.012684,[ 6 90] ; [ 1 17],[ 5.89473684 90.10526316] ; [ 1.10526316 16.89473684],0
b1,1,0.913547,0.011787,[44 52] ; [ 8 10],[43.78947368 52.21052632] ; [8.21052632 9.78947368],0
b4,1,0.935344,0.006581,[49 47] ; [9 9],[48.84210526 47.15789474] ; [9.15789474 8.84210526],0
a3,1,0.936513,0.006345,[59 36] ; [11  7],[58.84955752 36.15044248] ; [11.15044248  6.84955752],0
