Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,65.847287,[122   9] ; [12 25],[104.48809524  26.51190476] ; [29.51190476  7.48809524],1
a3,1,0.0,28.884816,[102  29] ; [11 25],[88.64071856 42.35928144] ; [24.35928144 11.64071856],1
n5,1,2e-06,22.198507,[111  20] ; [17 19],[100.40718563  30.59281437] ; [27.59281437  8.40718563],1
n4,1,9e-06,19.740219,[109  22] ; [17 19],[98.83832335 32.16167665] ; [27.16167665  8.83832335],1
p11,1,2e-05,18.143555,[113  18] ; [20 17],[103.70833333  27.29166667] ; [29.29166667  7.70833333],1
s7,1,2.8e-05,17.57601,[81 46] ; [ 8 26],[70.20496894 56.79503106] ; [18.79503106 15.20496894],1
n6,1,5.7e-05,16.204908,[115  16] ; [21 15],[106.68263473  24.31736527] ; [29.31736527  6.68263473],1
s8,1,0.000102,15.10026,[77 54] ; [ 8 28],[66.67664671 64.32335329] ; [18.32335329 17.67664671],1
p8,1,0.000255,13.37292,[91 40] ; [13 23],[81.58083832 49.41916168] ; [22.41916168 13.58083832],1
p2,1,0.000386,12.599477,[118  12] ; [25 12],[111.31736527  18.68263473] ; [31.68263473  5.31736527],1
d5,1,0.00061,11.745727,[106  24] ; [20 17],[98.08383234 31.91616766] ; [27.91616766  9.08383234],1
d4,1,0.000807,11.225419,[107  23] ; [20 16],[99.45783133 30.54216867] ; [27.54216867  8.45783133],1
s6,1,0.001947,9.598745,[88 38] ; [15 21],[80.11111111 45.88888889] ; [22.88888889 13.11111111],0
a5,1,0.002463,9.167733,[95 36] ; [17 20],[87.33333333 43.66666667] ; [24.66666667 12.33333333],0
v1,1,0.005027,7.869569,[77 52] ; [12 24],[69.58181818 59.41818182] ; [19.41818182 16.58181818],0
r1,1,0.005823,7.604302,[101  30] ; [20 17],[94.35119048 36.64880952] ; [26.64880952 10.35119048],0
p3,1,0.011954,6.31762,[80 51] ; [14 23],[73.29761905 57.70238095] ; [20.70238095 16.29761905],0
d1,1,0.01361,6.087979,[69 62] ; [11 26],[62.38095238 68.61904762] ; [17.61904762 19.38095238],0
v3,1,0.020206,5.394048,[61 70] ; [ 9 27],[54.91017964 76.08982036] ; [15.08982036 20.91017964],0
v2,1,0.023919,5.100493,[74 55] ; [13 23],[68.01818182 60.98181818] ; [18.98181818 17.01818182],0
p4,1,0.028187,4.816604,[88 43] ; [17 19],[82.36526946 48.63473054] ; [22.63473054 13.36526946],0
b2,1,0.036378,4.379274,[39 50] ; [ 4 17],[34.79090909 54.20909091] ; [ 8.20909091 12.79090909],0
b3,1,0.036378,4.379274,[39 50] ; [ 4 17],[34.79090909 54.20909091] ; [ 8.20909091 12.79090909],0
r2,1,0.044397,4.041385,[116  12] ; [29  8],[112.48484848  15.51515152] ; [32.51515152  4.48484848],0
s2,1,0.054505,3.697177,[73 58] ; [14 23],[67.83928571 63.16071429] ; [19.16071429 17.83928571],0
a4,1,0.095343,2.781762,[59 72] ; [11 26],[54.58333333 76.41666667] ; [15.41666667 21.58333333],0
r3,1,0.136505,2.21692,[123   8] ; [32  5],[120.86309524  10.13690476] ; [34.13690476  2.86309524],0
s5,1,0.13792,2.201009,[60 67] ; [12 24],[56.09815951 70.90184049] ; [15.90184049 20.09815951],0
b5,1,0.14068,2.170504,[53 78] ; [20 17],[56.92261905 74.07738095] ; [16.07738095 20.92261905],0
b4,1,0.152585,2.046216,[64 67] ; [23 14],[67.83928571 63.16071429] ; [19.16071429 17.83928571],0
p6,1,0.189864,1.718672,[64 65] ; [13 22],[60.56707317 68.43292683] ; [16.43292683 18.56707317],0
r4,1,0.241822,1.369939,[113  18] ; [29  8],[110.72619048  20.27380952] ; [31.27380952  5.72619048],0
n2,1,0.262193,1.257143,[21  9] ; [12  2],[22.5  7.5] ; [10.5  3.5],0
a1,1,0.284302,1.146409,[ 10 121] ; [ 1 36],[  8.57738095 122.42261905] ; [ 2.42261905 34.57738095],0
n1,1,0.306944,1.043778,[13 16] ; [ 4 10],[11.46511628 17.53488372] ; [5.53488372 8.46511628],0
s4,1,0.334365,0.931918,[ 31 100] ; [ 6 31],[ 28.85119048 102.14880952] ; [ 8.14880952 28.85119048],0
u1,1,0.344093,0.895121,[  9 122] ; [ 1 36],[  7.79761905 123.20238095] ; [ 2.20238095 34.79761905],0
p5,1,0.365589,0.818603,[ 22 108] ; [ 4 33],[ 20.23952096 109.76047904] ; [ 5.76047904 31.23952096],0
d2,1,0.395924,0.720671,[67 64] ; [16 21],[64.7202381 66.2797619] ; [18.2797619 18.7202381],0
p12,1,0.412076,0.672803,[  8 122] ; [ 1 36],[  7.00598802 122.99401198] ; [ 1.99401198 35.00598802],0
d3,1,0.443037,0.588405,[66 65] ; [16 21],[63.94047619 67.05952381] ; [18.05952381 18.94047619],0
a2,1,0.465552,0.532513,[ 12 119] ; [ 2 35],[ 10.91666667 120.08333333] ; [ 3.08333333 33.91666667],0
v4,1,0.513609,0.426708,[120  10] ; [32  4],[119.03614458  10.96385542] ; [32.96385542  3.03614458],0
a6,1,0.51963,0.414628,[49 82] ; [16 21],[50.68452381 80.31547619] ; [14.31547619 22.68452381],0
n3,1,0.552098,0.353571,[21  9] ; [11  3],[21.81818182  8.18181818] ; [10.18181818  3.81818182],0
p1,1,0.642134,0.215962,[ 10 121] ; [ 2 35],[  9.35714286 121.64285714] ; [ 2.64285714 34.35714286],0
s3,1,0.664605,0.187978,[81 49] ; [21 15],[79.87951807 50.12048193] ; [22.12048193 13.87951807],0
s1,1,0.747103,0.103982,[  5 126] ; [ 1 36],[  4.67857143 126.32142857] ; [ 1.32142857 35.67857143],0
u3,1,0.92144,0.009726,[13 16] ; [12 14],[13.18181818 15.81818182] ; [11.81818182 14.18181818],0
b1,1,0.952251,0.003586,[63 68] ; [18 19],[63.16071429 67.83928571] ; [17.83928571 19.16071429],0
u2,1,0.98386,0.000409,[15 14] ; [13 12],[15.03703704 13.96296296] ; [12.96296296 12.03703704],0
a8,1,0.994068,5.5e-05,[ 15 112] ; [ 4 30],[ 14.98757764 112.01242236] ; [ 4.01242236 29.98757764],0
