Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,24.582914,[ 23 346] ; [18 55],[ 34.22850679 334.77149321] ; [ 6.77149321 66.22850679],1
s6,1,9.7e-05,15.201857,[135 235] ; [43 27],[149.68181818 220.31818182] ; [28.31818182 41.68181818],1
b5,1,0.000296,13.096336,[232 139] ; [29 44],[218.08783784 152.91216216] ; [42.91216216 30.08783784],1
d2,1,0.008927,6.8374,[149 221] ; [41 31],[159.04977376 210.95022624] ; [30.95022624 41.04977376],0
r1,1,0.013527,6.098904,[261 107] ; [62 11],[269.53287982  98.46712018] ; [53.46712018 19.53287982],0
n6,1,0.015207,5.892342,[275  94] ; [64  9],[283.01131222  85.98868778] ; [55.98868778 17.01131222],0
p3,1,0.020933,5.332323,[143 225] ; [39 34],[151.87301587 216.12698413] ; [30.12698413 42.87301587],0
p10,1,0.029548,4.735395,[247 118] ; [58 14],[254.74828375 110.25171625] ; [50.25171625 21.74828375],0
p1,1,0.035052,4.442644,[ 24 345] ; [10 63],[ 28.38461538 340.61538462] ; [ 5.61538462 67.38461538],0
a8,1,0.038364,4.288801,[ 34 298] ; [13 55],[ 39.01 292.99] ; [ 7.99 60.01],0
s8,1,0.038841,4.267802,[ 77 293] ; [23 49],[ 83.71040724 286.28959276] ; [16.28959276 55.71040724],0
p7,1,0.041382,4.160317,[196 166] ; [49 24],[203.88505747 158.11494253] ; [41.11494253 31.88505747],0
p12,1,0.047577,3.924855,[ 12 355] ; [ 6 66],[ 15.04783599 351.95216401] ; [ 2.95216401 69.04783599],0
p2,1,0.065363,3.3958,[275  92] ; [62 11],[281.08863636  85.91136364] ; [55.91136364 17.08863636],0
d1,1,0.087891,2.912588,[178 193] ; [43 30],[184.66441441 186.33558559] ; [36.33558559 36.66441441],0
a5,1,0.101733,2.678165,[243 128] ; [55 18],[249.0045045 121.9954955] ; [48.9954955 24.0045045],0
d4,1,0.110348,2.549233,[270 100] ; [59 13],[275.40723982  94.59276018] ; [53.59276018 18.40723982],0
n1,1,0.155815,2.014375,[34 68] ; [10 10],[36.78688525 65.21311475] ; [ 7.21311475 12.78688525],0
r4,1,0.16502,1.927614,[294  77] ; [63 10],[298.30405405  72.69594595] ; [58.69594595 14.30405405],0
