Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,6.1e-05,16.067143,[16  9] ; [19 68],[ 7.8125 17.1875] ; [27.1875 59.8125],1
s6,1,0.006352,7.447538,[17  8] ; [32 54],[11.03603604 13.96396396] ; [37.96396396 48.03603604],0
p1,1,0.007331,7.190087,[ 4 21] ; [ 2 85],[ 1.33928571 23.66071429] ; [ 4.66071429 82.33928571],0
p7,1,0.027945,4.83144,[16  9] ; [32 50],[11.21495327 13.78504673] ; [36.78504673 45.21495327],0
p8,1,0.033433,4.523472,[13 12] ; [25 61],[ 8.55855856 16.44144144] ; [29.44144144 56.55855856],0
a7,1,0.0399,4.222139,[21  4] ; [54 33],[16.74107143  8.25892857] ; [58.25892857 28.74107143],0
p5,1,0.061514,3.496098,[ 2 23] ; [ 1 86],[ 0.66964286 24.33035714] ; [ 2.33035714 84.66964286],0
s7,1,0.072316,3.229644,[ 9 13] ; [19 67],[ 5.7037037 16.2962963] ; [22.2962963 63.7037037],0
s8,1,0.107724,2.587294,[ 9 16] ; [18 70],[ 5.97345133 19.02654867] ; [21.02654867 66.97345133],0
p2,1,0.114403,2.492322,[21  4] ; [59 28],[17.85714286  7.14285714] ; [62.14285714 24.85714286],0
u3,1,0.140677,2.170543,[11  3] ; [32 24],[8.6 5.4] ; [34.4 21.6],0
v1,1,0.200756,1.636867,[ 9 14] ; [22 64],[ 6.5412844 16.4587156] ; [24.4587156 61.5412844],0
v4,1,0.212788,1.552357,[24  1] ; [75 11],[22.2972973  2.7027027] ; [76.7027027  9.2972973],0
s3,1,0.215965,1.530984,[14 11] ; [37 51],[11.28318584 13.71681416] ; [39.71681416 48.28318584],0
s2,1,0.24573,1.347417,[12 13] ; [31 57],[ 9.51327434 15.48672566] ; [33.48672566 54.51327434],0
b2,1,0.305749,1.048951,[ 1 10] ; [ 9 30],[2.2 8.8] ; [ 7.8 31.2],0
b3,1,0.305749,1.048951,[ 1 10] ; [ 9 30],[2.2 8.8] ; [ 7.8 31.2],0
r3,1,0.308178,1.038467,[23  2] ; [73 14],[21.42857143  3.57142857] ; [74.57142857 12.42857143],0
r2,1,0.31683,1.001988,[23  2] ; [74 14],[21.46017699  3.53982301] ; [75.53982301 12.46017699],0
a6,1,0.351584,0.867733,[14 11] ; [40 48],[11.94690265 13.05309735] ; [42.05309735 45.94690265],0
u2,1,0.361264,0.833494,[9 4] ; [31 25],[7.53623188 5.46376812] ; [32.46376812 23.53623188],0
a4,1,0.37845,0.775731,[ 2 23] ; [13 75],[ 3.31858407 21.68141593] ; [11.68141593 76.31858407],0
p6,1,0.388177,0.744646,[ 7 16] ; [19 68],[ 5.43636364 17.56363636] ; [20.56363636 66.43636364],0
r4,1,0.392827,0.730173,[19  6] ; [59 29],[17.25663717  7.74336283] ; [60.74336283 27.25663717],0
b5,1,0.423133,0.641598,[14 11] ; [57 31],[15.7079646  9.2920354] ; [55.2920354 32.7079646],0
d3,1,0.427164,0.630521,[12 13] ; [49 37],[13.73873874 11.26126126] ; [47.26126126 38.73873874],0
a3,1,0.446246,0.580169,[11 14] ; [31 56],[ 9.375 15.625] ; [32.625 54.375],0
d2,1,0.540075,0.375401,[ 4 21] ; [19 69],[ 5.08849558 19.91150442] ; [17.91150442 70.08849558],0
d5,1,0.558674,0.342006,[16  9] ; [50 37],[14.73214286 10.26785714] ; [51.26785714 35.73214286],0
n6,1,0.558674,0.342006,[16  9] ; [50 37],[14.73214286 10.26785714] ; [51.26785714 35.73214286],0
b1,1,0.585595,0.297276,[10 15] ; [30 58],[ 8.84955752 16.15044248] ; [31.15044248 56.84955752],0
p11,1,0.587161,0.294799,[16  9] ; [51 37],[14.82300885 10.17699115] ; [52.17699115 35.82300885],0
s4,1,0.604908,0.267657,[ 5 20] ; [22 66],[ 5.97345133 19.02654867] ; [21.02654867 66.97345133],0
d4,1,0.614792,0.253255,[18  7] ; [58 29],[16.96428571  8.03571429] ; [59.03571429 27.96428571],0
v2,1,0.615913,0.251654,[ 7 16] ; [31 55],[ 8.01834862 14.98165138] ; [29.98165138 56.01834862],0
u1,1,0.635441,0.224755,[ 1 24] ; [ 2 86],[ 0.66371681 24.33628319] ; [ 2.33628319 85.66371681],0
a1,1,0.635441,0.224755,[ 1 24] ; [ 2 86],[ 0.66371681 24.33628319] ; [ 2.33628319 85.66371681],0
s5,1,0.669495,0.182193,[ 6 18] ; [18 68],[ 5.23636364 18.76363636] ; [18.76363636 67.23636364],0
n3,1,0.684687,0.164897,[3 1] ; [24 13],[2.63414634 1.36585366] ; [24.36585366 12.63414634],0
v3,1,0.699888,0.148588,[ 5 17] ; [16 68],[ 4.35849057 17.64150943] ; [16.64150943 67.35849057],0
b4,1,0.704198,0.144141,[14 11] ; [53 35],[14.82300885 10.17699115] ; [52.17699115 35.82300885],0
n5,1,0.817251,0.053399,[ 8 17] ; [30 57],[ 8.48214286 16.51785714] ; [29.51785714 57.48214286],0
r1,1,0.854709,0.03353,[15 10] ; [51 37],[14.60176991 10.39823009] ; [51.39823009 36.60176991],0
p9,1,0.913695,0.011746,[16  8] ; [55 29],[15.77777778  8.22222222] ; [55.22222222 28.77777778],0
p10,1,0.91663,0.010958,[14 10] ; [50 34],[14.22222222  9.77777778] ; [49.77777778 34.22222222],0
d1,1,0.968042,0.001605,[ 7 18] ; [25 63],[ 7.07964602 17.92035398] ; [24.92035398 63.07964602],0
n1,1,0.976152,0.000894,[1 3] ; [ 9 28],[0.97560976 3.02439024] ; [ 9.02439024 27.97560976],0
