Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,24.823026,[ 5 21] ; [42 12],[15.275 10.725] ; [31.725 22.275],1
d2,1,8.7e-05,15.395433,[ 4 22] ; [33 20],[12.17721519 13.82278481] ; [24.82278481 28.17721519],1
a4,1,0.000304,13.043657,[ 2 24] ; [26 27],[ 9.21518987 16.78481013] ; [18.78481013 34.21518987],1
a5,1,0.000832,11.168091,[ 6 20] ; [34 20],[13. 13.] ; [27. 27.],1
a3,1,0.00099,10.845535,[ 8 18] ; [37 16],[14.81012658 11.18987342] ; [30.18987342 22.81012658],1
r1,1,0.006918,7.294019,[ 8 18] ; [34 20],[13.65 12.35] ; [28.35 25.65],0
p3,1,0.009041,6.814659,[ 4 22] ; [24 29],[ 9.21518987 16.78481013] ; [18.78481013 34.21518987],0
n5,1,0.016203,5.780721,[21  5] ; [28 25],[16.12658228  9.87341772] ; [32.87341772 20.12658228],0
s6,1,0.022205,5.229684,[ 7 18] ; [29 23],[11.68831169 13.31168831] ; [24.31168831 27.68831169],0
v1,1,0.023986,5.09564,[ 5 21] ; [24 29],[ 9.5443038 16.4556962] ; [19.4556962 33.5443038],0
p10,1,0.024593,5.052295,[ 6 19] ; [27 26],[10.57692308 14.42307692] ; [22.42307692 30.57692308],0
s5,1,0.026863,4.899604,[ 3 23] ; [18 33],[ 7.09090909 18.90909091] ; [13.90909091 37.09090909],0
d3,1,0.032039,4.596391,[ 6 20] ; [26 28],[10.4 15.6] ; [21.6 32.4],0
r3,1,0.032938,4.549007,[13 13] ; [40 14],[17.225  8.775] ; [35.775 18.225],0
n4,1,0.049792,3.848465,[21  5] ; [31 22],[17.11392405  8.88607595] ; [34.88607595 18.11392405],0
u2,1,0.052896,3.747215,[ 3 15] ; [8 9],[ 5.65714286 12.34285714] ; [ 5.34285714 11.65714286],0
r4,1,0.081108,3.042554,[11 15] ; [34 20],[14.625 11.375] ; [30.375 23.625],0
v2,1,0.081615,3.032454,[ 6 19] ; [24 30],[ 9.49367089 15.50632911] ; [20.50632911 33.49367089],0
r2,1,0.087217,2.925,[17  9] ; [43  9],[20.  6.] ; [40. 12.],0
u3,1,0.121827,2.393672,[ 4 14] ; [8 9],[ 6.17142857 11.82857143] ; [ 5.82857143 11.17142857],0
s2,1,0.131896,2.270049,[ 7 19] ; [24 30],[10.075 15.925] ; [20.925 33.075],0
a8,1,0.135958,2.223123,[ 4 21] ; [ 3 50],[ 2.24358974 22.75641026] ; [ 4.75641026 48.24358974],0
v4,1,0.168153,1.899335,[17  9] ; [43 11],[19.5  6.5] ; [40.5 13.5],0
p9,1,0.18509,1.756277,[ 9 15] ; [28 24],[11.68421053 12.31578947] ; [25.31578947 26.68421053],0
a6,1,0.19374,1.688947,[11 15] ; [15 39],[ 8.45 17.55] ; [17.55 36.45],0
