Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,5.3e-05,16.341684,[61 36] ; [187  37],[74.94080997 22.05919003] ; [173.05919003  50.94080997],1
a1,1,0.000218,13.665183,[ 9 93] ; [  2 224],[ 3.42073171 98.57926829] ; [  7.57926829 218.42073171],1
p4,1,0.000571,11.867542,[29 72] ; [111 115],[43.24159021 57.75840979] ; [ 96.75840979 129.24159021],1
p10,1,0.001133,10.595824,[57 42] ; [170  55],[69.36111111 29.63888889] ; [157.63888889  67.36111111],0
p11,1,0.001175,10.529277,[57 45] ; [167  59],[69.65853659 32.34146341] ; [154.34146341  71.65853659],0
p8,1,0.001431,10.165912,[14 88] ; [ 68 157],[25.57798165 76.42201835] ; [ 56.42201835 168.57798165],0
b1,1,0.008155,6.999207,[48 54] ; [ 72 154],[37.31707317 64.68292683] ; [ 82.68292683 143.31707317],0
n4,1,0.013062,6.160747,[62 40] ; [168  58],[71.52439024 30.47560976] ; [158.47560976  67.52439024],0
v1,1,0.015216,5.891257,[35 64] ; [109 109],[44.97160883 54.02839117] ; [ 99.02839117 118.97160883],0
r3,1,0.024674,5.046638,[88 14] ; [211  14],[93.26605505  8.73394495] ; [205.73394495  19.26605505],0
s3,1,0.049891,3.845105,[40 59] ; [117 107],[48.12074303 50.87925697] ; [108.87925697 115.12074303],0
a2,1,0.054017,3.71218,[27 75] ; [ 39 187],[20.52439024 81.47560976] ; [ 45.47560976 180.52439024],0
s1,1,0.05778,3.599983,[ 8 93] ; [  7 216],[ 4.67592593 96.32407407] ; [ 10.32407407 212.67592593],0
s4,1,0.06659,3.365148,[22 78] ; [ 31 193],[16.35802469 83.64197531] ; [ 36.64197531 187.35802469],0
d5,1,0.071904,3.239009,[72 30] ; [180  46],[78.36585366 23.63414634] ; [173.63414634  52.36585366],0
a7,1,0.078147,3.103034,[66 36] ; [167  58],[72.67889908 29.32110092] ; [160.32110092  64.67889908],0
n5,1,0.09196,2.83972,[62 40] ; [158  67],[68.62385321 33.37614679] ; [151.37614679  73.62385321],0
s2,1,0.103554,2.649933,[38 62] ; [106 116],[44.72049689 55.27950311] ; [ 99.27950311 122.72049689],0
p3,1,0.109916,2.555426,[26 75] ; [ 78 147],[32.2208589 68.7791411] ; [ 71.7791411 153.2208589],0
a8,1,0.112831,2.514111,[ 5 91] ; [ 22 181],[ 8.66889632 87.33110368] ; [ 18.33110368 184.66889632],0
u4,1,0.132372,2.264459,[ 4 98] ; [  3 223],[ 2.17682927 99.82317073] ; [  4.82317073 221.17682927],0
b5,1,0.141323,2.163491,[61 41] ; [154  72],[66.8597561 35.1402439] ; [148.1402439  77.8597561],0
a4,1,0.155097,2.021394,[51 50] ; [ 95 131],[45.09480122 55.90519878] ; [100.90519878 125.09480122],0
b2,1,0.17189,1.86638,[27 34] ; [41 80],[22.79120879 38.20879121] ; [45.20879121 75.79120879],0
b3,1,0.17189,1.86638,[27 34] ; [41 80],[22.79120879 38.20879121] ; [45.20879121 75.79120879],0
p6,1,0.239815,1.381678,[12 89] ; [ 38 186],[15.53846154 85.46153846] ; [ 34.46153846 189.53846154],0
v2,1,0.24191,1.369428,[40 54] ; [108 109],[44.73311897 49.26688103] ; [103.26688103 113.73311897],0
n6,1,0.257171,1.283924,[78 24] ; [185  41],[81.78658537 20.21341463] ; [181.21341463  44.78658537],0
s6,1,0.276169,1.185848,[55 45] ; [137  86],[59.44272446 40.55727554] ; [132.55727554  90.44272446],0
u1,1,0.301276,1.068537,[19 83] ; [ 32 194],[15.8597561 86.1402439] ; [ 35.1402439 190.8597561],0
v3,1,0.336731,0.922839,[34 58] ; [ 68 149],[30.36893204 61.63106796] ; [ 71.63106796 145.36893204],0
b4,1,0.349218,0.876298,[59 43] ; [143  83],[62.81707317 39.18292683] ; [139.18292683  86.81707317],0
d2,1,0.357962,0.84503,[52 49] ; [103 121],[48.16923077 52.83076923] ; [106.83076923 117.16923077],0
a3,1,0.364781,0.821367,[70 31] ; [145  81],[66.40672783 34.59327217] ; [148.59327217  77.40672783],0
r1,1,0.393637,0.727678,[73 29] ; [171  54],[76.11009174 25.88990826] ; [167.88990826  57.11009174],0
s7,1,0.405639,0.691546,[34 63] ; [ 86 129],[37.30769231 59.69230769] ; [ 82.69230769 132.30769231],0
d4,1,0.412045,0.672893,[78 24] ; [181  44],[80.78899083 21.21100917] ; [178.21100917  46.78899083],0
d1,1,0.42197,0.644821,[52 50] ; [126 100],[55.35365854 46.64634146] ; [122.64634146 103.35365854],0
n1,1,0.446506,0.579506,[20 24] ; [24 39],[18.09345794 25.90654206] ; [25.90654206 37.09345794],0
u2,1,0.468717,0.525,[20 12] ; [44 36],[18.28571429 13.71428571] ; [45.71428571 34.28571429],0
u3,1,0.484293,0.489181,[22 10] ; [50 31],[20.38938053 11.61061947] ; [51.61061947 29.38938053],0
r4,1,0.637474,0.222061,[86 16] ; [195  31],[87.38414634 14.61585366] ; [193.61585366  32.38414634],0
d3,1,0.687413,0.161901,[64 38] ; [147  79],[65.61585366 36.38414634] ; [145.38414634  80.61585366],0
p12,1,0.690369,0.158686,[ 8 93] ; [ 15 209],[ 7.14769231 93.85230769] ; [ 15.85230769 208.14769231],0
r2,1,0.704455,0.143878,[95  7] ; [212  13],[95.76146789  6.23853211] ; [211.23853211  13.76146789],0
s5,1,0.711359,0.136923,[24 69] ; [ 51 163],[22.71986971 70.28013029] ; [ 52.28013029 161.71986971],0
a5,1,0.71589,0.132465,[72 30] ; [155  71],[70.59146341 31.40853659] ; [156.40853659  69.59146341],0
a6,1,0.779874,0.078111,[67 35] ; [152  74],[68.10365854 33.89634146] ; [150.89634146  75.10365854],0
p5,1,0.845717,0.037864,[ 6 93] ; [ 15 211],[ 6.39692308 92.60307692] ; [ 14.60307692 211.39692308],0
p1,1,0.854776,0.033499,[ 8 94] ; [ 19 206],[ 8.42201835 93.57798165] ; [ 18.57798165 206.42201835],0
s8,1,0.860274,0.030985,[37 65] ; [ 79 145],[36.29447853 65.70552147] ; [ 79.70552147 144.29447853],0
n3,1,0.955525,0.00311,[28 14] ; [43 21],[28.13207547 13.86792453] ; [42.86792453 21.13207547],0
n2,1,0.971319,0.001293,[32 13] ; [45 18],[32.08333333 12.91666667] ; [44.91666667 18.08333333],0
