Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000111,14.933658,[107   5] ; [106  29],[96.58299595 15.41700405] ; [116.41700405  18.58299595],1
v1,1,0.00055,11.939569,[65 46] ; [48 84],[51.61728395 59.38271605] ; [61.38271605 70.61728395],1
p6,1,0.001106,10.641252,[62 50] ; [46 87],[49.37142857 62.62857143] ; [58.62857143 74.37142857],0
p9,1,0.00126,10.400181,[104   7] ; [107  28],[95.20731707 15.79268293] ; [115.79268293  19.20731707],0
n2,1,0.004599,8.030769,[27  2] ; [18 11],[22.5  6.5] ; [22.5  6.5],0
s4,1,0.006124,7.513356,[42 67] ; [ 30 104],[32.2962963 76.7037037] ; [39.7037037 94.2962963],0
p3,1,0.010887,6.48375,[63 49] ; [54 81],[53.05263158 58.94736842] ; [63.94736842 71.05263158],0
s7,1,0.013133,6.151109,[77 29] ; [76 57],[67.85774059 38.14225941] ; [85.14225941 47.85774059],0
a5,1,0.018938,5.507218,[87 26] ; [86 50],[78.51004016 34.48995984] ; [94.48995984 41.51004016],0
p10,1,0.042716,4.106587,[98 13] ; [106  29],[92.04878049 18.95121951] ; [111.95121951  23.04878049],0
d4,1,0.046413,3.966551,[99 14] ; [106  30],[93.03212851 19.96787149] ; [111.96787149  24.03212851],0
r2,1,0.064552,3.416379,[108   3] ; [123  11],[104.65714286   6.34285714] ; [126.34285714   7.65714286],0
a4,1,0.07587,3.151234,[55 58] ; [51 85],[48.10441767 64.89558233] ; [57.89558233 78.10441767],0
a3,1,0.079449,3.076143,[87 26] ; [91 45],[80.77911647 32.22088353] ; [97.22088353 38.77911647],0
u3,1,0.08984,2.877234,[20  6] ; [25 19],[16.71428571  9.28571429] ; [28.28571429 15.71428571],0
b1,1,0.109732,2.55807,[41 72] ; [63 73],[47.19678715 65.80321285] ; [56.80321285 79.19678715],0
p5,1,0.115093,2.482854,[13 99] ; [  8 126],[  9.56097561 102.43902439] ; [ 11.43902439 122.56097561],0
n1,1,0.134418,2.240722,[15 14] ; [ 9 19],[12.21052632 16.78947368] ; [11.78947368 16.21052632],0
v4,1,0.146689,2.106351,[109   3] ; [126   9],[106.55870445   5.44129555] ; [128.44129555   6.55870445],0
d3,1,0.171561,1.869254,[82 31] ; [87 48],[77.00403226 35.99596774] ; [91.99596774 43.00403226],0
p7,1,0.184326,1.762397,[76 31] ; [83 49],[71.18410042 35.81589958] ; [87.81589958 44.18410042],0
a2,1,0.210555,1.567605,[30 83] ; [ 27 109],[25.86746988 87.13253012] ; [ 31.13253012 104.86746988],0
p2,1,0.217356,1.521743,[97 15] ; [109  26],[93.40890688 18.59109312] ; [112.59109312  22.40890688],0
b4,1,0.23063,1.436969,[70 43] ; [74 62],[65.34939759 47.65060241] ; [78.65060241 57.34939759],0
p12,1,0.239405,1.384094,[  9 103] ; [  6 129],[  6.80161943 105.19838057] ; [  8.19838057 126.80161943],0
r4,1,0.306627,1.04515,[102  11] ; [117  19],[99.38554217 13.61445783] ; [119.61445783  16.38554217],0
d5,1,0.307041,1.04336,[93 20] ; [104  31],[89.76209677 23.23790323] ; [107.23790323  27.76209677],0
s8,1,0.339965,0.910561,[65 48] ; [70 66],[61.26506024 51.73493976] ; [73.73493976 62.26506024],0
u4,1,0.409134,0.681315,[  1 112] ; [  3 133],[  1.81526104 111.18473896] ; [  2.18473896 133.81526104],0
b3,1,0.432078,0.617233,[29 49] ; [25 55],[26.65822785 51.34177215] ; [27.34177215 52.65822785],0
b2,1,0.432078,0.617233,[29 49] ; [25 55],[26.65822785 51.34177215] ; [27.34177215 52.65822785],0
s3,1,0.49032,0.475823,[99 14] ; [115  21],[97.11646586 15.88353414] ; [116.88353414  19.11646586],0
s1,1,0.525,0.404059,[  7 104] ; [  6 128],[  5.88979592 105.11020408] ; [  7.11020408 126.88979592],0
u1,1,0.58682,0.295338,[23 90] ; [ 24 112],[21.32931727 91.67068273] ; [ 25.67068273 110.32931727],0
d1,1,0.587989,0.293496,[67 46] ; [76 60],[64.89558233 48.10441767] ; [78.10441767 57.89558233],0
n6,1,0.628001,0.234781,[93 17] ; [111  24],[91.59183673 18.40816327] ; [112.40816327  22.59183673],0
b5,1,0.636653,0.223146,[69 44] ; [87 49],[70.79518072 42.20481928] ; [85.20481928 50.79518072],0
a8,1,0.661183,0.19209,[16 87] ; [ 23 107],[17.24034335 85.75965665] ; [ 21.75965665 108.24034335],0
a7,1,0.672583,0.178596,[81 32] ; [100  35],[82.47177419 30.52822581] ; [98.52822581 36.47177419],0
v2,1,0.721739,0.126832,[47 63] ; [53 78],[45.64315353 64.35684647] ; [54.35684647 76.64315353],0
r3,1,0.727705,0.121229,[105   6] ; [129   6],[105.58536585   5.41463415] ; [128.41463415   6.58536585],0
p4,1,0.743327,0.107224,[70 41] ; [83 53],[68.75708502 42.24291498] ; [84.24291498 51.75708502],0
p8,1,0.746712,0.104315,[54 56] ; [63 71],[52.74590164 57.25409836] ; [64.25409836 69.74590164],0
n3,1,0.772989,0.083214,[20  9] ; [21  8],[20.5  8.5] ; [20.5  8.5],0
a1,1,0.791055,0.070194,[  5 108] ; [  7 129],[  5.44578313 107.55421687] ; [  6.55421687 129.44578313],0
p1,1,0.853636,0.034033,[  9 103] ; [ 10 125],[  8.61538462 103.38461538] ; [ 10.38461538 124.61538462],0
a6,1,0.871199,0.026288,[72 41] ; [88 48],[72.61044177 40.38955823] ; [87.38955823 48.61044177],0
n4,1,0.896681,0.016862,[80 31] ; [97 39],[79.54251012 31.45748988] ; [97.45748988 38.54251012],0
u2,1,0.907054,0.013632,[14 11] ; [24 20],[13.76811594 11.23188406] ; [24.23188406 19.76811594],0
d2,1,0.90871,0.013148,[54 59] ; [64 72],[53.5502008 59.4497992] ; [64.4497992 71.5502008],0
p11,1,0.946323,0.004533,[86 27] ; [104  32],[86.2248996 26.7751004] ; [103.7751004  32.2248996],0
n5,1,0.981233,0.000553,[80 30] ; [98 37],[79.91836735 30.08163265] ; [98.08163265 36.91836735],0
r1,1,0.984404,0.000382,[85 26] ; [104  32],[84.93522267 26.06477733] ; [104.06477733  31.93522267],0
