Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001144,10.57865,[9 8] ; [14 70],[ 3.87128713 13.12871287] ; [19.12871287 64.87128713],0
p6,1,0.001597,9.962659,[ 6 12] ; [ 6 79],[ 2.09708738 15.90291262] ; [ 9.90291262 75.09708738],0
p5,1,0.00194,9.605692,[ 5 13] ; [ 4 79],[ 1.6039604 16.3960396] ; [ 7.3960396 75.6039604],0
v1,1,0.050098,3.838179,[9 9] ; [22 61],[ 5.52475248 12.47524752] ; [25.47524752 57.52475248],0
d3,1,0.090357,2.867996,[12  6] ; [38 47],[8.73786408 9.26213592] ; [41.26213592 43.73786408],0
a4,1,0.124698,2.357297,[ 4 13] ; [37 48],[ 6.83333333 10.16666667] ; [34.16666667 50.83333333],0
n5,1,0.14049,2.172586,[9 9] ; [58 27],[11.70873786  6.29126214] ; [55.29126214 29.70873786],0
p4,1,0.150615,2.066006,[ 7 11] ; [19 65],[ 4.58823529 13.41176471] ; [21.41176471 62.58823529],0
a6,1,0.158366,1.98976,[13  5] ; [46 39],[10.31067961  7.68932039] ; [48.68932039 36.31067961],0
p3,1,0.168919,1.892512,[ 7 11] ; [20 66],[ 4.67307692 13.32692308] ; [22.32692308 63.67307692],0
s1,1,0.170205,1.881137,[ 4 14] ; [ 9 77],[ 2.25 15.75] ; [10.75 75.25],0
p10,1,0.171962,1.86576,[10  8] ; [32 52],[ 7.41176471 10.58823529] ; [34.58823529 49.41176471],0
a7,1,0.197689,1.659369,[12  6] ; [43 43],[9.51923077 8.48076923] ; [45.48076923 40.51923077],0
a3,1,0.204175,1.612258,[8 9] ; [54 31],[10.33333333  6.66666667] ; [51.66666667 33.33333333],0
d1,1,0.21091,1.565171,[10  8] ; [34 52],[ 7.61538462 10.38461538] ; [36.38461538 49.61538462],0
p9,1,0.218865,1.511796,[11  7] ; [37 45],[8.64 9.36] ; [39.36 42.64],0
n2,1,0.228016,1.453193,[6 1] ; [23 14],[4.61363636 2.38636364] ; [24.38636364 12.61363636],0
b1,1,0.25986,1.269501,[ 7 11] ; [46 40],[9.17307692 8.82692308] ; [43.82692308 42.17307692],0
b5,1,0.266225,1.236092,[13  5] ; [50 36],[10.90384615  7.09615385] ; [52.09615385 33.90384615],0
s3,1,0.292419,1.108451,[ 4 12] ; [33 52],[ 5.86138614 10.13861386] ; [31.13861386 53.86138614],0
b2,1,0.339349,0.912889,[3 8] ; [26 35],[4.43055556 6.56944444] ; [24.56944444 36.43055556],0
b3,1,0.339349,0.912889,[3 8] ; [26 35],[4.43055556 6.56944444] ; [24.56944444 36.43055556],0
n3,1,0.355139,0.855011,[3 4] ; [21 13],[4.09756098 2.90243902] ; [19.90243902 14.09756098],0
p11,1,0.378918,0.774209,[10  8] ; [38 48],[8.30769231 9.69230769] ; [39.69230769 46.30769231],0
s5,1,0.459006,0.548318,[ 4 13] ; [13 68],[ 2.94897959 14.05102041] ; [14.05102041 66.94897959],0
s6,1,0.468103,0.526452,[8 9] ; [32 53],[ 6.66666667 10.33333333] ; [33.33333333 51.66666667],0
r3,1,0.473037,0.514872,[11  7] ; [60 26],[12.28846154  5.71153846] ; [58.71153846 27.28846154],0
d2,1,0.473134,0.514646,[ 7 11] ; [40 43],[8.37623762 9.62376238] ; [38.62376238 44.37623762],0
r2,1,0.485845,0.485714,[16  2] ; [69 15],[15.  3.] ; [70. 14.],0
s7,1,0.488066,0.480788,[ 6 11] ; [21 57],[ 4.83157895 12.16842105] ; [22.16842105 55.83157895],0
v4,1,0.555777,0.347068,[14  4] ; [61 25],[12.98076923  5.01923077] ; [62.01923077 23.98076923],0
u1,1,0.556663,0.345515,[ 3 15] ; [10 76],[ 2.25 15.75] ; [10.75 75.25],0
b4,1,0.587851,0.293714,[9 9] ; [49 37],[10.03846154  7.96153846] ; [47.96153846 38.03846154],0
n1,1,0.630904,0.230837,[4 3] ; [17 19],[3.41860465 3.58139535] ; [17.58139535 18.41860465],0
s4,1,0.647633,0.208897,[ 2 16] ; [13 72],[ 2.62135922 15.37864078] ; [12.37864078 72.62135922],0
d5,1,0.658076,0.19587,[10  8] ; [52 33],[10.83495146  7.16504854] ; [51.16504854 33.83495146],0
a5,1,0.679981,0.170147,[11  7] ; [48 38],[10.21153846  7.78846154] ; [48.78846154 37.21153846],0
s2,1,0.680287,0.169803,[ 6 11] ; [26 60],[ 5.2815534 11.7184466] ; [26.7184466 59.2815534],0
u2,1,0.703004,0.145366,[4 6] ; [15 17],[4.52380952 5.47619048] ; [14.47619048 17.52380952],0
s8,1,0.745382,0.105453,[ 4 14] ; [22 63],[ 4.54368932 13.45631068] ; [21.45631068 63.54368932],0
r1,1,0.769113,0.086163,[10  8] ; [51 35],[10.55769231  7.44230769] ; [50.44230769 35.55769231],0
n4,1,0.819856,0.051861,[11  7] ; [55 31],[11.42307692  6.57692308] ; [54.57692308 31.42307692],0
v3,1,0.825008,0.048889,[ 4 14] ; [20 61],[ 4.36363636 13.63636364] ; [19.63636364 61.36363636],0
a2,1,0.846573,0.03744,[ 3 15] ; [16 70],[ 3.28846154 14.71153846] ; [15.71153846 70.28846154],0
r4,1,0.899946,0.015808,[12  6] ; [56 30],[11.76923077  6.23076923] ; [56.23076923 29.76923077],0
p1,1,0.950238,0.003895,[ 2 16] ; [10 76],[ 2.07692308 15.92307692] ; [ 9.92307692 76.07692308],0
n6,1,0.952886,0.003491,[11  6] ; [55 31],[10.89320388  6.10679612] ; [55.10679612 30.89320388],0
d4,1,0.97436,0.001033,[12  6] ; [57 28],[12.05825243  5.94174757] ; [56.94174757 28.05825243],0
u3,1,1.0,0.0,[5 5] ; [16 16],[5. 5.] ; [16. 16.],0
