Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.010516,6.545339,[ 19 120] ; [2 1],[ 20.55633803 118.44366197] ; [0.44366197 2.55633803],0
r1,1,0.01484,5.935353,[132  23] ; [1 2],[130.47468354  24.52531646] ; [2.52531646 0.47468354],0
p5,1,0.036257,4.384957,[  8 148] ; [1 2],[  8.83018868 147.16981132] ; [0.16981132 2.83018868],0
a7,1,0.216286,1.528846,[105  51] ; [1 2],[104.  52.] ; [2. 1.],0
p3,1,0.249646,1.325283,[ 54 102] ; [2 1],[ 54.94339623 101.05660377] ; [1.05660377 1.94339623],0
b4,1,0.284636,1.144821,[99 57] ; [1 2],[98.11320755 57.88679245] ; [1.88679245 1.11320755],0
a3,1,0.301212,1.06882,[97 58] ; [1 2],[96.13924051 58.86075949] ; [1.86075949 1.13924051],0
p9,1,0.32034,0.98756,[58 93] ; [2 1],[58.83116883 92.16883117] ; [1.16883117 1.83116883],0
d3,1,0.325986,0.964779,[95 60] ; [1 2],[94.17721519 60.82278481] ; [1.82278481 1.17721519],0
a6,1,0.33861,0.915688,[94 61] ; [1 2],[93.19620253 61.80379747] ; [1.80379747 1.19620253],0
p4,1,0.390615,0.737027,[65 90] ; [2 1],[65.7278481 89.2721519] ; [1.2721519 1.7278481],0
s6,1,0.486098,0.485151,[82 71] ; [1 2],[81.40384615 71.59615385] ; [1.59615385 1.40384615],0
s3,1,0.522319,0.409311,[73 79] ; [2 1],[73.5483871 78.4516129] ; [1.4516129 1.5483871],0
p7,1,0.522845,0.408278,[74 80] ; [2 1],[74.5477707 79.4522293] ; [1.4522293 1.5477707],0
d2,1,0.559953,0.339785,[77 78] ; [2 1],[77.5 77.5] ; [1.5 1.5],0
b1,1,0.674644,0.176218,[71 85] ; [1 2],[70.64150943 85.35849057] ; [1.35849057 1.64150943],0
p11,1,0.674644,0.176218,[85 71] ; [2 1],[85.35849057 70.64150943] ; [1.64150943 1.35849057],0
a4,1,0.715497,0.132849,[68 87] ; [1 2],[67.68987342 87.31012658] ; [1.31012658 1.68987342],0
u3,1,0.753778,0.098383,[36 23] ; [1 1],[35.78688525 23.21311475] ; [1.21311475 0.78688525],0
p6,1,0.784937,0.074469,[ 40 112] ; [1 2],[ 40.20645161 111.79354839] ; [0.79354839 2.20645161],0
b5,1,0.909053,0.013049,[99 57] ; [2 1],[99.09433962 56.90566038] ; [1.90566038 1.09433962],0
v3,1,0.919404,0.010238,[ 45 102] ; [1 2],[ 45.08 101.92] ; [0.92 2.08],0
u2,1,0.941604,0.005366,[27 30] ; [1 1],[27.05084746 29.94915254] ; [0.94915254 1.05084746],0
n4,1,0.956766,0.002939,[101  54] ; [2 1],[101.0443038  53.9556962] ; [1.9556962 1.0443038],0
b2,1,0.961106,0.002378,[32 68] ; [1 2],[32.03883495 67.96116505] ; [0.96116505 2.03883495],0
b3,1,0.961106,0.002378,[32 68] ; [1 2],[32.03883495 67.96116505] ; [0.96116505 2.03883495],0
p2,1,1.0,0.0,[104  52] ; [2 1],[104.  52.] ; [2. 1.],0
