Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,8.5e-05,15.442618,[21 25] ; [36  6],[29.79545455 16.20454545] ; [27.20454545 14.79545455],1
s2,1,0.001485,10.096604,[11 35] ; [23 17],[18.18604651 27.81395349] ; [15.81395349 24.18604651],0
s7,1,0.00185,9.69225,[10 35] ; [22 18],[16.94117647 28.05882353] ; [15.05882353 24.94117647],0
s3,1,0.001865,9.677779,[13 32] ; [25 15],[20.11764706 24.88235294] ; [17.88235294 22.11764706],0
s8,1,0.003573,8.48883,[ 8 38] ; [19 22],[14.27586207 31.72413793] ; [12.72413793 28.27586207],0
s6,1,0.005868,7.590278,[19 27] ; [29 12],[25.37931034 20.62068966] ; [22.62068966 18.37931034],0
n6,1,0.02374,5.113507,[27 19] ; [34  8],[31.88636364 14.11363636] ; [29.11363636 12.88636364],0
v4,1,0.035966,4.398699,[37  9] ; [40  2],[40.25  5.75] ; [36.75  5.25],0
a2,1,0.041405,4.159346,[ 6 40] ; [13 29],[ 9.93181818 36.06818182] ; [ 9.06818182 32.93181818],0
p6,1,0.044749,4.028085,[ 8 34] ; [16 25],[12.14457831 29.85542169] ; [11.85542169 29.14457831],0
a4,1,0.060547,3.522333,[15 31] ; [22 20],[19.34090909 26.65909091] ; [17.65909091 24.34090909],0
p4,1,0.07058,3.269474,[17 28] ; [24 18],[21.20689655 23.79310345] ; [19.79310345 22.20689655],0
u1,1,0.092686,2.8271,[ 4 42] ; [ 9 33],[ 6.79545455 39.20454545] ; [ 6.20454545 35.79545455],0
u2,1,0.111349,2.534965,[ 6 12] ; [7 4],[8.06896552 9.93103448] ; [4.93103448 6.06896552],0
s4,1,0.123495,2.372428,[ 3 43] ; [ 7 34],[ 5.28735632 40.71264368] ; [ 4.71264368 36.28735632],0
v3,1,0.152499,2.047072,[14 28] ; [20 21],[17.20481928 24.79518072] ; [16.79518072 24.20481928],0
r3,1,0.179191,1.804318,[44  2] ; [36  5],[42.29885057  3.70114943] ; [37.70114943  3.29885057],0
b5,1,0.197089,1.663817,[28 18] ; [31 11],[30.84090909 15.15909091] ; [28.15909091 13.84090909],0
p1,1,0.201205,1.633605,[ 4 42] ; [ 1 41],[ 2.61363636 43.38636364] ; [ 2.38636364 39.61363636],0
a7,1,0.205987,1.599408,[29 17] ; [31 10],[31.72413793 14.27586207] ; [28.27586207 12.72413793],0
p3,1,0.254207,1.300035,[12 33] ; [16 26],[14.48275862 30.51724138] ; [13.51724138 28.48275862],0
u4,1,0.26368,1.249335,[ 1 45] ; [ 3 39],[ 2.09090909 43.90909091] ; [ 1.90909091 40.09090909],0
p2,1,0.278788,1.172986,[29 17] ; [31 11],[31.36363636 14.63636364] ; [28.63636364 13.36363636],0
d5,1,0.283373,1.150842,[34 12] ; [35  7],[36.06818182  9.93181818] ; [32.93181818  9.06818182],0
p7,1,0.31134,1.024981,[18 28] ; [20 20],[20.3255814 25.6744186] ; [17.6744186 22.3255814],0
d2,1,0.330685,0.946213,[21 25] ; [23 18],[23.26436782 22.73563218] ; [20.73563218 20.26436782],0
r2,1,0.343421,0.897619,[39  6] ; [39  3],[40.34482759  4.65517241] ; [37.65517241  4.34482759],0
r1,1,0.360606,0.835782,[31 15] ; [32 10],[32.93181818 13.06818182] ; [30.06818182 11.93181818],0
s5,1,0.378556,0.775385,[ 9 36] ; [11 28],[10.71428571 34.28571429] ; [ 9.28571429 29.71428571],0
a3,1,0.422444,0.643507,[28 18] ; [29 13],[29.79545455 16.20454545] ; [27.20454545 14.79545455],0
b4,1,0.440427,0.595169,[27 19] ; [28 14],[28.75 17.25] ; [26.25 15.75],0
n2,1,0.473521,0.513747,[10  5] ; [11  3],[10.86206897  4.13793103] ; [10.13793103  3.86206897],0
b2,1,0.488593,0.479624,[ 7 19] ; [11 20],[ 8.21052632 17.78947368] ; [ 9.78947368 21.21052632],0
b3,1,0.488593,0.479624,[ 7 19] ; [11 20],[ 8.21052632 17.78947368] ; [ 9.78947368 21.21052632],0
