Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,8.1e-05,15.541987,[8 5] ; [10 64],[ 2.68965517 10.31034483] ; [15.31034483 58.68965517],1
s6,1,0.001044,10.747937,[12  3] ; [28 53],[6.25 8.75] ; [33.75 47.25],0
s2,1,0.001104,10.644232,[9 6] ; [16 65],[ 3.90625 11.09375] ; [21.09375 59.90625],0
r4,1,0.001227,10.449495,[14  1] ; [39 42],[8.28125 6.71875] ; [44.71875 36.28125],0
p10,1,0.00263,9.047619,[6 9] ; [ 8 72],[ 2.21052632 12.78947368] ; [11.78947368 68.21052632],0
s5,1,0.004647,8.011852,[6 9] ; [ 9 72],[ 2.34375 12.65625] ; [12.65625 68.34375],0
r1,1,0.010348,6.574002,[14  1] ; [47 33],[9.63157895 5.36842105] ; [51.36842105 28.63157895],0
b1,1,0.02362,5.122323,[13  2] ; [45 36],[9.0625 5.9375] ; [48.9375 32.0625],0
r3,1,0.023701,5.1164,[14  1] ; [51 29],[10.26315789  4.73684211] ; [54.73684211 25.26315789],0
n6,1,0.025923,4.961146,[12  3] ; [39 41],[8.05263158 6.94736842] ; [42.94736842 37.05263158],0
v4,1,0.039454,4.241229,[14  1] ; [53 26],[10.69148936  4.30851064] ; [56.30851064 22.69148936],0
u2,1,0.069776,3.288272,[4 1] ; [13 22],[2.125 2.875] ; [14.875 20.125],0
v3,1,0.070257,3.277015,[7 7] ; [20 57],[4.15384615 9.84615385] ; [22.84615385 54.15384615],0
u3,1,0.082608,3.012829,[4 1] ; [14 22],[2.19512195 2.80487805] ; [15.80487805 20.19512195],0
b4,1,0.087738,2.915401,[11  4] ; [40 41],[7.96875 7.03125] ; [43.03125 37.96875],0
n2,1,0.127538,2.322222,[5 1] ; [19 19],[3.27272727 2.72727273] ; [20.72727273 17.27272727],0
v2,1,0.131285,2.277247,[8 7] ; [26 53],[5.42553191 9.57446809] ; [28.57446809 50.42553191],0
p2,1,0.140503,2.172437,[9 6] ; [32 49],[6.40625 8.59375] ; [34.59375 46.40625],0
r2,1,0.148842,2.084079,[14  1] ; [60 18],[11.93548387  3.06451613] ; [62.06451613 15.93548387],0
s3,1,0.179231,1.803986,[8 7] ; [28 52],[5.68421053 9.31578947] ; [30.31578947 49.68421053],0
d3,1,0.197226,1.662796,[6 9] ; [47 34],[8.28125 6.71875] ; [44.71875 36.28125],0
n4,1,0.217114,1.523342,[11  4] ; [45 35],[8.84210526 6.15789474] ; [47.15789474 32.84210526],0
b2,1,0.222143,1.490472,[2 9] ; [18 30],[3.72881356 7.27118644] ; [16.27118644 31.72881356],0
b3,1,0.222143,1.490472,[2 9] ; [18 30],[3.72881356 7.27118644] ; [16.27118644 31.72881356],0
n5,1,0.235487,1.407407,[10  5] ; [40 40],[7.89473684 7.10526316] ; [42.10526316 37.89473684],0
b5,1,0.267445,1.229804,[6 9] ; [45 36],[7.96875 7.03125] ; [43.03125 37.96875],0
d5,1,0.267704,1.228475,[12  3] ; [53 28],[10.15625  4.84375] ; [54.84375 26.15625],0
d2,1,0.328142,0.956217,[9 6] ; [37 43],[7.26315789 7.73684211] ; [38.73684211 41.26315789],0
u1,1,0.33898,0.914286,[ 3 12] ; [ 9 72],[ 1.875 13.125] ; [10.125 70.875],0
d1,1,0.365115,0.820222,[8 7] ; [33 48],[6.40625 8.59375] ; [34.59375 46.40625],0
v1,1,0.368575,0.808463,[6 9] ; [23 58],[ 4.53125 10.46875] ; [24.46875 56.53125],0
a3,1,0.45335,0.562263,[10  5] ; [45 35],[8.68421053 6.31578947] ; [46.31578947 33.68421053],0
n1,1,0.4847,0.48827,[3 3] ; [13 24],[2.23255814 3.76744186] ; [13.76744186 23.23255814],0
a5,1,0.525648,0.402797,[7 8] ; [45 36],[8.125 6.875] ; [43.875 37.125],0
n3,1,0.592219,0.286892,[3 2] ; [17 19],[2.43902439 2.56097561] ; [17.56097561 18.43902439],0
p5,1,0.605739,0.266426,[ 1 14] ; [ 3 77],[ 0.63157895 14.36842105] ; [ 3.36842105 76.63157895],0
a7,1,0.630052,0.23199,[8 7] ; [48 32],[8.84210526 6.15789474] ; [47.15789474 32.84210526],0
p3,1,0.655585,0.198932,[ 4 11] ; [26 54],[ 4.73684211 10.26315789] ; [25.26315789 54.73684211],0
s1,1,0.685816,0.163652,[ 1 14] ; [ 8 72],[ 1.42105263 13.57894737] ; [ 7.57894737 72.42105263],0
a1,1,0.68726,0.162067,[ 2 13] ; [ 8 73],[ 1.5625 13.4375] ; [ 8.4375 72.5625],0
d4,1,0.723547,0.12512,[11  4] ; [55 25],[10.42105263  4.57894737] ; [55.57894737 24.42105263],0
p7,1,0.73632,0.113388,[6 9] ; [28 51],[5.42553191 9.57446809] ; [28.57446809 50.42553191],0
p1,1,0.799297,0.064646,[ 1 14] ; [ 7 74],[ 1.25 13.75] ; [ 6.75 74.25],0
a2,1,0.800177,0.064069,[ 3 12] ; [14 67],[ 2.65625 12.34375] ; [14.34375 66.65625],0
a4,1,0.828801,0.046759,[ 5 10] ; [29 51],[5.36842105 9.63157895] ; [28.63157895 51.36842105],0
p6,1,0.853113,0.03428,[ 2 13] ; [12 67],[ 2.23404255 12.76595745] ; [11.76595745 67.23404255],0
s4,1,0.892587,0.018234,[ 3 12] ; [15 66],[ 2.8125 12.1875] ; [15.1875 65.8125],0
a6,1,0.915978,0.01113,[8 7] ; [42 39],[7.8125 7.1875] ; [42.1875 38.8125],0
a8,1,0.94799,0.004255,[ 1 13] ; [ 5 70],[ 0.94382022 13.05617978] ; [ 5.05617978 69.94382022],0
p8,1,0.973172,0.001131,[ 4 11] ; [21 59],[ 3.94736842 11.05263158] ; [21.05263158 58.94736842],0
p4,1,0.974579,0.001015,[ 5 10] ; [26 53],[ 4.94680851 10.05319149] ; [26.05319149 52.94680851],0
