Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,120.241951,[90 20] ; [ 52 200],[43.14917127 66.85082873] ; [ 98.85082873 153.14917127],1
s6,1,0.0,35.864283,[83 26] ; [105 146],[56.92222222 52.07777778] ; [131.07777778 119.92222222],1
s5,1,2.1e-05,18.051777,[40 66] ; [ 42 206],[24.55367232 81.44632768] ; [ 57.44632768 190.55367232],1
s8,1,0.000201,13.818957,[36 74] ; [ 40 217],[22.77929155 87.22070845] ; [ 53.22070845 203.77929155],1
p10,1,0.000785,11.277438,[106   3] ; [217  38],[96.72252747 12.27747253] ; [226.27747253  28.72252747],1
s4,1,0.001429,10.168226,[24 83] ; [ 25 229],[14.52354571 92.47645429] ; [ 34.47645429 219.52354571],0
p12,1,0.002265,9.321571,[13 97] ; [  9 246],[  6.63013699 103.36986301] ; [ 15.36986301 239.63013699],0
a7,1,0.014294,6.001504,[89 19] ; [180  77],[79.59452055 28.40547945] ; [189.40547945  67.59452055],0
d4,1,0.049554,3.856496,[95 15] ; [199  58],[88.11989101 21.88010899] ; [205.88010899  51.11989101],0
p4,1,0.075239,3.16486,[64 46] ; [122 132],[56.20879121 53.79120879] ; [129.79120879 124.20879121],0
p6,1,0.134152,2.243791,[37 72] ; [ 66 186],[31.09972299 77.90027701] ; [ 71.90027701 180.09972299],0
v4,1,0.143888,2.135878,[105   4] ; [236  20],[101.83287671   7.16712329] ; [239.16712329  16.83287671],0
a3,1,0.146516,2.108158,[61 49] ; [162  93],[67.20547945 42.79452055] ; [155.79452055  99.20547945],0
n4,1,0.151081,2.061306,[70 40] ; [183  74],[75.83106267 34.16893733] ; [177.16893733  79.83106267],0
n3,1,0.209492,1.574933,[17  8] ; [46 11],[19.20731707  5.79268293] ; [43.79268293 13.20731707],0
p1,1,0.219002,1.5109,[  5 104] ; [ 21 235],[  7.76438356 101.23561644] ; [ 18.23561644 237.76438356],0
u3,1,0.233649,1.418511,[27 20] ; [44 50],[23.66666667 23.33333333] ; [47.33333333 46.66666667],0
r4,1,0.29251,1.108032,[99 11] ; [221  36],[95.91280654 14.08719346] ; [224.08719346  32.91280654],0
p8,1,0.342309,0.901764,[51 59] ; [130 121],[55.15235457 54.84764543] ; [125.84764543 125.15235457],0
v3,1,0.353388,0.861255,[37 67] ; [ 76 173],[33.2917847 70.7082153] ; [ 79.7082153 169.2917847],0
d1,1,0.366314,0.816131,[63 47] ; [134 123],[59.04632153 50.95367847] ; [137.95367847 119.04632153],0
v1,1,0.367436,0.812316,[58 47] ; [125 125],[54.12676056 50.87323944] ; [128.87323944 121.12676056],0
r1,1,0.376806,0.781096,[76 33] ; [190  66],[79.43561644 29.56438356] ; [186.56438356  69.43561644],0
u1,1,0.388098,0.744893,[15 95] ; [ 27 230],[12.58855586 97.41144414] ; [ 29.41144414 227.58855586],0
a4,1,0.433441,0.613584,[42 68] ; [109 147],[45.38251366 64.61748634] ; [105.61748634 150.38251366],0
a8,1,0.460663,0.544283,[10 94] ; [ 29 205],[12. 92.] ; [ 27. 207.],0
s1,1,0.47958,0.499819,[  1 107] ; [  5 250],[  1.78512397 106.21487603] ; [  4.21487603 250.78512397],0
b2,1,0.483577,0.490786,[17 40] ; [48 89],[19.09793814 37.90206186] ; [45.90206186 91.09793814],0
b3,1,0.483577,0.490786,[17 40] ; [48 89],[19.09793814 37.90206186] ; [45.90206186 91.09793814],0
a1,1,0.501574,0.451604,[  6 104] ; [ 10 247],[  4.79564033 105.20435967] ; [ 11.20435967 245.79564033],0
a2,1,0.510525,0.432991,[22 88] ; [ 44 213],[19.78201635 90.21798365] ; [ 46.21798365 210.78201635],0
r3,1,0.520286,0.413326,[105   5] ; [240  16],[103.68852459   6.31147541] ; [241.31147541  14.68852459],0
r2,1,0.539412,0.376631,[102   7] ; [232  21],[100.56906077   8.43093923] ; [233.43093923  19.56906077],0
n5,1,0.542584,0.370772,[74 36] ; [179  75],[76.45604396 33.54395604] ; [176.54395604  77.45604396],0
d3,1,0.55529,0.347925,[75 34] ; [168  88],[72.56712329 36.43287671] ; [170.43287671  85.56712329],0
u2,1,0.596016,0.281046,[26 22] ; [47 48],[24.5034965 23.4965035] ; [48.4965035 46.5034965],0
a5,1,0.632775,0.228316,[76 34] ; [171  86],[74.03269755 35.96730245] ; [172.96730245  84.03269755],0
n1,1,0.632803,0.228278,[ 7 18] ; [19 38],[ 7.92682927 17.07317073] ; [18.07317073 38.92682927],0
p3,1,0.662087,0.190999,[48 62] ; [105 150],[46.10958904 63.89041096] ; [106.89041096 148.10958904],0
v2,1,0.672235,0.178998,[52 50] ; [131 114],[53.7925072 48.2074928] ; [129.2074928 115.7925072],0
p11,1,0.683097,0.16666,[91 19] ; [217  40],[92.31607629 17.68392371] ; [215.68392371  41.31607629],0
b4,1,0.703211,0.145153,[64 46] ; [155 102],[65.64032698 44.35967302] ; [153.35967302 103.64032698],0
d2,1,0.712795,0.135501,[42 68] ; [103 153],[43.57923497 66.42076503] ; [101.42076503 154.57923497],0
p5,1,0.78383,0.075258,[  9 100] ; [ 19 237],[  8.36164384 100.63835616] ; [ 19.63835616 236.36164384],0
b1,1,0.784392,0.074857,[38 72] ; [ 85 172],[36.86648501 73.13351499] ; [ 86.13351499 170.86648501],0
n6,1,0.825861,0.048406,[88 21] ; [210  47],[88.74863388 20.25136612] ; [209.25136612  47.74863388],0
u4,1,0.827213,0.047645,[  1 109] ; [  3 254],[  1.19891008 108.80108992] ; [  2.80108992 254.19891008],0
a6,1,0.830127,0.046027,[77 33] ; [177  80],[76.13079019 33.86920981] ; [177.86920981  79.13079019],0
b5,1,0.837778,0.041917,[71 39] ; [163  94],[70.13623978 39.86376022] ; [163.86376022  93.13623978],0
n2,1,0.857918,0.03205,[19  6] ; [43 15],[18.6746988  6.3253012] ; [43.3253012 14.6746988],0
p2,1,0.959112,0.002628,[92 17] ; [213  40],[91.83701657 17.16298343] ; [213.16298343  39.83701657],0
d5,1,0.984717,0.000367,[86 23] ; [203  54],[86.06830601 22.93169399] ; [202.93169399  54.06830601],0
p7,1,0.998956,2e-06,[61 45] ; [145 107],[60.99441341 45.00558659] ; [145.00558659 106.99441341],0
