Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,28.297093,[12 98] ; [10  5],[19.36 90.64] ; [ 2.64 12.36],1
v3,1,0.016671,5.730703,[23 87] ; [7 7],[26.61290323 83.38709677] ; [ 3.38709677 10.61290323],0
s2,1,0.023504,5.130902,[18 96] ; [6 9],[21.20930233 92.79069767] ; [ 2.79069767 12.20930233],0
v1,1,0.034979,4.446216,[30 82] ; [8 7],[33.51181102 78.48818898] ; [ 4.48818898 10.51181102],0
a3,1,0.037034,4.348846,[43 69] ; [10  5],[46.74015748 65.25984252] ; [6.25984252 8.74015748],0
p9,1,0.043153,4.089401,[67 45] ; [13  2],[70.5511811 41.4488189] ; [9.4488189 5.5511811],0
p10,1,0.049094,3.872133,[59 52] ; [12  3],[62.54761905 48.45238095] ; [8.45238095 6.54761905],0
u3,1,0.055097,3.679151,[26 45] ; [4 1],[28.02631579 42.97368421] ; [1.97368421 3.02631579],0
n6,1,0.080476,3.055263,[73 41] ; [13  2],[76. 38.] ; [10.  5.],0
a8,1,0.096035,2.770189,[ 9 98] ; [ 3 10],[10.7 96.3] ; [ 1.3 11.7],0
d4,1,0.102029,2.673538,[65 47] ; [12  3],[67.90551181 44.09448819] ; [9.09448819 5.90551181],0
u2,1,0.115109,2.482634,[31 40] ; [4 1],[32.69736842 38.30263158] ; [2.30263158 2.69736842],0
v2,1,0.117407,2.451575,[35 72] ; [8 7],[37.71311475 69.28688525] ; [5.28688525 9.71311475],0
p11,1,0.142424,2.151572,[69 45] ; [12  3],[71.58139535 42.41860465] ; [9.41860465 5.58139535],0
b2,1,0.164538,1.932012,[18 46] ; [5 5],[19.89189189 44.10810811] ; [3.10810811 6.89189189],0
b3,1,0.164538,1.932012,[18 46] ; [5 5],[19.89189189 44.10810811] ; [3.10810811 6.89189189],0
a7,1,0.166044,1.918306,[61 51] ; [11  4],[63.49606299 48.50393701] ; [8.50393701 6.49606299],0
p3,1,0.173365,1.853603,[27 87] ; [6 9],[29.1627907 84.8372093] ; [ 3.8372093 11.1627907],0
s4,1,0.174466,1.844144,[ 10 104] ; [ 3 12],[ 11.48837209 102.51162791] ; [ 1.51162791 13.48837209],0
s3,1,0.187481,1.737301,[27 85] ; [6 9],[29.1023622 82.8976378] ; [ 3.8976378 11.1023622],0
p4,1,0.20455,1.609583,[34 78] ; [7 8],[36.15748031 75.84251969] ; [ 4.84251969 10.15748031],0
v4,1,0.220376,1.501918,[90 22] ; [14  1],[91.71653543 20.28346457] ; [12.28346457  2.71653543],0
p6,1,0.223571,1.481304,[24 89] ; [5 9],[25.80314961 87.19685039] ; [ 3.19685039 10.80314961],0
n4,1,0.224545,1.475084,[57 57] ; [10  5],[59.20930233 54.79069767] ; [7.79069767 7.20930233],0
n1,1,0.245602,1.348148,[13 26] ; [2 1],[13.92857143 25.07142857] ; [1.07142857 1.92857143],0
p2,1,0.260667,1.26521,[74 39] ; [12  3],[75.921875 37.078125] ; [10.078125  4.921875],0
p8,1,0.286081,1.137974,[37 76] ; [7 8],[38.84375 74.15625] ; [5.15625 9.84375],0
d3,1,0.291994,1.110404,[51 61] ; [9 6],[52.91338583 59.08661417] ; [7.08661417 7.91338583],0
a4,1,0.292365,1.108697,[18 96] ; [ 4 11],[19.44186047 94.55813953] ; [ 2.55813953 12.44186047],0
b4,1,0.372828,0.794218,[67 47] ; [7 8],[65.39534884 48.60465116] ; [8.60465116 6.39534884],0
d1,1,0.380919,0.767733,[33 81] ; [6 9],[34.46511628 79.53488372] ; [ 4.53488372 10.46511628],0
p1,1,0.39645,0.719068,[  8 105] ; [ 2 13],[  8.828125 104.171875] ; [ 1.171875 13.828125],0
a1,1,0.396693,0.718326,[  3 111] ; [ 1 14],[  3.53488372 110.46511628] ; [ 0.46511628 14.53488372],0
u1,1,0.396693,0.718326,[  3 111] ; [ 1 14],[  3.53488372 110.46511628] ; [ 0.46511628 14.53488372],0
r4,1,0.40305,0.699207,[71 43] ; [11  4],[72.46511628 41.53488372] ; [9.53488372 5.46511628],0
d2,1,0.427612,0.629302,[27 86] ; [ 5 10],[28.25 84.75] ; [ 3.75 11.25],0
p7,1,0.429046,0.625405,[51 60] ; [8 6],[52.392 58.608] ; [6.608 7.392],0
d5,1,0.506583,0.441119,[63 50] ; [7 8],[61.796875 51.203125] ; [8.203125 6.796875],0
r3,1,0.519294,0.415295,[90 23] ; [13  2],[90.9296875 22.0703125] ; [12.0703125  2.9296875],0
a6,1,0.547635,0.361571,[55 59] ; [6 9],[53.90697674 60.09302326] ; [7.09302326 7.90697674],0
b5,1,0.646329,0.21056,[69 45] ; [10  5],[69.81395349 44.18604651] ; [9.18604651 5.81395349],0
b1,1,0.692978,0.155881,[44 70] ; [ 5 10],[43.30232558 70.69767442] ; [5.69767442 9.30232558],0
s1,1,0.693355,0.155477,[  5 109] ; [ 1 14],[  5.30232558 108.69767442] ; [ 0.69767442 14.30232558],0
s5,1,0.735463,0.114154,[ 12 100] ; [ 1 12],[ 11.648 100.352] ; [ 1.352 11.648],0
r1,1,0.858018,0.032004,[58 56] ; [8 7],[58.3255814 55.6744186] ; [7.6744186 7.3255814],0
n5,1,0.883874,0.021334,[58 55] ; [8 7],[58.265625 54.734375] ; [7.734375 7.265625],0
r2,1,0.894976,0.017427,[92 21] ; [12  3],[91.8125 21.1875] ; [12.1875  2.8125],0
n3,1,0.926243,0.00857,[27 12] ; [2 1],[26.92857143 12.07142857] ; [2.07142857 0.92857143],0
