Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6e-06,20.338208,[74 73] ; [ 4 35],[61.64516129 85.35483871] ; [16.35483871 22.64516129],1
p3,1,0.000711,11.459602,[91 58] ; [12 27],[81.63297872 67.36702128] ; [21.36702128 17.63297872],1
p4,1,0.001742,9.803141,[105  44] ; [17 22],[96.69148936 52.30851064] ; [25.30851064 13.69148936],0
s7,1,0.002522,9.124683,[76 65] ; [10 28],[67.74301676 73.25698324] ; [18.25698324 19.74301676],0
s3,1,0.003262,8.654971,[84 64] ; [11 26],[76. 72.] ; [19. 18.],0
b1,1,0.003541,8.505435,[69 80] ; [ 8 31],[61.02659574 87.97340426] ; [15.97340426 23.02659574],0
s5,1,0.009105,6.802123,[53 92] ; [ 5 31],[46.4640884 98.5359116] ; [11.5359116 24.4640884],0
s2,1,0.014673,5.955314,[72 77] ; [10 28],[65.3368984 83.6631016] ; [16.6631016 21.3368984],0
s8,1,0.015251,5.887187,[62 87] ; [ 8 31],[55.4787234 93.5212766] ; [14.5212766 24.4787234],0
r3,1,0.01919,5.484143,[142   7] ; [33  6],[138.69680851  10.30319149] ; [36.30319149  2.69680851],0
s6,1,0.033822,4.50369,[104  40] ; [20 17],[98.6519337 45.3480663] ; [25.3480663 11.6519337],0
d5,1,0.038378,4.288168,[85 64] ; [15 24],[79.25531915 69.74468085] ; [20.74468085 18.25531915],0
p2,1,0.043356,4.08148,[133  16] ; [30  9],[129.18617021  19.81382979] ; [33.81382979  5.18617021],0
n3,1,0.043915,4.059829,[24  8] ; [2 4],[21.89473684 10.10526316] ; [4.10526316 1.89473684],0
b4,1,0.049658,3.852962,[77 72] ; [27 12],[82.42553191 66.57446809] ; [21.57446809 17.42553191],0
p11,1,0.063609,3.440688,[129  20] ; [29 10],[125.22340426  23.77659574] ; [32.77659574  6.22340426],0
a3,1,0.086606,2.93636,[82 67] ; [15 23],[77.28877005 71.71122995] ; [19.71122995 18.28877005],0
s4,1,0.110217,2.551109,[ 27 121] ; [ 3 36],[ 23.74331551 124.25668449] ; [ 6.25668449 32.74331551],0
n5,1,0.116093,2.469259,[114  35] ; [25 14],[110.16489362  38.83510638] ; [28.83510638 10.16489362],0
a7,1,0.119724,2.420934,[103  45] ; [22 17],[98.93048128 49.06951872] ; [26.06951872 12.93048128],0
p9,1,0.20758,1.588227,[125  23] ; [36  3],[127.42245989  20.57754011] ; [33.57754011  5.42245989],0
r1,1,0.229586,1.443425,[110  39] ; [25 14],[106.99468085  42.00531915] ; [28.00531915 10.99468085],0
s1,1,0.232297,1.426742,[  5 144] ; [ 3 36],[  6.34042553 142.65957447] ; [ 1.65957447 37.34042553],0
p5,1,0.238695,1.388283,[ 27 122] ; [ 4 35],[ 24.56914894 124.43085106] ; [ 6.43085106 32.56914894],0
v2,1,0.250001,1.3233,[77 66] ; [16 21],[73.88333333 69.11666667] ; [19.11666667 17.88333333],0
n4,1,0.305751,1.04894,[108  41] ; [25 14],[105.40957447  43.59042553] ; [27.59042553 11.40957447],0
v3,1,0.345124,0.891305,[55 93] ; [11 27],[52.51612903 95.48387097] ; [13.48387097 24.51612903],0
a8,1,0.356778,0.849204,[ 20 118] ; [ 3 32],[ 18.34682081 119.65317919] ; [ 4.65317919 30.34682081],0
v4,1,0.361732,0.831873,[139   9] ; [35  4],[137.71122995  10.28877005] ; [36.28877005  2.71122995],0
d2,1,0.381544,0.765722,[ 19 130] ; [ 3 36],[ 17.43617021 131.56382979] ; [ 4.56382979 34.43617021],0
a2,1,0.389138,0.741634,[  9 140] ; [ 1 38],[  7.92553191 141.07446809] ; [ 2.07446809 36.92553191],0
p12,1,0.416215,0.660979,[ 14 135] ; [ 2 36],[ 12.7486631 136.2513369] ; [ 3.2513369 34.7486631],0
n2,1,0.421357,0.646528,[26  6] ; [4 2],[25.26315789  6.73684211] ; [4.73684211 1.26315789],0
u3,1,0.483991,0.489857,[33 33] ; [10 14],[31.53333333 34.46666667] ; [11.46666667 12.53333333],0
u2,1,0.522936,0.408099,[34 33] ; [14 10],[35.34065934 31.65934066] ; [12.65934066 11.34065934],0
b2,1,0.532907,0.388846,[28 55] ; [ 5 14],[26.85294118 56.14705882] ; [ 6.14705882 12.85294118],0
