Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,22.062057,[262  62] ; [21 22],[249.84196185  74.15803815] ; [33.15803815  9.84196185],1
p9,1,4e-06,21.425449,[296  28] ; [29 14],[286.92098093  37.07901907] ; [38.07901907  4.92098093],1
p8,1,1.9e-05,18.326198,[233  91] ; [17 26],[220.70844687 103.29155313] ; [29.29155313 13.70844687],1
p4,1,0.000104,15.063368,[277  50] ; [26 17],[267.78648649  59.21351351] ; [35.21351351  7.78648649],1
p10,1,0.000369,12.683602,[290  35] ; [30 13],[282.60869565  42.39130435] ; [37.39130435  5.60869565],1
d3,1,0.002181,9.390538,[241  86] ; [22 21],[232.43513514  94.56486486] ; [30.56486486 12.43513514],0
d5,1,0.002677,9.015195,[284  42] ; [30 13],[277.40921409  48.59078591] ; [36.59078591  6.40921409],0
d4,1,0.002677,9.015195,[284  42] ; [30 13],[277.40921409  48.59078591] ; [36.59078591  6.40921409],0
a3,1,0.003164,8.710214,[261  64] ; [26 17],[253.46467391  71.53532609] ; [33.53532609  9.46467391],0
d1,1,0.029559,4.73478,[222 105] ; [22 21],[215.64324324 111.35675676] ; [28.35675676 14.64324324],0
a2,1,0.036752,4.361845,[104 223] ; [ 7 36],[ 98.1 228.9] ; [12.9 30.1],0
v1,1,0.039318,4.247078,[201 118] ; [19 22],[194.94444444 124.05555556] ; [25.05555556 15.94444444],0
p1,1,0.04255,4.11318,[ 42 284] ; [ 1 42],[ 37.98915989 288.01084011] ; [ 5.01084011 37.98915989],0
p6,1,0.048022,3.909225,[164 158] ; [15 28],[157.91232877 164.08767123] ; [21.08767123 21.91232877],0
p11,1,0.058068,3.591734,[274  53] ; [31 12],[269.55405405  57.44594595] ; [35.44594595  7.55405405],0
s7,1,0.095184,2.784439,[184 122] ; [18 21],[179.16521739 126.83478261] ; [22.83478261 16.16521739],0
a5,1,0.097315,2.749004,[270  57] ; [31 12],[266.01891892  60.98108108] ; [34.98108108  8.01891892],0
d2,1,0.098474,2.730079,[188 139] ; [19 24],[182.94324324 144.05675676] ; [24.05675676 18.94324324],0
s1,1,0.102263,2.669893,[  8 317] ; [ 3 40],[  9.71467391 315.28532609] ; [ 1.28532609 41.71467391],0
n1,1,0.109606,2.559888,[17 28] ; [6 3],[19.16666667 25.83333333] ; [3.83333333 5.16666667],0
s5,1,0.161488,1.960239,[136 179] ; [13 28],[131.83988764 183.16011236] ; [17.16011236 23.83988764],0
b1,1,0.172433,1.861666,[139 188] ; [23 20],[143.17297297 183.82702703] ; [18.82702703 24.17297297],0
s8,1,0.203329,1.618299,[176 147] ; [19 24],[172.09016393 150.90983607] ; [22.90983607 20.09016393],0
r2,1,0.235889,1.404998,[319   6] ; [41  2],[317.93478261   7.06521739] ; [42.06521739  0.93478261],0
s2,1,0.238278,1.390752,[181 142] ; [20 23],[177.3852459 145.6147541] ; [23.6147541 19.3852459],0
p5,1,0.243538,1.359998,[ 63 263] ; [ 5 37],[ 60.23913043 265.76086957] ; [ 7.76086957 34.23913043],0
s3,1,0.258139,1.27871,[195 129] ; [22 21],[191.57493188 132.42506812] ; [25.42506812 17.57493188],0
n2,1,0.266575,1.234286,[32 13] ; [8 1],[33.33333333 11.66666667] ; [6.66666667 2.33333333],0
n5,1,0.289959,1.119813,[264  61] ; [32 11],[261.41304348  63.58695652] ; [34.58695652  8.41304348],0
v4,1,0.317082,1.000943,[319   7] ; [41  2],[318.04878049   7.95121951] ; [41.95121951  1.04878049],0
a7,1,0.320294,0.987747,[243  83] ; [29 14],[240.30352304  85.69647696] ; [31.69647696 11.30352304],0
v2,1,0.353906,0.859403,[205 113] ; [24 18],[202.28333333 115.71666667] ; [26.71666667 15.28333333],0
a6,1,0.365437,0.819123,[234  92] ; [28 15],[231.46883469  94.53116531] ; [30.53116531 12.46883469],0
s6,1,0.369954,0.803817,[235  83] ; [29 14],[232.55401662  85.44598338] ; [31.44598338 11.55401662],0
u1,1,0.424783,0.637044,[ 87 240] ; [ 9 34],[ 84.84324324 242.15675676] ; [11.15675676 31.84324324],0
n6,1,0.463419,0.537625,[285  40] ; [36  7],[283.49184783  41.50815217] ; [37.50815217  5.49184783],0
n4,1,0.468632,0.525199,[279  47] ; [35  8],[277.40921409  48.59078591] ; [36.59078591  6.40921409],0
b4,1,0.513677,0.42657,[192 135] ; [23 20],[190.01351351 136.98648649] ; [24.98648649 18.01351351],0
v3,1,0.547825,0.361228,[154 161] ; [18 23],[152.19101124 162.80898876] ; [19.80898876 21.19101124],0
a4,1,0.561025,0.337933,[167 159] ; [20 23],[165.20867209 160.79132791] ; [21.79132791 21.20867209],0
p12,1,0.568122,0.325834,[ 40 285] ; [ 4 39],[ 38.85869565 286.14130435] ; [ 5.14130435 37.85869565],0
u4,1,0.579318,0.307339,[ 10 317] ; [ 2 41],[ 10.60540541 316.39459459] ; [ 1.39459459 41.60540541],0
a1,1,0.627881,0.234946,[ 17 310] ; [ 3 40],[ 17.67567568 309.32432432] ; [ 2.32432432 40.67567568],0
r3,1,0.672441,0.17876,[314  11] ; [41  2],[313.51902174  11.48097826] ; [41.48097826  1.51902174],0
u3,1,0.785013,0.074415,[45 21] ; [11  6],[44.53012048 21.46987952] ; [11.46987952  5.53012048],0
a8,1,0.836035,0.042836,[ 41 251] ; [ 5 34],[ 40.58006042 251.41993958] ; [ 5.41993958 33.58006042],0
s4,1,0.837134,0.042255,[ 58 265] ; [ 7 35],[ 57.52054795 265.47945205] ; [ 7.47945205 34.52054795],0
u2,1,0.929823,0.007756,[39 26] ; [10  7],[38.84146341 26.15853659] ; [10.15853659  6.84146341],0
b5,1,0.954898,0.003199,[184 143] ; [24 19],[183.82702703 143.17297297] ; [24.17297297 18.82702703],0
r4,1,0.961413,0.002341,[319   8] ; [42  1],[319.04594595   7.95405405] ; [41.95405405  1.04594595],0
b2,1,0.973295,0.001121,[ 88 123] ; [12 17],[ 87.91666667 123.08333333] ; [12.08333333 16.91666667],0
b3,1,0.973295,0.001121,[ 88 123] ; [12 17],[ 87.91666667 123.08333333] ; [12.08333333 16.91666667],0
