Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.0779,[37 28] ; [ 38 126],[21.28820961 43.71179039] ; [ 53.71179039 110.28820961],1
p6,1,0.000909,11.004279,[41 27] ; [ 64 110],[29.50413223 38.49586777] ; [75.49586777 98.50413223],1
s6,1,0.009797,6.671359,[44 24] ; [79 92],[34.9958159 33.0041841] ; [88.0041841 82.9958159],0
b3,1,0.011024,6.461449,[25 24] ; [32 75],[17.90384615 31.09615385] ; [39.09615385 67.90384615],0
b2,1,0.011024,6.461449,[25 24] ; [32 75],[17.90384615 31.09615385] ; [39.09615385 67.90384615],0
p9,1,0.013513,6.100726,[63  5] ; [139  36],[56.52674897 11.47325103] ; [145.47325103  29.52674897],0
u2,1,0.035109,4.439848,[17  6] ; [31 33],[12.68965517 10.31034483] ; [35.31034483 28.68965517],0
d2,1,0.042084,4.131835,[39 29] ; [ 75 100],[31.90123457 36.09876543] ; [82.09876543 92.90123457],0
a8,1,0.054755,3.689542,[11 48] ; [ 14 139],[ 6.95754717 52.04245283] ; [ 18.04245283 134.95754717],0
v3,1,0.094297,2.799444,[30 36] ; [ 57 112],[24.43404255 41.56595745] ; [ 62.56595745 106.43404255],0
n1,1,0.106529,2.604965,[ 3 12] ; [15 19],[5.51020408 9.48979592] ; [12.48979592 21.51020408],0
r1,1,0.11277,2.51497,[58 10] ; [133  42],[53.44855967 14.55144033] ; [137.55144033  37.44855967],0
p5,1,0.118508,2.436931,[14 54] ; [ 22 152],[10.11570248 57.88429752] ; [ 25.88429752 148.11570248],0
n3,1,0.120281,2.413664,[8 7] ; [25  8],[10.3125  4.6875] ; [22.6875 10.3125],0
n2,1,0.126598,2.333737,[7 8] ; [23 10],[9.375 5.625] ; [20.625 12.375],0
s5,1,0.128204,2.314112,[19 48] ; [ 33 138],[14.63865546 52.36134454] ; [ 37.36134454 133.63865546],0
p8,1,0.130299,2.288936,[49 18] ; [108  64],[44.0125523 22.9874477] ; [112.9874477  59.0125523],0
p12,1,0.133601,2.250152,[ 6 62] ; [  7 168],[ 3.63786008 64.36213992] ; [  9.36213992 165.63786008],0
u1,1,0.185375,1.753995,[14 54] ; [ 24 151],[10.63374486 57.36625514] ; [ 27.36625514 147.63374486],0
p7,1,0.187263,1.739022,[53 14] ; [123  51],[48.92946058 18.07053942] ; [127.07053942  46.92946058],0
b1,1,0.206588,1.595176,[22 46] ; [ 72 103],[26.30452675 41.69547325] ; [ 67.69547325 107.30452675],0
d1,1,0.213271,1.549084,[41 27] ; [90 85],[36.65843621 31.34156379] ; [94.34156379 80.65843621],0
r4,1,0.245229,1.350284,[63  5] ; [153  22],[60.44444444  7.55555556] ; [155.55555556  19.44444444],0
a6,1,0.288938,1.124565,[43 25] ; [123  52],[46.4526749 21.5473251] ; [119.5473251  55.4526749],0
v1,1,0.303796,1.057457,[40 27] ; [90 82],[36.44351464 30.55648536] ; [93.55648536 78.44351464],0
p10,1,0.321868,0.981341,[58 10] ; [138  35],[55.30290456 12.69709544] ; [140.69709544  32.30290456],0
b4,1,0.34403,0.895356,[43 25] ; [99 76],[39.73662551 28.26337449] ; [102.26337449  72.73662551],0
a5,1,0.345213,0.890974,[53 15] ; [126  49],[50.09053498 17.90946502] ; [128.90946502  46.09053498],0
p11,1,0.34532,0.89058,[59  9] ; [143  32],[56.52674897 11.47325103] ; [145.47325103  29.52674897],0
a4,1,0.351779,0.86703,[26 42] ; [78 96],[29.2231405 38.7768595] ; [74.7768595 99.2231405],0
s3,1,0.385732,0.752353,[17 50] ; [ 35 138],[14.51666667 52.48333333] ; [ 37.48333333 135.51666667],0
v4,1,0.394637,0.724607,[65  3] ; [162  13],[63.52263374  4.47736626] ; [163.47736626  11.52263374],0
n4,1,0.414226,0.666639,[55 13] ; [133  42],[52.6090535 15.3909465] ; [135.3909465  39.6090535],0
n5,1,0.441468,0.592463,[54 14] ; [130  44],[51.70247934 16.29752066] ; [132.29752066  41.70247934],0
d4,1,0.454639,0.55906,[54 14] ; [131  44],[51.76954733 16.23045267] ; [133.23045267  41.76954733],0
a7,1,0.471637,0.518139,[47 21] ; [129  46],[49.25102881 18.74897119] ; [126.74897119  48.25102881],0
r3,1,0.477044,0.505614,[65  3] ; [163  12],[63.80246914  4.19753086] ; [164.19753086  10.80246914],0
p3,1,0.563264,0.334085,[42 26] ; [115  60],[43.93415638 24.06584362] ; [113.06584362  61.93415638],0
b5,1,0.609175,0.261378,[36 32] ; [99 76],[37.77777778 30.22222222] ; [97.22222222 77.77777778],0
a3,1,0.666437,0.185799,[45 23] ; [110  64],[43.55371901 24.44628099] ; [111.44628099  62.55371901],0
d5,1,0.717265,0.131128,[55 13] ; [145  30],[55.96707819 12.03292181] ; [144.03292181  30.96707819],0
p1,1,0.721922,0.126659,[ 6 62] ; [ 18 156],[ 6.74380165 61.25619835] ; [ 17.25619835 156.74380165],0
p2,1,0.779047,0.078715,[61  7] ; [153  20],[60.38174274  7.61825726] ; [153.61825726  19.38174274],0
s4,1,0.779047,0.078715,[ 7 61] ; [ 20 153],[ 7.61825726 60.38174274] ; [ 19.38174274 153.61825726],0
a2,1,0.82743,0.047523,[12 56] ; [ 33 142],[12.59259259 55.40740741] ; [ 32.40740741 142.59259259],0
s1,1,0.842791,0.039333,[ 2 66] ; [  6 168],[ 2.24793388 65.75206612] ; [  5.75206612 168.24793388],0
a1,1,0.848407,0.036539,[ 2 66] ; [  6 169],[ 2.23868313 65.76131687] ; [  5.76131687 169.23868313],0
d3,1,0.889423,0.019331,[46 22] ; [120  55],[46.4526749 21.5473251] ; [119.5473251  55.4526749],0
n6,1,0.926477,0.008515,[57 11] ; [145  29],[56.76033058 11.23966942] ; [145.23966942  28.76033058],0
v2,1,0.942572,0.005189,[38 28] ; [97 73],[37.75423729 28.24576271] ; [97.24576271 72.75423729],0
r2,1,0.944177,0.004903,[61  6] ; [158  15],[61.1375  5.8625] ; [157.8625  15.1375],0
u3,1,0.98202,0.000508,[13 10] ; [36 28],[12.95402299 10.04597701] ; [36.04597701 27.95402299],0
