Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.5e-05,17.105194,[18 16] ; [73 10],[26.44444444  7.55555556] ; [64.55555556 18.44444444],1
p9,1,4.2e-05,16.798941,[18 16] ; [72 10],[26.37931034  7.62068966] ; [63.62068966 18.37931034],1
p2,1,0.000193,13.893816,[17 18] ; [69 15],[25.29411765  9.70588235] ; [60.70588235 23.29411765],1
r3,1,0.000815,11.206676,[29  6] ; [82  1],[32.92372881  2.07627119] ; [78.07627119  4.92372881],1
s7,1,0.002727,8.9815,[ 8 24] ; [44 34],[15.12727273 16.87272727] ; [36.87272727 41.12727273],0
n6,1,0.005364,7.752605,[24 11] ; [76  9],[29.16666667  5.83333333] ; [70.83333333 14.16666667],0
p7,1,0.009707,6.687945,[14 20] ; [55 27],[20.22413793 13.77586207] ; [48.77586207 33.22413793],0
p3,1,0.01745,5.650522,[10 25] ; [44 40],[15.88235294 19.11764706] ; [38.11764706 45.88235294],0
a3,1,0.023829,5.107005,[22 13] ; [69 15],[26.76470588  8.23529412] ; [64.23529412 19.76470588],0
n1,1,0.030191,4.698355,[ 1 11] ; [7 8],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
a4,1,0.031766,4.611079,[10 25] ; [42 42],[15.29411765 19.70588235] ; [36.70588235 47.29411765],0
n5,1,0.037352,4.334267,[21 14] ; [66 18],[25.58823529  9.41176471] ; [61.41176471 22.58823529],0
s3,1,0.039255,4.24979,[13 21] ; [48 33],[18.03478261 15.96521739] ; [42.96521739 38.03478261],0
n4,1,0.048145,3.904905,[24 11] ; [71 13],[27.94117647  7.05882353] ; [67.05882353 16.94117647],0
v2,1,0.050401,3.828077,[20 14] ; [63 19],[24.32758621  9.67241379] ; [58.67241379 23.32758621],0
d1,1,0.066235,3.373934,[15 20] ; [52 33],[19.54166667 15.45833333] ; [47.45833333 37.54166667],0
b3,1,0.068908,3.308844,[ 4 16] ; [24 32],[ 7.36842105 12.63157895] ; [20.63157895 35.36842105],0
b2,1,0.068908,3.308844,[ 4 16] ; [24 32],[ 7.36842105 12.63157895] ; [20.63157895 35.36842105],0
b5,1,0.081075,3.043217,[23 12] ; [41 44],[18.66666667 16.33333333] ; [45.33333333 39.66666667],0
v4,1,0.096956,2.754911,[31  4] ; [81  3],[32.94117647  2.05882353] ; [79.05882353  4.94117647],0
a7,1,0.111714,2.529811,[22 13] ; [64 19],[25.50847458  9.49152542] ; [60.49152542 22.50847458],0
s8,1,0.130909,2.281696,[11 24] ; [39 45],[14.70588235 20.29411765] ; [35.29411765 48.70588235],0
s4,1,0.136197,2.220408,[ 9 26] ; [12 72],[ 6.17647059 28.82352941] ; [14.82352941 69.17647059],0
a5,1,0.138766,2.19159,[22 13] ; [64 20],[25.29411765  9.70588235] ; [60.70588235 23.29411765],0
p1,1,0.159231,1.981514,[ 1 34] ; [ 9 75],[ 2.94117647 32.05882353] ; [ 7.05882353 76.94117647],0
a2,1,0.202134,1.626891,[ 6 29] ; [24 61],[ 8.75 26.25] ; [21.25 63.75],0
s5,1,0.210791,1.565989,[ 8 27] ; [28 53],[10.86206897 24.13793103] ; [25.13793103 55.86206897],0
n3,1,0.227107,1.458891,[9 4] ; [14  2],[10.31034483  2.68965517] ; [12.68965517  3.31034483],0
s6,1,0.236898,1.398958,[19 16] ; [54 28],[21.83760684 13.16239316] ; [51.16239316 30.83760684],0
p6,1,0.24127,1.373159,[ 7 27] ; [26 57],[ 9.58974359 24.41025641] ; [23.41025641 59.58974359],0
r1,1,0.242278,1.367288,[26  9] ; [71 14],[28.29166667  6.70833333] ; [68.70833333 16.29166667],0
p5,1,0.30685,1.044185,[ 2 33] ; [10 74],[ 3.52941176 31.47058824] ; [ 8.47058824 75.52941176],0
u1,1,0.323155,0.976134,[ 4 31] ; [16 69],[ 5.83333333 29.16666667] ; [14.16666667 70.83333333],0
a8,1,0.342035,0.902787,[ 2 28] ; [10 66],[ 3.39622642 26.60377358] ; [ 8.60377358 67.39622642],0
b1,1,0.387267,0.747507,[14 21] ; [27 58],[11.95833333 23.04166667] ; [29.04166667 55.95833333],0
r4,1,0.430841,0.620556,[29  6] ; [75 10],[30.33333333  4.66666667] ; [73.66666667 11.33333333],0
a6,1,0.431334,0.619228,[22 13] ; [59 25],[23.82352941 11.17647059] ; [57.17647059 26.82352941],0
p8,1,0.454851,0.558536,[14 20] ; [40 42],[15.82758621 18.17241379] ; [38.17241379 43.82758621],0
d5,1,0.469515,0.523116,[25 10] ; [66 19],[26.54166667  8.45833333] ; [64.45833333 20.54166667],0
p4,1,0.509992,0.434083,[14 18] ; [42 41],[15.5826087 16.4173913] ; [40.4173913 42.5826087],0
d3,1,0.512125,0.429722,[22 13] ; [58 26],[23.52941176 11.47058824] ; [56.47058824 27.52941176],0
n2,1,0.512691,0.428571,[11  3] ; [14  2],[11.66666667  2.33333333] ; [13.33333333  2.66666667],0
s1,1,0.531493,0.391536,[ 1 34] ; [ 1 81],[ 0.5982906 34.4017094] ; [ 1.4017094 80.5982906],0
