Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,56.747593,[75 16] ; [ 9 42],[53.83098592 37.16901408] ; [30.16901408 20.83098592],1
r3,1,1e-06,23.253974,[85  6] ; [31 20],[74.33802817 16.66197183] ; [41.66197183  9.33802817],1
p11,1,5e-06,20.855865,[76 15] ; [24 27],[64.08450704 26.91549296] ; [35.91549296 15.08450704],1
r4,1,1.6e-05,18.560119,[77 14] ; [26 25],[66.00704225 24.99295775] ; [36.99295775 14.00704225],1
p2,1,2.5e-05,17.759712,[69 21] ; [21 30],[57.44680851 32.55319149] ; [32.55319149 18.44680851],1
v4,1,5.3e-05,16.348364,[84  7] ; [32 17],[75.4 15.6] ; [40.6  8.4],1
s6,1,0.000144,14.451323,[53 36] ; [13 37],[42.25899281 46.74100719] ; [23.74100719 26.25899281],1
n6,1,0.000689,11.518868,[74 15] ; [29 22],[65.47857143 23.52142857] ; [37.52142857 13.47857143],1
s8,1,0.005581,7.680951,[35 56] ; [ 8 42],[27.75177305 63.24822695] ; [15.24822695 34.75177305],0
n2,1,0.008021,7.028708,[27  5] ; [13 12],[22.45614035  9.54385965] ; [17.54385965  7.45614035],0
a3,1,0.013457,6.10802,[63 27] ; [25 26],[56.17021277 33.82978723] ; [31.82978723 19.17021277],0
p8,1,0.015509,5.857739,[29 61] ; [ 7 44],[22.9787234 67.0212766] ; [13.0212766 37.9787234],0
v2,1,0.025583,4.984007,[40 47] ; [13 36],[33.90441176 53.09558824] ; [19.09558824 29.90441176],0
a5,1,0.035102,4.440203,[61 30] ; [25 26],[55.11267606 35.88732394] ; [30.88732394 20.11267606],0
n3,1,0.038787,4.270186,[24  8] ; [11 12],[20.36363636 11.63636364] ; [14.63636364  8.36363636],0
v1,1,0.048278,3.900274,[45 44] ; [17 34],[39.41428571 49.58571429] ; [22.58571429 28.41428571],0
r2,1,0.056387,3.640579,[83  8] ; [40 10],[79.38297872 11.61702128] ; [43.61702128  6.38297872],0
s7,1,0.063873,3.433846,[37 52] ; [12 35],[32.06617647 56.93382353] ; [16.93382353 30.06617647],0
d4,1,0.064371,3.421037,[65 26] ; [28 22],[60.0212766 30.9787234] ; [32.9787234 17.0212766],0
b2,1,0.069593,3.292585,[28 28] ; [10 23],[23.91011236 32.08988764] ; [14.08988764 18.91011236],0
b3,1,0.069593,3.292585,[28 28] ; [10 23],[23.91011236 32.08988764] ; [14.08988764 18.91011236],0
p6,1,0.073362,3.206137,[20 69] ; [ 5 44],[16.12318841 72.87681159] ; [ 8.87681159 40.12318841],0
n5,1,0.075738,3.154069,[66 24] ; [30 21],[61.27659574 28.72340426] ; [34.72340426 16.27659574],0
p7,1,0.104943,2.628764,[44 45] ; [18 33],[39.41428571 49.58571429] ; [22.58571429 28.41428571],0
s1,1,0.110525,2.546699,[ 3 87] ; [ 5 46],[ 5.10638298 84.89361702] ; [ 2.89361702 48.10638298],0
s3,1,0.130413,2.287582,[48 42] ; [20 30],[43.71428571 46.28571429] ; [24.28571429 25.71428571],0
s5,1,0.135199,2.23177,[28 60] ; [10 40],[24.23188406 63.76811594] ; [13.76811594 36.23188406],0
v3,1,0.172463,1.861407,[28 60] ; [10 38],[24.58823529 63.41176471] ; [13.41176471 34.58823529],0
u2,1,0.182071,1.780641,[ 9 19] ; [13 13],[11.40740741 16.59259259] ; [10.59259259 15.40740741],0
a8,1,0.186337,1.746347,[ 9 76] ; [ 2 47],[ 6.97761194 78.02238806] ; [ 4.02238806 44.97761194],0
