Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,3e-06,21.595192,[25  5] ; [ 2 14],[17.60869565 12.39130435] ; [9.39130435 6.60869565],1
d3,1,0.0004,12.530254,[22  8] ; [ 3 13],[16.30434783 13.69565217] ; [8.69565217 7.30434783],1
d2,1,0.020488,5.369861,[14 16] ; [ 2 14],[10.43478261 19.56521739] ; [ 5.56521739 10.43478261],0
p1,1,0.024537,5.05626,[ 1 29] ; [ 4 12],[ 3.26086957 26.73913043] ; [ 1.73913043 14.26086957],0
a3,1,0.033895,4.5,[20 10] ; [ 5 10],[16.66666667 13.33333333] ; [8.33333333 6.66666667],0
p9,1,0.053532,3.727232,[18 12] ; [14  2],[20.86956522  9.13043478] ; [11.13043478  4.86956522],0
p12,1,0.077161,3.12371,[ 1 29] ; [ 3 13],[ 2.60869565 27.39130435] ; [ 1.39130435 14.60869565],0
s4,1,0.078667,3.092222,[ 2 28] ; [ 4 12],[ 3.91304348 26.08695652] ; [ 2.08695652 13.91304348],0
s1,1,0.078667,3.092222,[ 2 28] ; [ 4 12],[ 3.91304348 26.08695652] ; [ 2.08695652 13.91304348],0
p4,1,0.113791,2.50077,[18 11] ; [ 6 10],[15.46666667 13.53333333] ; [8.53333333 7.46666667],0
a4,1,0.123207,2.376078,[13 17] ; [ 3 12],[10.66666667 19.33333333] ; [5.33333333 9.66666667],0
u2,1,0.130134,2.290909,[6 4] ; [3 8],[4.28571429 5.71428571] ; [4.71428571 6.28571429],0
b5,1,0.145667,2.117045,[18 12] ; [ 6 10],[15.65217391 14.34782609] ; [8.34782609 7.65217391],0
v3,1,0.180746,1.791481,[ 9 21] ; [8 8],[11.08695652 18.91304348] ; [ 5.91304348 10.08695652],0
b1,1,0.180746,1.791481,[ 9 21] ; [8 8],[11.08695652 18.91304348] ; [ 5.91304348 10.08695652],0
b2,1,0.18598,1.749177,[ 6 11] ; [1 8],[ 4.57692308 12.42307692] ; [2.42307692 6.57692308],0
b3,1,0.18598,1.749177,[ 6 11] ; [1 8],[ 4.57692308 12.42307692] ; [2.42307692 6.57692308],0
p10,1,0.208458,1.582106,[19 11] ; [13  3],[20.86956522  9.13043478] ; [11.13043478  4.86956522],0
s8,1,0.208458,1.582106,[11 19] ; [ 3 13],[ 9.13043478 20.86956522] ; [ 4.86956522 11.13043478],0
n5,1,0.219851,1.505341,[17 13] ; [12  4],[18.91304348 11.08695652] ; [10.08695652  5.91304348],0
r2,1,0.225841,1.466864,[27  2] ; [13  3],[25.77777778  3.22222222] ; [14.22222222  1.77777778],0
s7,1,0.284911,1.143516,[10 18] ; [ 3 12],[ 8.46511628 19.53488372] ; [ 4.53488372 10.46511628],0
b4,1,0.291958,1.110571,[18 12] ; [7 9],[16.30434783 13.69565217] ; [8.69565217 7.30434783],0
n4,1,0.311816,1.022969,[16 14] ; [11  5],[17.60869565 12.39130435] ; [9.39130435 6.60869565],0
a8,1,0.505366,0.443651,[ 2 26] ; [ 2 13],[ 2.60465116 25.39534884] ; [ 1.39534884 13.60465116],0
r4,1,0.548819,0.359437,[22  8] ; [13  3],[22.82608696  7.17391304] ; [12.17391304  3.82608696],0
p6,1,0.550292,0.356795,[14 16] ; [ 6 10],[13.04347826 16.95652174] ; [6.95652174 9.04347826],0
a6,1,0.55816,0.342901,[18 12] ; [11  5],[18.91304348 11.08695652] ; [10.08695652  5.91304348],0
p11,1,0.55816,0.342901,[18 12] ; [11  5],[18.91304348 11.08695652] ; [10.08695652  5.91304348],0
s3,1,0.597751,0.278402,[11 19] ; [ 4 10],[10.22727273 19.77272727] ; [4.77272727 9.22727273],0
a5,1,0.605286,0.267097,[21  9] ; [10  6],[20.2173913  9.7826087] ; [10.7826087  5.2173913],0
n6,1,0.668999,0.182775,[20  9] ; [12  4],[20.62222222  8.37777778] ; [11.37777778  4.62222222],0
s2,1,0.671373,0.18,[14 16] ; [6 9],[13.33333333 16.66666667] ; [6.66666667 8.33333333],0
r1,1,0.777486,0.079861,[20 10] ; [10  6],[19.56521739 10.43478261] ; [10.43478261  5.56521739],0
s5,1,0.819886,0.051843,[ 9 21] ; [ 5 10],[ 9.33333333 20.66666667] ; [ 4.66666667 10.33333333],0
p3,1,0.829333,0.046465,[16 14] ; [8 8],[15.65217391 14.34782609] ; [8.34782609 7.65217391],0
s6,1,0.831002,0.045547,[17 13] ; [9 6],[17.33333333 12.66666667] ; [8.66666667 6.33333333],0
u3,1,0.834996,0.043388,[5 5] ; [6 5],[5.23809524 4.76190476] ; [5.76190476 5.23809524],0
v2,1,0.857514,0.032234,[18 12] ; [8 6],[17.72727273 12.27272727] ; [8.27272727 5.72727273],0
p5,1,0.859076,0.031524,[ 5 25] ; [ 3 13],[ 5.2173913 24.7826087] ; [ 2.7826087 13.2173913],0
p7,1,0.90571,0.014031,[18 10] ; [10  6],[17.81818182 10.18181818] ; [10.18181818  5.81818182],0
r3,1,0.918927,0.01036,[24  6] ; [13  3],[24.13043478  5.86956522] ; [12.86956522  3.13043478],0
v4,1,0.936293,0.006389,[26  4] ; [14  2],[26.08695652  3.91304348] ; [13.91304348  2.08695652],0
a7,1,0.955526,0.00311,[19 11] ; [10  6],[18.91304348 11.08695652] ; [10.08695652  5.91304348],0
v1,1,0.978339,0.000737,[13 17] ; [7 9],[13.04347826 16.95652174] ; [6.95652174 9.04347826],0
