Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.5e-05,18.728447,[27 19] ; [10 47],[16.52427184 29.47572816] ; [20.47572816 36.52427184],1
v1,1,0.002118,9.443944,[29 15] ; [20 37],[21.34653465 22.65346535] ; [27.65346535 29.34653465],0
r1,1,0.018532,5.545108,[38  8] ; [35 22],[32.60194175 13.39805825] ; [40.39805825 16.60194175],0
a7,1,0.034421,4.473684,[35 10] ; [33 24],[30. 15.] ; [38. 19.],0
a4,1,0.055918,3.654485,[ 3 42] ; [11 44],[ 6.3 38.7] ; [ 7.7 47.3],0
n5,1,0.099387,2.715353,[38  8] ; [39 18],[34.38834951 11.61165049] ; [42.61165049 14.38834951],0
p6,1,0.116413,2.464935,[19 26] ; [15 40],[15.3 29.7] ; [18.7 36.3],0
p8,1,0.121765,2.394476,[29 16] ; [28 29],[25.14705882 19.85294118] ; [31.85294118 25.14705882],0
r2,1,0.155634,2.01614,[42  3] ; [48  9],[39.70588235  5.29411765] ; [50.29411765  6.70588235],0
s7,1,0.176034,1.83079,[27 16] ; [27 28],[23.69387755 19.30612245] ; [30.30612245 24.69387755],0
n2,1,0.189717,1.71981,[8 1] ; [9 5],[6.65217391 2.34782609] ; [10.34782609  3.65217391],0
b1,1,0.197859,1.658108,[16 30] ; [27 30],[19.2038835 26.7961165] ; [23.7961165 33.2038835],0
s3,1,0.1998,1.643834,[34 11] ; [35 20],[31.05 13.95] ; [37.95 17.05],0
u2,1,0.238593,1.388889,[14  6] ; [16 14],[12.  8.] ; [18. 12.],0
n6,1,0.24193,1.369316,[39  7] ; [43 14],[36.62135922  9.37864078] ; [45.37864078 11.62135922],0
d3,1,0.278184,1.17594,[23 22] ; [23 34],[20.29411765 24.70588235] ; [25.70588235 31.29411765],0
r4,1,0.281141,1.161568,[42  4] ; [48  9],[40.19417476  5.80582524] ; [49.80582524  7.19417476],0
a5,1,0.357892,0.845276,[27 18] ; [29 28],[24.70588235 20.29411765] ; [31.29411765 25.70588235],0
a3,1,0.361853,0.83145,[25 20] ; [26 30],[22.72277228 22.27722772] ; [28.27722772 27.72277228],0
s8,1,0.365713,0.818181,[21 25] ; [21 36],[18.75728155 27.24271845] ; [23.24271845 33.75728155],0
s4,1,0.377406,0.779135,[ 8 38] ; [14 43],[ 9.82524272 36.17475728] ; [12.17475728 44.82524272],0
d4,1,0.456771,0.553795,[27 18] ; [30 27],[25.14705882 19.85294118] ; [31.85294118 25.14705882],0
n4,1,0.460418,0.544877,[33 13] ; [37 20],[31.26213592 14.73786408] ; [38.73786408 18.26213592],0
p12,1,0.469225,0.523801,[ 5 40] ; [ 4 53],[ 3.97058824 41.02941176] ; [ 5.02941176 51.97058824],0
b5,1,0.470369,0.521109,[25 21] ; [35 22],[26.7961165 19.2038835] ; [33.2038835 23.7961165],0
p10,1,0.474252,0.512052,[37  8] ; [42 13],[35.55  9.45] ; [43.45 11.55],0
a2,1,0.474303,0.511933,[ 3 43] ; [ 6 51],[ 4.01941748 41.98058252] ; [ 4.98058252 52.01941748],0
d1,1,0.491381,0.4735,[ 4 42] ; [ 3 54],[ 3.12621359 42.87378641] ; [ 3.87378641 53.12621359],0
s5,1,0.510569,0.4329,[16 28] ; [24 32],[17.6 26.4] ; [22.4 33.6],0
p4,1,0.517646,0.41858,[22 23] ; [31 25],[23.61386139 21.38613861] ; [29.38613861 26.61386139],0
p7,1,0.52297,0.408032,[29 16] ; [32 23],[27.45 17.55] ; [33.55 21.45],0
u3,1,0.543007,0.369996,[13  8] ; [16 14],[11.94117647  9.05882353] ; [17.05882353 12.94117647],0
b3,1,0.567144,0.327485,[ 8 20] ; [10 18],[ 9. 19.] ; [ 9. 19.],0
b2,1,0.567144,0.327485,[ 8 20] ; [10 18],[ 9. 19.] ; [ 9. 19.],0
p5,1,0.579671,0.306767,[ 9 36] ; [ 9 48],[ 7.94117647 37.05882353] ; [10.05882353 46.94117647],0
n1,1,0.59536,0.282051,[3 6] ; [ 3 10],[2.45454545 6.54545455] ; [3.54545455 9.45454545],0
a6,1,0.620718,0.24486,[29 16] ; [34 23],[27.79411765 17.20588235] ; [35.20588235 21.79411765],0
p2,1,0.652738,0.202466,[33 12] ; [44 13],[33.97058824 11.02941176] ; [43.02941176 13.97058824],0
s2,1,0.658047,0.195905,[28 17] ; [33 24],[26.91176471 18.08823529] ; [34.08823529 22.91176471],0
p3,1,0.677626,0.172811,[20 25] ; [23 34],[18.97058824 26.02941176] ; [24.02941176 32.97058824],0
p9,1,0.679144,0.171091,[37  8] ; [45 12],[36.17647059  8.82352941] ; [45.82352941 11.17647059],0
d2,1,0.728936,0.120091,[11 35] ; [12 45],[10.27184466 35.72815534] ; [12.72815534 44.27184466],0
u1,1,0.826558,0.048013,[ 2 44] ; [ 2 55],[ 1.78640777 44.21359223] ; [ 2.21359223 54.78640777],0
a8,1,0.844711,0.038365,[ 6 37] ; [ 8 44],[ 6.33684211 36.66315789] ; [ 7.66315789 44.33684211],0
p11,1,0.897061,0.016738,[36 10] ; [44 13],[35.72815534 10.27184466] ; [44.27184466 12.72815534],0
n3,1,0.906855,0.01369,[6 3] ; [9 5],[5.86956522 3.13043478] ; [9.13043478 4.86956522],0
p1,1,0.918547,0.010458,[ 6 39] ; [ 8 49],[ 6.17647059 38.82352941] ; [ 7.82352941 49.17647059],0
v4,1,0.944515,0.004844,[42  3] ; [53  4],[41.91176471  3.08823529] ; [53.08823529  3.91176471],0
b4,1,0.969053,0.001505,[26 20] ; [32 25],[25.90291262 20.09708738] ; [32.09708738 24.90291262],0
