Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,115.093664,[291 142] ; [ 33 140],[231.5049505 201.4950495] ; [92.4950495 80.5049505],1
s3,1,0.0,110.68322,[305 122] ; [ 43 131],[247.24792013 179.75207987] ; [100.75207987  73.24792013],1
s7,1,0.0,76.466819,[274 145] ; [ 43 125],[226.27427598 192.72572402] ; [90.72572402 77.27427598],1
s8,1,0.0,55.209773,[254 181] ; [ 44 131],[212.50819672 222.49180328] ; [85.49180328 89.50819672],1
s5,1,0.0,50.09815,[196 230] ; [ 26 146],[158.14715719 267.85284281] ; [ 63.85284281 108.14715719],1
s4,1,5e-06,20.964297,[ 90 339] ; [ 10 165],[ 71.02649007 357.97350993] ; [ 28.97350993 146.02649007],1
p4,1,0.000128,14.668491,[294 140] ; [89 85],[273.39144737 160.60855263] ; [109.60855263  64.39144737],1
p9,1,0.00046,12.272535,[384  47] ; [136  38],[370.44628099  60.55371901] ; [149.55371901  24.44628099],1
u1,1,0.00163,9.925749,[111 326] ; [ 24 151],[ 96.39705882 340.60294118] ; [ 38.60294118 136.39705882],0
r4,1,0.002517,9.128405,[427  10] ; [162  13],[420.57679739  16.42320261] ; [168.42320261   6.57679739],0
p12,1,0.00484,7.938262,[ 49 385] ; [  7 168],[ 39.90804598 394.09195402] ; [ 16.09195402 158.90804598],0
p6,1,0.005094,7.845743,[182 250] ; [ 52 122],[166.81188119 265.18811881] ; [ 67.18811881 106.81188119],0
p5,1,0.005554,7.689642,[ 63 371] ; [ 11 162],[ 52.90939044 381.09060956] ; [ 21.09060956 151.90939044],0
d5,1,0.015025,5.913499,[372  64] ; [135  40],[361.78723404  74.21276596] ; [145.21276596  29.78723404],0
n5,1,0.023374,5.140499,[366  71] ; [132  42],[356.18003273  80.81996727] ; [141.81996727  32.18003273],0
p3,1,0.035505,4.420723,[236 199] ; [78 96],[224.28571429 210.71428571] ; [89.71428571 84.28571429],0
p10,1,0.038746,4.271986,[374  58] ; [139  35],[365.7029703  66.2970297] ; [147.2970297  26.7029703],0
n4,1,0.039959,4.219609,[370  67] ; [136  39],[361.31045752  75.68954248] ; [144.68954248  30.31045752],0
p11,1,0.042446,4.117337,[349  88] ; [152  23],[357.74019608  79.25980392] ; [143.25980392  31.74019608],0
a2,1,0.044174,4.049879,[130 307] ; [ 38 137],[119.96078431 317.03921569] ; [ 48.03921569 126.96078431],0
u4,1,0.045029,4.017541,[ 15 422] ; [  1 174],[ 11.4248366 425.5751634] ; [  4.5751634 170.4248366],0
s1,1,0.058912,3.567739,[ 18 412] ; [  2 172],[ 14.2384106 415.7615894] ; [  5.7615894 168.2384106],0
a3,1,0.075219,3.1653,[332 102] ; [121  53],[323.35855263 110.64144737] ; [129.64144737  44.35855263],0
u3,1,0.075904,3.150484,[69 35] ; [28 26],[63.84810127 40.15189873] ; [33.15189873 20.84810127],0
b5,1,0.088935,2.893547,[265 172] ; [93 82],[255.63071895 181.36928105] ; [102.36928105  72.63071895],0
r2,1,0.114525,2.49064,[426   8] ; [166   7],[423.27512356  10.72487644] ; [168.72487644   4.27512356],0
p1,1,0.152599,2.046075,[ 43 390] ; [ 11 164],[ 38.45723684 394.54276316] ; [ 15.54276316 159.45723684],0
a4,1,0.1886,1.72852,[216 217] ; [77 98],[208.66611842 224.33388158] ; [84.33388158 90.66611842],0
