Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,33.786927,[45 51] ; [192  51],[67.11504425 28.88495575] ; [169.88495575  73.11504425],1
a6,1,0.0,33.596329,[50 46] ; [201  42],[71.07964602 24.92035398] ; [179.92035398  63.07964602],1
a2,1,2.4e-05,17.873061,[10 86] ; [ 80 163],[25.48672566 70.51327434] ; [ 64.51327434 178.48672566],1
u1,1,0.00108,10.685872,[ 6 90] ; [ 51 192],[16.14159292 79.85840708] ; [ 40.85840708 202.14159292],0
u3,1,0.001395,10.212233,[ 5 18] ; [36 23],[11.5 11.5] ; [29.5 29.5],0
b5,1,0.003975,8.295042,[44 52] ; [153  90],[55.78761062 40.21238938] ; [141.21238938 101.78761062],0
v2,1,0.02541,4.995707,[42 54] ; [134 100],[51.2 44.8] ; [124.8 109.2],0
n3,1,0.028259,4.812203,[21  4] ; [35 24],[16.66666667  8.33333333] ; [39.33333333 19.66666667],0
s5,1,0.028979,4.768882,[26 67] ; [ 41 197],[18.82477341 74.17522659] ; [ 48.17522659 189.82477341],0
b1,1,0.034264,4.48146,[48 48] ; [ 91 152],[39.36283186 56.63716814] ; [ 99.63716814 143.36283186],0
r1,1,0.045381,4.004411,[71 25] ; [202  40],[77.53846154 18.46153846] ; [195.46153846  46.53846154],0
b2,1,0.049906,3.844625,[30 31] ; [52 98],[23.70616114 37.29383886] ; [58.29383886 91.70616114],0
b3,1,0.049906,3.844625,[30 31] ; [52 98],[23.70616114 37.29383886] ; [58.29383886 91.70616114],0
p4,1,0.051151,3.803337,[42 51] ; [138 104],[49.97014925 43.02985075] ; [130.02985075 111.97014925],0
p8,1,0.058774,3.571652,[40 52] ; [130 106],[47.68292683 44.31707317] ; [122.31707317 113.68292683],0
d5,1,0.077672,3.112949,[76 20] ; [211  32],[81.27433628 14.72566372] ; [205.72566372  37.27433628],0
r3,1,0.131983,2.269029,[83 12] ; [224  18],[86.54302671  8.45697329] ; [220.45697329  21.54302671],0
r4,1,0.19166,1.704811,[78 18] ; [211  32],[81.84070796 14.15929204] ; [207.15929204  35.84070796],0
a8,1,0.217049,1.523774,[ 7 83] ; [ 27 186],[10.0990099 79.9009901] ; [ 23.9009901 189.0990099],0
u2,1,0.258038,1.279253,[ 9 13] ; [33 27],[11.26829268 10.73170732] ; [30.73170732 29.26829268],0
s4,1,0.282564,1.154717,[12 83] ; [ 21 219],[ 9.35820896 85.64179104] ; [ 23.64179104 216.35820896],0
v1,1,0.284256,1.146627,[41 52] ; [121 118],[45.37951807 47.62048193] ; [116.62048193 122.37951807],0
s3,1,0.309034,1.034798,[24 70] ; [ 49 191],[20.54491018 73.45508982] ; [ 52.45508982 187.54491018],0
a1,1,0.316326,1.004078,[ 3 93] ; [ 14 229],[ 4.81415929 91.18584071] ; [ 12.18584071 230.81415929],0
v4,1,0.343518,0.897259,[84 11] ; [222  20],[86.2611276  8.7388724] ; [219.7388724  22.2611276],0
p2,1,0.345427,0.890186,[69 23] ; [193  49],[72.16766467 19.83233533] ; [189.83233533  52.16766467],0
d1,1,0.353228,0.861827,[54 42] ; [150  93],[57.7699115 38.2300885] ; [146.2300885  96.7699115],0
p6,1,0.405297,0.692554,[22 69] ; [ 69 171],[25.01812689 65.98187311] ; [ 65.98187311 174.01812689],0
s7,1,0.416071,0.661386,[29 61] ; [ 63 165],[26.03773585 63.96226415] ; [ 65.96226415 162.03773585],0
d2,1,0.454739,0.558813,[53 41] ; [126 117],[49.92878338 44.07121662] ; [129.07121662 113.92878338],0
p1,1,0.519035,0.415811,[10 85] ; [ 20 221],[ 8.48214286 86.51785714] ; [ 21.51785714 219.48214286],0
d4,1,0.588136,0.293264,[77 19] ; [201  42],[78.72566372 17.27433628] ; [199.27433628  43.72566372],0
s6,1,0.601743,0.272376,[40 52] ; [112 128],[42.12048193 49.87951807] ; [109.87951807 130.12048193],0
p5,1,0.608083,0.262976,[12 82] ; [ 26 215],[10.66268657 83.33731343] ; [ 27.33731343 213.66268657],0
n5,1,0.637369,0.2222,[71 24] ; [174  67],[69.27083333 25.72916667] ; [175.72916667  65.27083333],0
s8,1,0.640018,0.218719,[23 71] ; [ 65 176],[24.69253731 69.30746269] ; [ 63.30746269 177.69253731],0
b4,1,0.662276,0.190771,[54 42] ; [143 100],[55.78761062 40.21238938] ; [141.21238938 101.78761062],0
p7,1,0.685578,0.163914,[55 39] ; [145  93],[56.62650602 37.37349398] ; [143.37349398  94.62650602],0
n1,1,0.709058,0.139219,[10 19] ; [22 35],[10.79069767 18.20930233] ; [21.20930233 35.79069767],0
p3,1,0.739647,0.110438,[42 52] ; [113 129],[43.36309524 50.63690476] ; [111.63690476 130.36309524],0
