Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,70.191025,[ 4 41] ; [187  66],[28.84228188 16.15771812] ; [162.15771812  90.84228188],1
d5,1,0.0,63.01186,[19 25] ; [230  23],[36.88888889  7.11111111] ; [212.11111111  40.88888889],1
d3,1,0.0,41.008501,[15 28] ; [205  48],[31.95945946 11.04054054] ; [188.04054054  64.95945946],1
s6,1,3.3e-05,17.241796,[20 23] ; [189  56],[31.20486111 11.79513889] ; [177.79513889  67.20486111],1
r4,1,5e-05,16.446829,[34 11] ; [238  15],[41.0738255  3.9261745] ; [230.9261745  22.0738255],1
d2,1,0.000521,12.039767,[13 32] ; [144 109],[23.70805369 21.29194631] ; [133.29194631 119.70805369],1
p9,1,0.001429,10.16776,[35 10] ; [234  18],[40.75757576  4.24242424] ; [228.24242424  23.75757576],0
a3,1,0.001749,9.79601,[25 20] ; [195  56],[33.44594595 11.55405405] ; [186.55405405  64.44594595],0
a5,1,0.002128,9.436057,[26 19] ; [200  53],[34.12751678 10.87248322] ; [191.87248322  61.12751678],0
u1,1,0.003364,8.598689,[ 3 42] ; [ 68 185],[10.72147651 34.27852349] ; [ 60.27852349 192.72147651],0
s8,1,0.003377,8.591786,[16 29] ; [149 103],[25. 20.] ; [140. 112.],0
s2,1,0.004154,8.215329,[18 27] ; [157  93],[26.69491525 18.30508475] ; [148.30508475 101.69491525],0
r1,1,0.005479,7.714286,[30 15] ; [212  40],[36.66666667  8.33333333] ; [205.33333333  46.66666667],0
s3,1,0.005901,7.580374,[19 26] ; [160  90],[27.30508475 17.69491525] ; [151.69491525  98.30508475],0
a2,1,0.006549,7.392637,[ 5 40] ; [ 78 175],[12.53355705 32.46644295] ; [ 70.46644295 182.53355705],0
v4,1,0.009144,6.794564,[40  5] ; [244   7],[43.17567568  1.82432432] ; [240.82432432  10.17567568],0
r3,1,0.009373,6.75033,[40  5] ; [243   7],[43.16949153  1.83050847] ; [239.83050847  10.16949153],0
v1,1,0.012783,6.198899,[20 25] ; [159  89],[27.49146758 17.50853242] ; [151.50853242  96.49146758],0
u3,1,0.013421,6.112766,[ 7 13] ; [38 19],[11.68831169  8.31168831] ; [33.31168831 23.68831169],0
a4,1,0.018301,5.567103,[15 29] ; [135 118],[22.22222222 21.77777778] ; [127.77777778 125.22222222],0
p1,1,0.024688,5.045669,[11 34] ; [ 30 222],[ 6.21212121 38.78787879] ; [ 34.78787879 217.21212121],0
r2,1,0.030401,4.686452,[40  5] ; [239   9],[42.84982935  2.15017065] ; [236.15017065  11.84982935],0
n6,1,0.0311,4.647447,[36  9] ; [228  23],[40.13513514  4.86486486] ; [223.86486486  27.13513514],0
p10,1,0.03455,4.467254,[34 10] ; [223  28],[38.33220339  5.66779661] ; [218.66779661  32.33220339],0
n4,1,0.046986,3.945901,[34 11] ; [220  33],[38.3557047  6.6442953] ; [215.6442953  37.3557047],0
a7,1,0.078595,3.093718,[28 16] ; [192  60],[32.7027027 11.2972973] ; [187.2972973  64.7027027],0
p8,1,0.089822,2.877559,[27 18] ; [182  69],[31.77364865 13.22635135] ; [177.22635135  73.77364865],0
s4,1,0.110526,2.546682,[ 5 39] ; [ 54 193],[ 8.9209622 35.0790378] ; [ 50.0790378 196.9209622],0
s5,1,0.157998,1.993281,[14 29] ; [105 133],[18.20996441 24.79003559] ; [100.79003559 137.20996441],0
p11,1,0.179673,1.800323,[34 11] ; [212  41],[37.14765101  7.85234899] ; [208.85234899  44.14765101],0
p3,1,0.20014,1.641353,[26 19] ; [171  82],[29.74832215 15.25167785] ; [167.25167785  85.74832215],0
s7,1,0.265492,1.23989,[22 19] ; [152  90],[25.20848057 15.79151943] ; [148.79151943  93.20848057],0
p7,1,0.279397,1.17002,[41  4] ; [210  37],[38.68150685  6.31849315] ; [212.31849315  34.68150685],0
b1,1,0.305709,1.049123,[22 23] ; [103 150],[18.87583893 26.12416107] ; [106.12416107 146.87583893],0
p4,1,0.359936,0.838117,[35 10] ; [211  42],[37.14765101  7.85234899] ; [208.85234899  44.14765101],0
v3,1,0.399739,0.70911,[16 29] ; [104 142],[18.55670103 26.44329897] ; [101.44329897 144.55670103],0
a1,1,0.413337,0.669181,[ 2 43] ; [ 20 233],[ 3.32214765 41.67785235] ; [ 18.67785235 234.32214765],0
n3,1,0.433775,0.612695,[12  3] ; [32 14],[10.81967213  4.18032787] ; [33.18032787 12.81967213],0
p12,1,0.465669,0.532234,[ 4 41] ; [ 32 219],[ 5.47297297 39.52702703] ; [ 30.52702703 220.47297297],0
v2,1,0.47541,0.509373,[24 21] ; [147 102],[26.17346939 18.82653061] ; [144.82653061 104.17346939],0
a6,1,0.562108,0.336068,[28 17] ; [168  84],[29.6969697 15.3030303] ; [166.3030303  85.6969697],0
p5,1,0.611896,0.257423,[10 35] ; [ 48 205],[ 8.75838926 36.24161074] ; [ 49.24161074 203.75838926],0
n5,1,0.632659,0.228472,[35  9] ; [208  44],[36.12162162  7.87837838] ; [206.87837838  45.12162162],0
n1,1,0.715344,0.132997,[7 8] ; [19 27],[6.39344262 8.60655738] ; [19.60655738 26.39344262],0
