Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,9.9e-05,15.147093,[53  5] ; [51 31],[43.08571429 14.91428571] ; [60.91428571 21.08571429],1
s6,1,0.003407,8.575697,[32 26] ; [25 57],[23.61428571 34.38571429] ; [33.38571429 48.61428571],0
p10,1,0.003566,8.492775,[36 22] ; [30 51],[27.53956835 30.46043165] ; [38.46043165 42.53956835],0
v3,1,0.004986,7.884655,[26 31] ; [18 61],[18.44117647 38.55882353] ; [25.55882353 53.44117647],0
v4,1,0.006643,7.367176,[50  8] ; [54 28],[43.08571429 14.91428571] ; [60.91428571 21.08571429],0
s2,1,0.019521,5.454188,[25 33] ; [20 62],[18.64285714 39.35714286] ; [26.35714286 55.64285714],0
v1,1,0.025466,4.991909,[24 33] ; [19 60],[18.02205882 38.97794118] ; [24.97794118 54.02205882],0
p11,1,0.039509,4.238856,[35 23] ; [35 47],[29. 29.] ; [41. 41.],0
r4,1,0.040747,4.186525,[43 15] ; [47 35],[37.28571429 20.71428571] ; [52.71428571 29.28571429],0
r1,1,0.0421,4.131185,[41 17] ; [44 38],[35.21428571 22.78571429] ; [49.78571429 32.21428571],0
n1,1,0.044925,4.021438,[ 4 13] ; [19 17],[7.37735849 9.62264151] ; [15.62264151 20.37735849],0
n6,1,0.049905,3.844634,[43 15] ; [47 34],[37.55395683 20.44604317] ; [52.44604317 28.55395683],0
d5,1,0.049905,3.844634,[43 15] ; [47 34],[37.55395683 20.44604317] ; [52.44604317 28.55395683],0
d4,1,0.054022,3.712005,[46 12] ; [52 29],[40.89208633 17.10791367] ; [57.10791367 23.89208633],0
a7,1,0.058321,3.584509,[41 17] ; [45 37],[35.62857143 22.37142857] ; [50.37142857 31.62857143],0
p8,1,0.060933,3.511803,[17 41] ; [13 68],[12.51798561 45.48201439] ; [17.48201439 63.51798561],0
p6,1,0.061181,3.505087,[10 46] ; [ 6 75],[ 6.54014599 49.45985401] ; [ 9.45985401 71.54014599],0
p4,1,0.071011,3.259485,[19 38] ; [16 65],[14.45652174 42.54347826] ; [20.54347826 60.45652174],0
s7,1,0.094576,2.794703,[21 35] ; [18 57],[16.67175573 39.32824427] ; [22.32824427 52.67175573],0
p7,1,0.111885,2.527387,[21 34] ; [20 59],[16.82835821 38.17164179] ; [24.17164179 54.82835821],0
s8,1,0.117315,2.452802,[18 40] ; [16 66],[14.08571429 43.91428571] ; [19.91428571 62.08571429],0
p9,1,0.117797,2.446369,[33 24] ; [35 44],[28.5 28.5] ; [39.5 39.5],0
p3,1,0.135335,2.230219,[19 38] ; [18 64],[15.17266187 41.82733813] ; [21.82733813 60.17266187],0
s3,1,0.171274,1.871759,[27 31] ; [28 52],[23.11594203 34.88405797] ; [31.88405797 48.11594203],0
u3,1,0.180091,1.796872,[12  7] ; [14 18],[9.68627451 9.31372549] ; [16.31372549 15.68627451],0
p5,1,0.193129,1.693588,[ 1 57] ; [ 5 74],[ 2.54014599 55.45985401] ; [ 3.45985401 75.54014599],0
d1,1,0.208764,1.579976,[31 27] ; [35 47],[27.34285714 30.65714286] ; [38.65714286 43.34285714],0
s4,1,0.210426,1.56849,[ 9 49] ; [ 7 74],[ 6.67625899 51.32374101] ; [ 9.32374101 71.67625899],0
n2,1,0.236289,1.402597,[13  5] ; [20 16],[11.  7.] ; [22. 14.],0
d3,1,0.308743,1.036044,[33 25] ; [39 42],[30.04316547 27.95683453] ; [41.95683453 39.04316547],0
a5,1,0.321899,0.981217,[36 22] ; [44 38],[33.14285714 24.85714286] ; [46.85714286 35.14285714],0
b4,1,0.321899,0.981217,[36 22] ; [44 38],[33.14285714 24.85714286] ; [46.85714286 35.14285714],0
p12,1,0.36968,0.804741,[ 2 56] ; [ 1 81],[ 1.24285714 56.75714286] ; [ 1.75714286 80.24285714],0
r2,1,0.389617,0.740136,[48  8] ; [64 16],[46.11764706  9.88235294] ; [65.88235294 14.11764706],0
u4,1,0.390623,0.737003,[ 3 55] ; [ 2 80],[ 2.07142857 55.92857143] ; [ 2.92857143 79.07142857],0
