Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,100.063094,[ 51 229] ; [117  66],[101.59827214 178.40172786] ; [ 66.40172786 116.59827214],1
s2,1,0.0,69.048737,[ 64 214] ; [113  71],[106.50649351 171.49350649] ; [ 70.49350649 113.50649351],1
s3,1,0.0,54.131527,[ 89 187] ; [123  60],[127.47712418 148.52287582] ; [84.52287582 98.47712418],1
s6,1,0.0,39.562479,[129 150] ; [138  44],[161.59002169 117.40997831] ; [105.40997831  76.59002169],1
u1,1,7.2e-05,15.760049,[ 33 247] ; [ 48 136],[ 48.87931034 231.12068966] ; [ 32.12068966 151.87931034],1
n4,1,0.000367,12.695676,[197  83] ; [156  28],[213.01724138  66.98275862] ; [139.98275862  44.01724138],1
p5,1,0.000589,11.810429,[  7 272] ; [ 18 163],[ 15.16304348 263.83695652] ; [  9.83695652 171.16304348],1
v3,1,0.0006,11.774582,[ 81 187] ; [81 94],[ 98.00451467 169.99548533] ; [ 63.99548533 111.00451467],1
p3,1,0.000623,11.70662,[105 172] ; [99 84],[122.84347826 154.15652174] ; [ 81.15652174 101.84347826],1
a3,1,0.000623,11.706171,[182  98] ; [146  37],[198.35853132  81.64146868] ; [129.64146868  53.35853132],1
p6,1,0.002188,9.384548,[ 66 207] ; [ 68 113],[ 80.57709251 192.42290749] ; [ 53.42290749 127.57709251],0
d2,1,0.002332,9.26765,[128 151] ; [111  73],[144.01943844 134.98056156] ; [94.98056156 89.01943844],0
n6,1,0.005811,7.607876,[213  65] ; [160  24],[224.44588745  53.55411255] ; [148.55411255  35.44588745],0
a7,1,0.006674,7.358622,[226  53] ; [129  55],[213.92008639  65.07991361] ; [141.07991361  42.92008639],0
p10,1,0.007429,7.166264,[198  79] ; [150  32],[210.0130719  66.9869281] ; [137.9869281  44.0130719],0
r1,1,0.008121,7.006569,[207  71] ; [156  28],[218.42857143  59.57142857] ; [144.57142857  39.42857143],0
p4,1,0.008161,6.997792,[140 137] ; [116  68],[153.82212581 123.17787419] ; [102.17787419  81.82212581],0
n5,1,0.010262,6.588844,[190  88] ; [145  38],[202.01735358  75.98264642] ; [132.98264642  50.01735358],0
d1,1,0.01846,5.551976,[176 104] ; [135  49],[187.67241379  92.32758621] ; [123.32758621  60.67241379],0
p9,1,0.021533,5.283129,[212  66] ; [154  27],[221.67320261  56.32679739] ; [144.32679739  36.67320261],0
u4,1,0.023248,5.149868,[  3 277] ; [  8 176],[  6.63793103 273.36206897] ; [  4.36206897 179.63793103],0
p7,1,0.0277,4.846659,[149 125] ; [116  63],[160.28697572 113.71302428] ; [104.71302428  74.28697572],0
a8,1,0.028119,4.820784,[ 26 231] ; [ 29 137],[ 33.41607565 223.58392435] ; [ 21.58392435 144.41607565],0
a4,1,0.029166,4.757784,[116 163] ; [95 88],[127.42207792 151.57792208] ; [83.57792208 99.42207792],0
a2,1,0.036352,4.380503,[ 57 223] ; [ 53 131],[ 66.37931034 213.62068966] ; [ 43.62068966 140.37931034],0
r2,1,0.039256,4.249767,[252  22] ; [176   6],[257.1754386  16.8245614] ; [170.8245614  11.1754386],0
v1,1,0.041944,4.137483,[121 153] ; [95 81],[131.52 142.48] ; [84.48 91.52],0
a5,1,0.043183,4.088217,[197  83] ; [145  39],[206.37931034  73.62068966] ; [135.62068966  48.37931034],0
p12,1,0.053802,3.718842,[  9 270] ; [ 13 169],[ 13.31453362 265.68546638] ; [  8.68546638 173.31453362],0
v4,1,0.060692,3.518371,[257  23] ; [176   7],[261.8574514  18.1425486] ; [171.1425486  11.8574514],0
r3,1,0.080025,3.064395,[258  22] ; [176   7],[262.46220302  17.53779698] ; [171.53779698  11.46220302],0
a1,1,0.093621,2.810983,[  9 271] ; [ 12 172],[ 12.67241379 267.32758621] ; [  8.32758621 175.67241379],0
r4,1,0.097423,2.747237,[236  44] ; [165  19],[241.98275862  38.01724138] ; [159.01724138  24.98275862],0
v2,1,0.101027,2.689254,[139 126] ; [108  71],[147.42117117 117.57882883] ; [99.57882883 79.42117117],0
u3,1,0.131567,2.273914,[52 44] ; [26 12],[55.88059701 40.11940299] ; [22.11940299 15.88059701],0
p11,1,0.139495,2.183517,[212  68] ; [150  34],[218.44827586  61.55172414] ; [143.55172414  40.44827586],0
d3,1,0.153257,2.039531,[197  82] ; [141  43],[203.67602592  75.32397408] ; [134.32397408  49.67602592],0
b5,1,0.155604,2.016436,[187  93] ; [111  73],[179.82758621 100.17241379] ; [118.17241379  65.82758621],0
b2,1,0.163015,1.946036,[ 45 100] ; [53 83],[50.56939502 94.43060498] ; [47.43060498 88.56939502],0
b3,1,0.163015,1.946036,[ 45 100] ; [53 83],[50.56939502 94.43060498] ; [47.43060498 88.56939502],0
s1,1,0.183385,1.769977,[  5 272] ; [  7 176],[  7.22608696 269.77391304] ; [  4.77391304 178.22608696],0
d4,1,0.191599,1.705279,[236  44] ; [163  21],[240.77586207  39.22413793] ; [158.22413793  25.77586207],0
n1,1,0.233884,1.417085,[23 53] ; [15 21],[25.78571429 50.21428571] ; [12.21428571 23.78571429],0
b1,1,0.256301,1.288626,[101 179] ; [ 76 108],[106.81034483 173.18965517] ; [ 70.18965517 113.81034483],0
n3,1,0.341166,0.906045,[54 22] ; [23 14],[51.78761062 24.21238938] ; [25.21238938 11.78761062],0
b4,1,0.368969,0.807134,[170 110] ; [104  80],[165.34482759 114.65517241] ; [108.65517241  75.34482759],0
s4,1,0.371216,0.79959,[ 30 247] ; [ 25 159],[ 33.04772234 243.95227766] ; [ 21.95227766 162.04772234],0
u2,1,0.398512,0.712813,[53 45] ; [23 14],[55.17037037 42.82962963] ; [20.82962963 16.17037037],0
p8,1,0.472829,0.515358,[125 150] ; [88 92],[128.73626374 146.26373626] ; [84.26373626 95.73626374],0
p1,1,0.482529,0.493142,[ 14 265] ; [ 12 171],[ 15.7012987 263.2987013] ; [ 10.2987013 172.7012987],0
a6,1,0.494048,0.467699,[203  77] ; [128  56],[199.74137931  80.25862069] ; [131.25862069  52.74137931],0
n2,1,0.645513,0.211604,[48 28] ; [25 12],[49.09734513 26.90265487] ; [23.90265487 13.09734513],0
p2,1,0.6817,0.168218,[222  54] ; [150  33],[223.68627451  52.31372549] ; [148.31372549  34.68627451],0
