Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.001289,10.358828,[10 16] ; [38 12],[16.42105263  9.57894737] ; [31.57894737 18.42105263],0
p9,1,0.001491,10.090159,[12 14] ; [43 10],[18.10126582  7.89873418] ; [36.89873418 16.10126582],0
n5,1,0.001785,9.758815,[ 8 18] ; [36 17],[14.48101266 11.51898734] ; [29.51898734 23.48101266],0
s8,1,0.004496,8.071721,[ 2 24] ; [21 34],[ 7.38271605 18.61728395] ; [15.61728395 39.38271605],0
n3,1,0.006658,7.363054,[5 9] ; [17  4],[8.8 5.2] ; [13.2  7.8],0
p8,1,0.023986,5.09564,[ 5 21] ; [24 29],[ 9.5443038 16.4556962] ; [19.4556962 33.5443038],0
s7,1,0.037191,4.341644,[ 5 18] ; [25 28],[ 9.07894737 13.92105263] ; [20.92105263 32.07894737],0
n2,1,0.043343,4.081983,[7 7] ; [18  4],[9.72222222 4.27777778] ; [15.27777778  6.72222222],0
n4,1,0.048762,3.883544,[11 15] ; [36 19],[15.08641975 10.91358025] ; [31.91358025 23.08641975],0
b1,1,0.048824,3.881392,[16 10] ; [21 34],[11.87654321 14.12345679] ; [25.12345679 29.87654321],0
p4,1,0.050508,3.824513,[ 7 19] ; [27 27],[11.05 14.95] ; [22.95 31.05],0
n6,1,0.052143,3.771175,[13 12] ; [40 14],[16.7721519  8.2278481] ; [36.2278481 17.7721519],0
b5,1,0.059117,3.561974,[19  7] ; [28 27],[15.08641975 10.91358025] ; [31.91358025 23.08641975],0
p2,1,0.079114,3.083004,[15 11] ; [40 12],[18.33333333  7.66666667] ; [36.66666667 15.33333333],0
d3,1,0.084804,2.970345,[17  8] ; [26 29],[13.4375 11.5625] ; [29.5625 25.4375],0
r1,1,0.11305,2.511056,[ 9 17] ; [10 44],[ 6.175 19.825] ; [12.825 41.175],0
u2,1,0.125778,2.343851,[3 9] ; [11 10],[5.09090909 6.90909091] ; [ 8.90909091 12.09090909],0
u3,1,0.132725,2.260334,[ 2 11] ; [ 8 12],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
n1,1,0.149365,2.078721,[ 2 12] ; [ 8 14],[ 3.88888889 10.11111111] ; [ 6.11111111 15.88888889],0
s6,1,0.152078,2.051282,[10 16] ; [30 24],[13. 13.] ; [27. 27.],0
s1,1,0.167702,1.903366,[ 3 23] ; [ 2 53],[ 1.60493827 24.39506173] ; [ 3.39506173 51.60493827],0
b4,1,0.243579,1.359762,[13 13] ; [35 20],[15.40740741 10.59259259] ; [32.59259259 22.40740741],0
s3,1,0.261704,1.259723,[10 16] ; [27 25],[12.33333333 13.66666667] ; [24.66666667 27.33333333],0
s4,1,0.347073,0.884132,[ 3 23] ; [11 44],[ 4.49382716 21.50617284] ; [ 9.50617284 45.49382716],0
p7,1,0.374273,0.789428,[10 16] ; [26 27],[11.84810127 14.15189873] ; [24.15189873 28.84810127],0
u1,1,0.400095,0.708042,[ 1 25] ; [ 5 50],[ 1.92592593 24.07407407] ; [ 4.07407407 50.92592593],0
p6,1,0.407143,0.687129,[ 5 20] ; [15 37],[ 6.49350649 18.50649351] ; [13.50649351 38.49350649],0
a3,1,0.408328,0.683664,[13 12] ; [34 21],[14.6875 10.3125] ; [32.3125 22.6875],0
a4,1,0.465501,0.532634,[ 6 20] ; [17 38],[ 7.38271605 18.61728395] ; [15.61728395 39.38271605],0
v2,1,0.476883,0.505984,[12 13] ; [30 23],[13.46153846 11.53846154] ; [28.53846154 24.46153846],0
a5,1,0.480396,0.497964,[12 14] ; [30 25],[13.48148148 12.51851852] ; [28.51851852 26.48148148],0
s2,1,0.50821,0.437752,[10 16] ; [25 29],[11.375 14.625] ; [23.625 30.375],0
d4,1,0.537135,0.380876,[21  5] ; [41 14],[19.90123457  6.09876543] ; [42.09876543 12.90123457],0
a8,1,0.538098,0.379077,[ 1 24] ; [ 4 48],[ 1.62337662 23.37662338] ; [ 3.37662338 48.62337662],0
a7,1,0.553083,0.351822,[16 10] ; [30 25],[14.7654321 11.2345679] ; [31.2345679 23.7654321],0
v4,1,0.565756,0.329836,[19  7] ; [34 17],[17.8961039  8.1038961] ; [35.1038961 15.8961039],0
a6,1,0.580651,0.305183,[12 14] ; [29 26],[13.16049383 12.83950617] ; [27.83950617 27.16049383],0
r2,1,0.591715,0.287674,[16 10] ; [27 22],[14.90666667 11.09333333] ; [28.09333333 20.90666667],0
d2,1,0.607364,0.264031,[11 15] ; [20 35],[ 9.95061728 16.04938272] ; [21.04938272 33.95061728],0
d5,1,0.615315,0.252508,[17  9] ; [39 16],[17.97530864  8.02469136] ; [38.02469136 16.97530864],0
v3,1,0.627045,0.236089,[ 5 21] ; [13 41],[ 5.85 20.15] ; [12.15 41.85],0
p3,1,0.635473,0.224711,[ 7 18] ; [18 36],[ 7.91139241 17.08860759] ; [17.08860759 36.91139241],0
v1,1,0.664458,0.188153,[ 9 16] ; [21 30],[ 9.86842105 15.13157895] ; [20.13157895 30.86842105],0
a1,1,0.696026,0.152639,[ 2 24] ; [ 3 52],[ 1.60493827 24.39506173] ; [ 3.39506173 51.60493827],0
a2,1,0.730323,0.118815,[ 3 23] ; [ 5 50],[ 2.56790123 23.43209877] ; [ 5.43209877 49.56790123],0
d1,1,0.831426,0.045315,[12 14] ; [24 31],[11.55555556 14.44444444] ; [24.44444444 30.55555556],0
s5,1,0.938596,0.005934,[ 5 20] ; [11 42],[ 5.12820513 19.87179487] ; [10.87179487 42.12820513],0
b2,1,0.958295,0.002735,[3 8] ; [ 9 25],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
b3,1,0.958295,0.002735,[3 8] ; [ 9 25],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
p1,1,0.974942,0.000987,[ 1 25] ; [ 2 52],[ 0.975 25.025] ; [ 2.025 51.975],0
