Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.009616,6.704762,[19 11] ; [ 3 11],[15. 15.] ; [7. 7.],0
s7,1,0.016625,5.735538,[21  9] ; [4 9],[17.44186047 12.55813953] ; [7.55813953 5.44186047],0
s8,1,0.01797,5.599078,[16 15] ; [ 2 12],[12.4 18.6] ; [5.6 8.4],0
r3,1,0.029508,4.737703,[26  4] ; [8 6],[23.18181818  6.81818182] ; [10.81818182  3.18181818],0
s1,1,0.046989,3.945782,[ 1 30] ; [ 3 11],[ 2.75555556 28.24444444] ; [ 1.24444444 12.75555556],0
a1,1,0.046989,3.945782,[ 1 30] ; [ 3 11],[ 2.75555556 28.24444444] ; [ 1.24444444 12.75555556],0
b5,1,0.071766,3.242168,[22  9] ; [6 8],[19.28888889 11.71111111] ; [8.71111111 5.28888889],0
a5,1,0.071852,3.240207,[20 11] ; [5 9],[17.22222222 13.77777778] ; [7.77777778 6.22222222],0
a7,1,0.111363,2.534768,[12 19] ; [9 5],[14.46666667 16.53333333] ; [6.53333333 7.46666667],0
s5,1,0.143967,2.135032,[11 18] ; [ 2 11],[ 8.97619048 20.02380952] ; [4.02380952 8.97619048],0
p4,1,0.164973,1.928039,[18 13] ; [5 9],[15.84444444 15.15555556] ; [7.15555556 6.84444444],0
a2,1,0.168529,1.895984,[ 1 30] ; [ 2 12],[ 2.06666667 28.93333333] ; [ 0.93333333 13.06666667],0
p7,1,0.173101,1.855884,[20 11] ; [5 7],[18.02325581 12.97674419] ; [6.97674419 5.02325581],0
p11,1,0.173726,1.850494,[22  9] ; [7 7],[19.97777778 11.02222222] ; [9.02222222 4.97777778],0
p2,1,0.181746,1.783292,[25  6] ; [8 5],[23.25  7.75] ; [9.75 3.25],0
n5,1,0.198959,1.65,[21  9] ; [7 7],[19.09090909 10.90909091] ; [8.90909091 5.09090909],0
d5,1,0.252709,1.308267,[23  8] ; [8 6],[21.35555556  9.64444444] ; [9.64444444 4.35555556],0
a3,1,0.25577,1.291509,[21 10] ; [7 7],[19.28888889 11.71111111] ; [8.71111111 5.28888889],0
