Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.002862,8.89372,[42 16] ; [19 25],[34.68627451 23.31372549] ; [26.31372549 17.68627451],0
p11,1,0.003232,8.671448,[40 19] ; [17 27],[32.65048544 26.34951456] ; [24.34951456 19.65048544],0
p3,1,0.015561,5.851817,[23 36] ; [ 7 35],[17.52475248 41.47524752] ; [12.47524752 29.52475248],0
b1,1,0.023575,5.125613,[27 32] ; [30 14],[32.65048544 26.34951456] ; [24.34951456 19.65048544],0
p4,1,0.037366,4.333672,[27 32] ; [11 32],[21.98039216 37.01960784] ; [16.01960784 26.98039216],0
p2,1,0.04894,3.877418,[39 19] ; [20 22],[34.22 23.78] ; [24.78 17.22],0
n4,1,0.061404,3.499045,[39 20] ; [21 23],[34.36893204 24.63106796] ; [25.63106796 18.36893204],0
a1,1,0.066446,3.368699,[ 3 56] ; [ 7 37],[ 5.72815534 53.27184466] ; [ 4.27184466 39.72815534],0
d4,1,0.07472,3.176165,[41 18] ; [23 21],[36.66019417 22.33980583] ; [27.33980583 16.66019417],0
v4,1,0.076046,3.147443,[41 17] ; [23 20],[36.75247525 21.24752475] ; [27.24752475 15.75247525],0
n5,1,0.09304,2.820973,[41 17] ; [24 20],[36.96078431 21.03921569] ; [28.03921569 15.96078431],0
b4,1,0.131428,2.27556,[33 26] ; [18 26],[29.21359223 29.78640777] ; [21.78640777 22.21359223],0
s2,1,0.135483,2.228526,[23 36] ; [11 33],[19.47572816 39.52427184] ; [14.52427184 29.47572816],0
u2,1,0.185226,1.755189,[ 8 18] ; [10 10],[10.17391304 15.82608696] ; [ 7.82608696 12.17391304],0
s8,1,0.200231,1.640692,[14 45] ; [ 6 38],[11.45631068 47.54368932] ; [ 8.54368932 35.45631068],0
p8,1,0.233509,1.419358,[21 38] ; [10 31],[18.29 40.71] ; [12.71 28.29],0
p7,1,0.24831,1.332789,[20 37] ; [20 23],[22.8 34.2] ; [17.2 25.8],0
a5,1,0.266957,1.232318,[32 27] ; [19 25],[29.21359223 29.78640777] ; [21.78640777 22.21359223],0
n2,1,0.276162,1.185882,[16  8] ; [9 9],[14.28571429  9.71428571] ; [10.71428571  7.28571429],0
s7,1,0.277459,1.179494,[19 37] ; [10 32],[16.57142857 39.42857143] ; [12.42857143 29.57142857],0
p9,1,0.298233,1.08208,[37 19] ; [24 19],[34.50505051 21.49494949] ; [26.49494949 16.50505051],0
d1,1,0.320382,0.987387,[23 36] ; [13 31],[20.62135922 38.37864078] ; [15.37864078 28.62135922],0
s6,1,0.356623,0.84975,[24 35] ; [14 30],[21.76699029 37.23300971] ; [16.23300971 27.76699029],0
d5,1,0.404122,0.696025,[37 22] ; [24 20],[34.94174757 24.05825243] ; [26.05825243 17.94174757],0
p10,1,0.414216,0.666667,[30 26] ; [19 23],[28. 28.] ; [21. 21.],0
s1,1,0.423211,0.641382,[ 2 57] ; [ 3 41],[ 2.86407767 56.13592233] ; [ 2.13592233 41.86407767],0
p1,1,0.430829,0.620589,[ 4 54] ; [ 5 39],[ 5.11764706 52.88235294] ; [ 3.88235294 40.11764706],0
d3,1,0.506081,0.442162,[30 29] ; [19 24],[28.34313725 30.65686275] ; [20.65686275 22.34313725],0
n1,1,0.508332,0.4375,[ 7 17] ; [ 7 11],[ 8. 16.] ; [ 6. 12.],0
v1,1,0.512537,0.428884,[17 38] ; [16 27],[18.52040816 36.47959184] ; [14.47959184 28.52040816],0
r2,1,0.53438,0.386056,[33 22] ; [22 19],[31.51041667 23.48958333] ; [23.48958333 17.51041667],0
v3,1,0.539089,0.377231,[12 46] ; [ 7 37],[10.80392157 47.19607843] ; [ 8.19607843 35.80392157],0
b5,1,0.550498,0.356427,[33 26] ; [22 22],[31.50485437 27.49514563] ; [23.49514563 20.50485437],0
v2,1,0.577217,0.310755,[22 36] ; [14 29],[20.67326733 37.32673267] ; [15.32673267 27.67326733],0
b3,1,0.643614,0.214047,[11 24] ; [10 17],[11.85483871 23.14516129] ; [ 9.14516129 17.85483871],0
b2,1,0.643614,0.214047,[11 24] ; [10 17],[11.85483871 23.14516129] ; [ 9.14516129 17.85483871],0
n3,1,0.650014,0.205882,[15  9] ; [10  8],[14.28571429  9.71428571] ; [10.71428571  7.28571429],0
a7,1,0.67014,0.181438,[27 32] ; [22 22],[28.06796117 30.93203883] ; [20.93203883 23.06796117],0
p6,1,0.694969,0.153758,[13 44] ; [ 8 33],[12.21428571 44.78571429] ; [ 8.78571429 32.21428571],0
d2,1,0.760287,0.093088,[22 36] ; [18 26],[22.74509804 35.25490196] ; [17.25490196 26.74509804],0
u3,1,0.761554,0.092076,[ 8 18] ; [ 7 13],[ 8.47826087 17.52173913] ; [ 6.52173913 13.47826087],0
a8,1,0.777516,0.079839,[ 3 52] ; [ 3 41],[ 3.33333333 51.66666667] ; [ 2.66666667 41.33333333],0
a6,1,0.798429,0.065219,[31 28] ; [22 22],[30.3592233 28.6407767] ; [22.6407767 21.3592233],0
a4,1,0.821244,0.051051,[17 41] ; [12 32],[16.49019608 41.50980392] ; [12.50980392 31.49019608],0
p12,1,0.83014,0.04602,[ 1 57] ; [ 1 42],[ 1.14851485 56.85148515] ; [ 0.85148515 42.14851485],0
a2,1,0.854887,0.033448,[ 6 53] ; [ 4 40],[ 5.72815534 53.27184466] ; [ 4.27184466 39.72815534],0
p5,1,0.904952,0.014258,[ 3 55] ; [ 2 41],[ 2.87128713 55.12871287] ; [ 2.12871287 40.87128713],0
s3,1,0.917657,0.010689,[21 37] ; [16 27],[21.24752475 36.75247525] ; [15.75247525 27.24752475],0
a3,1,0.949747,0.003972,[32 26] ; [24 20],[31.84313725 26.15686275] ; [24.15686275 19.84313725],0
s5,1,0.962495,0.002211,[ 8 48] ; [ 6 37],[ 7.91919192 48.08080808] ; [ 6.08080808 36.91919192],0
s4,1,0.988511,0.000207,[12 47] ; [ 9 35],[12.02912621 46.97087379] ; [ 8.97087379 35.02912621],0
