Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.868605,[119   7] ; [24 12],[111.22222222  14.77777778] ; [31.77777778  4.22222222],1
v4,1,5e-06,20.747797,[125   1] ; [29  7],[119.77777778   6.22222222] ; [34.22222222  1.77777778],1
a5,1,5.2e-05,16.367372,[97 29] ; [15 21],[87.11111111 38.88888889] ; [24.88888889 11.11111111],1
p4,1,0.005868,7.590378,[76 47] ; [12 22],[68.94267516 54.05732484] ; [19.05732484 14.94267516],0
p7,1,0.010012,6.632796,[86 36] ; [17 19],[79.53164557 42.46835443] ; [23.46835443 12.53164557],0
p10,1,0.010797,6.498465,[102  21] ; [22 13],[96.53164557 26.46835443] ; [27.46835443  7.53164557],0
r3,1,0.016907,5.705955,[119   6] ; [30  6],[115.68322981   9.31677019] ; [33.31677019  2.68322981],0
r2,1,0.032724,4.560178,[118   5] ; [31  5],[115.26415094   7.73584906] ; [33.73584906  2.26415094],0
a8,1,0.033858,4.501884,[18 88] ; [ 1 34],[14.28368794 91.71631206] ; [ 4.71631206 30.28368794],0
u1,1,0.039118,4.255753,[ 20 106] ; [ 1 35],[ 16.33333333 109.66666667] ; [ 4.66666667 31.33333333],0
p3,1,0.039555,4.236878,[71 54] ; [13 22],[65.625 59.375] ; [18.375 16.625],0
p2,1,0.044495,4.037695,[102  23] ; [23 12],[97.65625 27.34375] ; [27.34375  7.65625],0
n5,1,0.075831,3.152059,[98 27] ; [23 13],[93.94409938 31.05590062] ; [27.05590062  8.94409938],0
b3,1,0.08982,2.877589,[29 60] ; [11 10],[32.36363636 56.63636364] ; [ 7.63636364 13.36363636],0
b2,1,0.08982,2.877589,[29 60] ; [11 10],[32.36363636 56.63636364] ; [ 7.63636364 13.36363636],0
a6,1,0.090752,2.860987,[92 34] ; [21 15],[87.88888889 38.11111111] ; [25.11111111 10.88888889],0
s5,1,0.093518,2.812747,[26 98] ; [ 3 32],[ 22.6163522 101.3836478] ; [ 6.3836478 28.6163522],0
n6,1,0.097124,2.752141,[109  17] ; [27  9],[105.77777778  20.22222222] ; [30.22222222  5.77777778],0
p11,1,0.109933,2.55518,[103  23] ; [25 11],[99.55555556 26.44444444] ; [28.44444444  7.55555556],0
s8,1,0.142308,2.152827,[44 81] ; [ 8 28],[40.37267081 84.62732919] ; [11.62732919 24.37267081],0
b4,1,0.192068,1.701681,[76 50] ; [26 10],[79.33333333 46.66666667] ; [22.66666667 13.33333333],0
p8,1,0.21511,1.536699,[69 54] ; [15 19],[65.8089172 57.1910828] ; [18.1910828 15.8089172],0
u3,1,0.229911,1.44141,[19 18] ; [3 7],[17.31914894 19.68085106] ; [4.68085106 5.31914894],0
a2,1,0.235631,1.406545,[29 97] ; [ 5 31],[26.44444444 99.55555556] ; [ 7.55555556 28.44444444],0
v2,1,0.236919,1.398835,[97 27] ; [24 11],[94.36477987 29.63522013] ; [26.63522013  8.36477987],0
p5,1,0.24674,1.341667,[ 20 105] ; [ 3 33],[ 17.85714286 107.14285714] ; [ 5.14285714 30.85714286],0
p9,1,0.275114,1.191067,[103  21] ; [27  9],[100.75  23.25] ; [29.25  6.75],0
n1,1,0.277877,1.177444,[ 4 15] ; [4 6],[ 5.24137931 13.75862069] ; [2.75862069 7.24137931],0
d1,1,0.308131,1.03867,[75 51] ; [18 18],[72.33333333 53.66666667] ; [20.66666667 15.33333333],0
a4,1,0.328591,0.954441,[53 72] ; [12 24],[50.46583851 74.53416149] ; [14.53416149 21.46583851],0
u4,1,0.341707,0.904018,[  1 125] ; [ 1 35],[  1.55555556 124.44444444] ; [ 0.44444444 35.55555556],0
s3,1,0.400675,0.706301,[27 97] ; [10 25],[28.85534591 95.14465409] ; [ 8.14465409 26.85534591],0
u2,1,0.415107,0.664126,[22 15] ; [4 5],[20.91304348 16.08695652] ; [5.08695652 3.91304348],0
d5,1,0.434187,0.611598,[102  24] ; [27  9],[100.33333333  25.66666667] ; [28.66666667  7.33333333],0
p1,1,0.451051,0.568009,[ 12 114] ; [ 5 31],[ 13.22222222 112.77777778] ; [ 3.77777778 32.22222222],0
n3,1,0.47183,0.517688,[14  6] ; [9 2],[14.83870968  5.16129032] ; [8.16129032 2.83870968],0
n4,1,0.517204,0.419465,[100  25] ; [27  9],[98.60248447 26.39751553] ; [28.39751553  7.60248447],0
d3,1,0.581068,0.304511,[90 36] ; [24 12],[88.66666667 37.33333333] ; [25.33333333 10.66666667],0
s7,1,0.60367,0.269496,[42 74] ; [11 24],[40.71523179 75.28476821] ; [12.28476821 22.71523179],0
s1,1,0.632809,0.22827,[  2 122] ; [ 1 34],[  2.33962264 121.66037736] ; [ 0.66037736 34.33962264],0
d2,1,0.703021,0.145349,[58 67] ; [18 18],[59.00621118 65.99378882] ; [16.99378882 19.00621118],0
a1,1,0.738483,0.111465,[  9 117] ; [ 2 34],[  8.55555556 117.44444444] ; [ 2.44444444 33.55555556],0
p12,1,0.75061,0.101019,[  9 115] ; [ 2 33],[  8.57861635 115.42138365] ; [ 2.42138365 32.57861635],0
d4,1,0.780081,0.07796,[98 27] ; [29  7],[98.60248447 26.39751553] ; [28.39751553  7.60248447],0
v1,1,0.816639,0.053763,[75 49] ; [21 15],[74.4 49.6] ; [21.6 14.4],0
s6,1,0.845135,0.038154,[59 65] ; [16 19],[58.49056604 65.50943396] ; [16.50943396 18.49056604],0
n2,1,0.863894,0.029385,[14  7] ; [7 4],[13.78125  7.21875] ; [7.21875 3.78125],0
a7,1,0.869231,0.027105,[92 33] ; [26 10],[91.61490683 33.38509317] ; [26.38509317  9.61490683],0
p6,1,0.901079,0.01545,[44 81] ; [12 21],[44.30379747 80.69620253] ; [11.69620253 21.30379747],0
a3,1,0.904777,0.014311,[89 36] ; [26 10],[89.28571429 35.71428571] ; [25.71428571 10.28571429],0
b5,1,0.931146,0.007465,[78 48] ; [22 14],[77.77777778 48.22222222] ; [22.22222222 13.77777778],0
b1,1,0.965065,0.001918,[45 81] ; [13 23],[45.11111111 80.88888889] ; [12.88888889 23.11111111],0
s4,1,0.968774,0.001532,[ 10 113] ; [ 3 33],[ 10.05660377 112.94339623] ; [ 2.94339623 33.05660377],0
