Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.017379,5.657706,[25  8] ; [33 32],[19.53061224 13.46938776] ; [38.46938776 26.53061224],0
s4,1,0.035514,4.420288,[ 2 31] ; [15 50],[ 5.7244898 27.2755102] ; [11.2755102 53.7244898],0
r3,1,0.093547,2.812257,[16 15] ; [45 20],[19.69791667 11.30208333] ; [41.30208333 23.69791667],0
p11,1,0.098933,2.722658,[14 19] ; [39 26],[17.84693878 15.15306122] ; [35.15306122 29.84693878],0
p5,1,0.10634,2.607792,[ 6 26] ; [ 5 60],[ 3.62886598 28.37113402] ; [ 7.37113402 57.62886598],0
v3,1,0.116185,2.468011,[12 21] ; [14 51],[ 8.75510204 24.24489796] ; [17.24489796 47.75510204],0
p3,1,0.155449,2.017952,[ 8 24] ; [25 38],[11.11578947 20.88421053] ; [21.88421053 41.11578947],0
s1,1,0.172725,1.859136,[ 4 29] ; [ 3 62],[ 2.35714286 30.64285714] ; [ 4.64285714 60.35714286],0
a4,1,0.177411,1.819176,[16 17] ; [22 42],[12.92783505 20.07216495] ; [25.07216495 38.92783505],0
p10,1,0.194253,1.685063,[21 11] ; [32 30],[18.04255319 13.95744681] ; [34.95744681 27.04255319],0
p12,1,0.231527,1.431457,[ 2 31] ; [ 1 62],[ 1.03125 31.96875] ; [ 1.96875 61.03125],0
v2,1,0.311979,1.02228,[16 15] ; [26 38],[13.70526316 17.29473684] ; [28.29473684 35.70526316],0
s5,1,0.318264,0.996066,[ 8 24] ; [10 51],[ 6.19354839 25.80645161] ; [11.80645161 49.19354839],0
s2,1,0.366384,0.815892,[ 9 22] ; [25 40],[10.97916667 20.02083333] ; [23.02083333 41.97916667],0
p4,1,0.371093,0.8,[10 22] ; [26 38],[12. 20.] ; [24. 40.],0
n5,1,0.382733,0.761905,[16 16] ; [38 26],[18. 14.] ; [36. 28.],0
a6,1,0.428245,0.627578,[16 17] ; [37 28],[17.84693878 15.15306122] ; [35.15306122 29.84693878],0
n2,1,0.42872,0.626289,[11  9] ; [16  8],[12.27272727  7.72727273] ; [14.72727273  9.27272727],0
n3,1,0.432004,0.617429,[ 8 11] ; [13 11],[9.27906977 9.72093023] ; [11.72093023 12.27906977],0
v4,1,0.464198,0.535755,[18 12] ; [44 21],[19.57894737 10.42105263] ; [42.42105263 22.57894737],0
